id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters 
2390,The Boathouse Cafe,1301 N Humboldt Blvd,Chicago,IL,60647,(773) 243-9511,,$$,Coffee & Tea;Cafes;American (Traditional),4.0,Humboldt Park; West Town,Yes,No,Yes,Yes,Brunch,Private Lot,Casual,Casual,No,Yes,Free,Yes,No
2391,L’Appetito,875 N Michigan Ave,Chicago,IL,60611,(312) 337-0691,lappetito.com,$,Delis;Bakeries;Gelato,4.0,Near North Side; Streeterville,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,No,Yes
2392,The Levee,4035 W Fullerton Ave,Chicago,IL,60639,(773) 342-2808,daleveechicago.com/index.html,$,Bars;American (New),4.5,Hermosa,No,No,No,No,,Street,Casual,,Full Bar,No,Free,No,Yes
2393,The Gage,24 S Michigan Ave,Chicago,IL,60603,(312) 372-4243,thegagechicago.com,$$$,Gastropubs;American (New),4.0,The Loop,Yes,No,Yes,Yes,Dinner,Valet; Garage; Street,Casual,Classy,Full Bar,Yes,Free,Yes,No
2394,Cafe Selmarie,4729 N Lincoln Ave,Chicago,IL,60625,(773) 989-5595,cafeselmarie.com,$$,Bakeries;American (Traditional);Breakfast & Brunch,4.0,Lincoln Square; Ravenswood,No,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,Yes
2395,Soupbox,50 E Chicago Ave,Chicago,IL,60611,(312) 951-5900,soupbox.com,$,Soup;Salad,4.0,Near North Side,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,Yes,No,No,No
2396,Zia’s Lago Vista,3819 N Ashland Ave,Chicago,IL,60613,(773) 883-0808,ziaslakeview.com,$$,Italian;Wine Bars;Breakfast & Brunch,4.0,Lakeview,Yes,No,Yes,Yes,Brunch; Dinner,Valet,Casual,Classy,Full Bar,Yes,Free,Yes,Yes
2397,Tacos Garcias,3329 W Armitage Ave,Chicago,IL,60647,(773) 486-0378,,$,Mexican,4.0,Logan Square,No,No,Yes,Yes,Lunch; Dinner,Street,Casual,Divey,Full Bar,No,,Yes,Yes
2398,Twisted Tapas,1146 W Pratt Blvd,Chicago,IL,60626,(773) 856-3486,,$$,Tapas Bars,4.5,Rogers Park,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
2399,Marshfield Urban Grill,2417 N Clybourn Ave,Chicago,IL,60614,(773) 525-3400,sites.google.com/site/marshfi…,$$,American (New);Gastropubs,4.5,DePaul,No,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
2400,Blue Street Market,,Chicago,IL,60603,(773) 358-4224,bluestreetmarket.com,$,Food Trucks;Sandwiches,4.5,The Loop,,No,Yes,Yes,,,,,No,,,,Yes
2401,The Bad Apple,4300 N Lincoln Ave,Chicago,IL,60618,(773) 360-8406,badapplebar.com,$$,Bars;Burgers,4.0,North Center,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
2402,Barley & Brass,2015 W Division St,Chicago,IL,60622,(312) 763-9600,barleyandbrass.com,$$,Cocktail Bars;American (New),4.5,West Town; Ukrainian Village,No,No,Yes,Yes,Brunch; Late Night,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
2403,DryHop Brewers,3155 N Broadway,Chicago,IL,60657,(773) 857-3155,dryhopchicago.com,$$,Breweries;American (New),4.0,Lakeview,No,No,Yes,Yes,Brunch,Garage; Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
2404,Tamale Spaceship,1341 N Damen Ave,Chicago,IL,60622,(312) 909-7009,thetamalespaceship.com,$,Mexican;Food Trucks,4.0,West Town; Wicker Park,No,No,Yes,Yes,Lunch,Street,Casual,Hipster,No,Yes,No,No,Yes
2405,Cozy Noodles & Rice,3456 N Sheffield Ave,Chicago,IL,60657,(331) 248-3511,cozychicago.com,$,Thai,4.0,Lakeview,Yes,Yes,Yes,Yes,Lunch; Dinner,Street; Private Lot,Casual,Casual,No,Yes,No,Yes,Yes
2406,La Scarola,721 W Grand Ave,Chicago,IL,60610,(312) 243-1740,lascarola.com,$$,Italian,4.0,River West; Near West Side; West Loop; West Town,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
2407,Wasabi,2115 N Milwaukee Ave,Chicago,IL,60647,(773) 227-8180,wasabichicago.com,$$,Ramen,4.0,Logan Square,No,No,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,Yes,No
2408,The Halal Guys,49 W Division St,Chicago,IL,60610,(312) 877-5575,thehalalguys.com,$,Mediterranean;Middle Eastern,3.5,Near North Side,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
2409,Oasis Cafe,21 N Wabash Ave,Chicago,IL,60602,(312) 443-9534,oasiscafechicago.com,$,Mediterranean,4.0,The Loop,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
2410,Ruby’s Fast Food,3740 W Montrose Ave,Chicago,IL,60618,(773) 539-2669,,$,Filipino,4.5,Albany Park,No,No,Yes,No,Lunch,Street,Casual,Divey,No,No,No,No,Yes
2411,Taqueria Tayahua,2411 S Western Ave,Chicago,IL,60608,(773) 247-3183,,$,Mexican,4.5,Pilsen,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
2412,Old Jerusalem,1411 N Wells St,Chicago,IL,60610,(312) 944-0459,,$$,Middle Eastern;Vegetarian,4.0,Near North Side; Old Town,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,Yes,Yes
2413,Tacos Palas,1700 S Halsted St,Chicago,IL,60608,(312) 733-0433,,$,Mexican,4.0,Pilsen,No,No,Yes,No,Lunch,Street,Casual,Divey,No,No,No,No,No
2414,Dastorkon,351 W Oak St,Chicago,IL,60610,,,$,Russian;Halal,4.5,Near North Side,No,No,Yes,Yes,Lunch,,Casual,Casual,,No,Free,Yes,
2415,Nookies,1746 N Wells St,Chicago,IL,60614,(312) 337-2454,,$$,Breakfast & Brunch;Burgers;American (Traditional),4.0,Lincoln Park,No,No,Yes,Yes,Breakfast; Brunch,Street,Casual,Casual,No,Yes,Free,Yes,No
2416,Macello,1235 W Lake St,Chicago,IL,60607,(312) 850-9870,macellochicago.com,$$,Italian;Pizza;Delis,4.0,Near West Side; West Loop,Yes,Yes,Yes,Yes,Dinner,Valet; Street; Private Lot,Casual,Casual,Full Bar,Yes,No,Yes,Yes
2417,Remington’s,20 N Michigan Ave,Chicago,IL,60602,(312) 782-6000,remingtonschicago.com,$$,American (Traditional),4.5,The Loop,Yes,No,Yes,Yes,Lunch,Valet; Garage,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
2418,Birreria Reyes de Ocotlan,1322 W 18th St,Chicago,IL,60608,(312) 733-2613,,$,Mexican,4.5,Pilsen,No,No,Yes,No,Lunch,Street,Casual,,No,No,No,Yes,
2419,CRĪO Bar and Restaurant,2506 N Clybourn Ave,Chicago,IL,60614,(773) 525-2100,crio-restaurant.com,$$,Latin American;Gastropubs,4.5,DePaul,Yes,No,Yes,Yes,Brunch,Street; Private Lot,Casual,Casual,Full Bar,No,Free,Yes,Yes
2420,Old Fifth,1027 W Madison St,Chicago,IL,60607,(312) 374-1672,oldfifth.com,$$,Bars;Pizza;Gluten-Free,4.0,Near West Side; West Loop,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
2421,Nick’s On North,3323 W North Ave,Chicago,IL,60647,(773) 292-6425,nicksonnorth.com,$,Hot Dogs;Burgers,4.5,Humboldt Park,No,No,Yes,Yes,Lunch,Private Lot,Casual,Casual,No,No,No,No,Yes
2422,Greek Islands Restaurant,200 S Halsted St,Chicago,IL,60661,(312) 782-9855,greekislands.net,$$,Greek;Mediterranean,4.0,Greektown; Near West Side; West Loop,Yes,No,Yes,Yes,Dinner,Valet,Casual,Casual,Full Bar,Yes,No,Yes,Yes
2423,Chicago’s Pita Grill,3051 N Central Ave,Chicago,IL,60634,(773) 283-4755,pitagrillchicago.com,$,Mediterranean;Middle Eastern,4.0,Cragin,No,Yes,Yes,Yes,Lunch,Private Lot,Casual,Casual,No,No,No,No,Yes
2424,Floriole Cafe & Bakery,1220 W Webster Ave,Chicago,IL,60614,(773) 883-1313,floriole.com,$$,Bakeries;Cafes,4.0,Lincoln Park; DePaul,No,No,Yes,Yes,Breakfast,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,Yes
2425,Woodie’s Flat,1535 N Wells St,Chicago,IL,60610,(312) 643-0093,woodieschicago.com,$$,Burgers;Dive Bars,4.0,Near North Side; Old Town,No,No,Yes,Yes,Brunch,Street,Casual,Hipster,Full Bar,Yes,Free,Yes,
2426,The Duck Inn,2701 S Eleanor,Chicago,IL,60608,(312) 724-8811,theduckinnchicago.com,$$$,Cocktail Bars;American (New),4.0,Bridgeport,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
2427,Meli Café,540 N Wells St,Chicago,IL,60654,(312) 527-1850,melicafe.com,$$,Breakfast & Brunch;Juice Bars & Smoothies;American (Traditional),4.0,Near North Side; River North,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,No,Yes,Yes
2428,La Catrina Cafe,1011 W 18th St,Chicago,IL,60608,(312) 473-0038,lacatrinacafe.com,$,Cafes,4.0,Pilsen,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,Yes,Free,No,No
2429,Taste of Perú,6545 N Clark St,Chicago,IL,60626,(773) 381-4540,tasteofperu.com,$$,Peruvian,4.0,Rogers Park,Yes,Yes,Yes,Yes,Dinner,Private Lot,Casual,Casual,No,No,Free,Yes,Yes
2430,Fabulous Freddies Italian Eatery,701 W 31st St,Chicago,IL,60616,(312) 808-0147,freddieson31st.com,$,Pizza;Italian,4.0,Bridgeport,No,Yes,Yes,Yes,Lunch,Street; Private Lot,Casual,Casual,Beer & Wine Only,Yes,Free,No,Yes
2431,Palace Grill,1408 W Madison St,Chicago,IL,60607,(312) 226-9529,palacegrillonmadison.com,$,Diners;Sandwiches;Breakfast & Brunch,4.0,Near West Side; West Loop,No,No,Yes,No,Breakfast; Brunch,Street; Private Lot,Casual,Casual,Beer & Wine Only,Yes,No,Yes,Yes
2432,Goosefoot,2656 W Lawrence Ave,Chicago,IL,60625,(773) 942-7547,goosefoot.net,$$$$,American (New);Diners,4.5,Lincoln Square; Ravenswood,Yes,No,No,Yes,Dinner,Street; Private Lot,Dressy,Intimate,No,No,No,Yes,No
2433,bopNgrill Belmont,921 W Belmont Ave,Chicago,IL,60657,(773) 799-8868,bngrill.com,$$,Burgers;Asian Fusion,4.0,Lakeview,No,No,Yes,Yes,,,Casual,,No,No,,No,
2434,Slurping Turtle,116 W Hubbard St,Chicago,IL,60654,(312) 464-0466,slurpingturtle.com,$$,Japanese,3.5,Near North Side; River North,Yes,Yes,Yes,Yes,Dinner,Garage; Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
2435,Ground Control,3315 W Armitage Ave,Chicago,IL,60647,(773) 772-9446,groundcontrolchicago.com,$$,Vegetarian;Vegan,4.0,Logan Square,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Hipster,Full Bar,Yes,Free,Yes,No
2436,Wise Owl Drinkery & Cookhouse,324 S Racine Ave,Chicago,IL,60607,(312) 374-8915,wiseowlchicago.com,$$,Cocktail Bars;Beer Gardens;Gastropubs,4.0,Near West Side; West Loop,No,No,Yes,Yes,Brunch,Valet; Street; Private Lot,Casual,,Full Bar,Yes,Free,Yes,Yes
2437,Lotus Cafe & Bánh Mì Sandwiches,719 W Maxwell St,Chicago,IL,60607,(312) 733-7595,lotusbanhmi.com,$,Vietnamese;Sandwiches,4.5,University Village,No,Yes,Yes,Yes,Lunch,Garage; Street,Casual,Casual,No,Yes,Free,No,Yes
2438,MingHin Cuisine,2168 S Archer Ave,Chicago,IL,60616,(312) 808-1999,minghincuisine.com,$$,Seafood;Dim Sum;Cantonese,4.0,Chinatown,Yes,Yes,Yes,Yes,Lunch,Street; Validated,Casual,Casual,Full Bar,No,No,Yes,Yes
2439,Blue Door Farm Stand,2010 N Halsted St,Chicago,IL,60614,(773) 935-2583,bluedoorfarmstand.com,$$,Salad;Juice Bars & Smoothies;Sandwiches,4.0,Lincoln Park; DePaul,No,No,Yes,Yes,Brunch,Street,Casual,Hipster,Beer & Wine Only,No,,No,Yes
2440,Range,1119 W Webster,Chicago,IL,60614,(773) 549-5747,rangechicago.com,$$,American (Traditional),4.0,Lincoln Park; DePaul,Yes,No,No,Yes,Brunch,Street,Casual,Intimate,Full Bar,No,Free,Yes,No
2441,Sticky Rice Chiang Mai,1746 N Western Ave,Chicago,IL,60647,(312) 818-1810,stickyricecm.com,$$,Thai,4.0,Humboldt Park; West Town,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,No
2442,Pastoral,53 E Lake St,Chicago,IL,60601,(312) 658-1250,pastoralartisan.com,$$,Cheese Shops;Delis,4.5,The Loop,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,No,Yes
2443,Conte Di Savoia,1438 W Taylor St,Chicago,IL,60607,(312) 666-3471,contedisavoia.com,$,Delis;Italian;Sandwiches,4.5,University Village,No,No,Yes,Yes,Lunch,Street,Casual,Casual,No,Yes,No,No,Yes
2444,Giordano’s,730 N Rush St,Chicago,IL,60611,(312) 951-0747,giordanos.com/location/gold-c…,$$,Pizza;Salad;Italian,3.5,Near North Side,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
2445,Glaze Teriyaki Grill,3112 N Broadway,Chicago,IL,60657,(773) 697-3580,glazeteriyaki.com,$$,Japanese;Asian Fusion,4.0,Lakeview,No,Yes,Yes,Yes,Lunch,,Casual,Casual,No,No,No,No,Yes
2446,Local Root,601 N Mcclurg Ct,Chicago,IL,60611,(312) 643-1145,localrootchicago.com,$$,American (New);Breakfast & Brunch;Wine Bars,3.5,Near North Side; River East,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
2447,Cafe Versailles,4102 N Pulaski Ave,Chicago,IL,60641,(773) 283-8891,,$,Cafes;Creperies,4.5,Irving Park,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,Free,Yes,No
2448,Goose Island Shrimp House Chicago,1013 W Division St,Chicago,IL,60642,(312) 642-3640,gooseislandshrimphouse.com,$,Seafood;Fast Food,3.5,Goose Island,No,No,Yes,No,Late Night,Street,Casual,Divey,No,No,No,No,No
2449,Tommy Gun’s Garage,2114 S Wabash Ave,Chicago,IL,60616,(312) 225-0273,tommygunsgarage.com,$$$,Performing Arts;American (Traditional),4.5,Near Southside,Yes,No,No,Yes,Dinner,Private Lot,Casual,Touristy,Full Bar,No,No,Yes,No
2450,Bistro 18o,1640 W 18th St,Chicago,IL,60608,(312) 493-8258,,$$,American (Traditional);Latin American,4.5,Pilsen,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,No,Yes,Yes
2451,Restaurante El Mogote,4959 N Kedzie Ave,Chicago,IL,60625,(773) 463-5612,,$,Mexican,4.5,Albany Park,No,Yes,Yes,Yes,,,Casual,,No,No,,Yes,
2452,Staropolska Restaurant,3030 N Milwaukee Ave,Chicago,IL,60618,(773) 342-0779,staropolskarestaurant.com,$$,Polish,4.5,Avondale,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
2453,La Brasa Roja,3125 W Montrose Ave,Chicago,IL,60618,(773) 866-2252,brasaroja-elllano.com,$,Latin American,4.0,Albany Park,No,No,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
2454,Wyler Road,3581 W Belden Ave,Chicago,IL,60647,(773) 661-0675,,$$,Bars;Sandwiches,4.0,Logan Square,No,No,Yes,Yes,,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
2455,mEAT,3339 N Halsted,Chicago,IL,60657,(773) 871-2682,eatatmeat.com,$$,American (New);Brazilian;Steakhouses,4.0,Lakeview,Yes,No,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
2456,Seasons 52,55 East Grand Ave Ste G6,Chicago,IL,60611,(312) 832-1752,seasons52.com,$$,American (New);Wine Bars,4.0,Near North Side,Yes,No,Yes,Yes,Dinner,Valet,Casual,Upscale,Full Bar,No,Free,Yes,No
2457,Nohea Cafe,1312 W Madison St 1w,Chicago,IL,60607,(312) 600-9305,noheacafe.com,$$,Coffee & Tea;Sandwiches;Cafes,4.0,Near West Side; West Loop,Yes,Yes,Yes,Yes,Lunch,Garage; Street,Casual,Casual,No,Yes,No,No,Yes
2458,Jerk Taco Man,4001 W Jackson (at Pulaski),Chicago,IL,60644,(312) 709-8281,,$,Cajun/Creole,3.5,West Garfield Park,No,No,Yes,No,,,Casual,,No,No,No,No,No
2459,Cafe Vienna,2523 N Clark St,Chicago,IL,60614,(773) 244-9922,cafeviennachicago.com,$,Delis;Breakfast & Brunch;Sandwiches,4.0,Lincoln Park,No,No,Yes,Yes,Breakfast; Brunch,Street,Casual,Casual,No,Yes,Free,Yes,Yes
2460,CoCo Vietnamese Sandwiches & Pho,1613 W Lawrence Ave,Chicago,IL,60640,(773) 516-4760,cocovietnamesesandwiches.com,$,Vietnamese;Sandwiches;Soup,4.5,Ravenswood,No,No,Yes,Yes,Brunch,Street,Casual,,Beer & Wine Only,No,Free,Yes,Yes
2461,Uptown Pho,1010 W Argyle St,Chicago,IL,60640,(773) 878-8820,,$,Vietnamese,4.5,Uptown,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,Free,Yes,Yes
2462,Longman & Eagle,2657 N Kedzie Ave,Chicago,IL,60647,(773) 276-7110,longmanandeagle.com,$$,Hotels;Gastropubs,4.0,Logan Square,No,No,No,Yes,Brunch; Dinner,Garage; Street,Casual,Hipster,Full Bar,Yes,No,Yes,No
2463,Lillie’s Q,1856 W North Ave,Chicago,IL,60622,(773) 772-5500,lilliesq.com,$$,Barbeque;Southern,3.5,West Town; Wicker Park,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
2464,The Glunz Tavern,1202 N Wells,Chicago,IL,60610,(312) 642-3001,glunztavern.com,$$,American (New);Bars,4.0,Near North Side; Old Town,No,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,Yes,No,Yes,
2465,The Art of Chicken,2041 N Western Ave,Chicago,IL,60647,(773) 697-9266,,$,Chicken Wings;Fast Food,4.0,Logan Square; Bucktown,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,No,Yes
2466,Taza Cafe,176 N Franklin St,Chicago,IL,60606,(312) 201-9885,tazacafechicago.com,$,Middle Eastern;Mediterranean,4.5,The Loop,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
2467,Zaytune Mediterranean Grill,3500 S Western Ave,Chicago,IL,60609,(773) 523-3500,zaytunegrill.com,$,Mediterranean,4.5,McKinley Park,No,No,Yes,Yes,Lunch,Street; Private Lot,Casual,Casual,No,No,Free,No,Yes
2468,Altiro Latin Fusion - Roscoe,2116 W Roscoe St,Chicago,IL,60618,(773) 935-4000,altirolatinfusion.com,$$$,Latin American,4.5,Roscoe Village,,,Yes,Yes,,,Casual,,,Yes,,,
2469,Luella’s Southern Kitchen,4609 N Lincoln Ave,Chicago,IL,60625,(773) 961-8196,luellassouthernkitchen.com,$$,Southern,4.0,Lincoln Square; Ravenswood,No,No,Yes,Yes,Brunch,Street,Casual,Casual,No,No,No,No,No
2470,Tre Kronor,3258 W Foster Ave,Chicago,IL,60625,(773) 267-9888,trekronorrestaurant.com,$$,Breakfast & Brunch;Desserts;Scandinavian,4.0,North Park,Yes,No,Yes,Yes,Breakfast; Brunch,Street,Casual,Casual,No,Yes,No,Yes,No
2471,Dimo’s Pizza,1615 N Damen Ave,Chicago,IL,60647,(773) 525-4580,dimospizza.com,$,"Specialty Food;Beer, Wine & Spirits;Pizza",4.0,West Town; Wicker Park,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,Free,No,Yes
2472,Ceviche,2554 W Diversey Ave,Chicago,IL,60647,(773) 235-4500,,$$,Seafood;Peruvian,4.0,Logan Square,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
2473,Cozy Corner Restaurant & Pancake House,4356 W Diversey Ave,Chicago,IL,60639,(773) 777-3500,cozycornerrestaurant.net,$,American (Traditional);Breakfast & Brunch,4.0,Hermosa,No,No,Yes,Yes,Breakfast,Private Lot,Casual,Casual,No,No,No,Yes,No
2474,Kabobi Grill,4748 N Kedzie Ave,Chicago,IL,60625,(773) 583-1400,kabobigrill.com,$$,Mediterranean;Persian/Iranian,4.5,Albany Park,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
2475,Ada Street,1664 N Ada St,Chicago,IL,60642,(773) 697-7069,adastreetchicago.com,$$$,Bars;American (Traditional),4.5,Noble Square; West Town,Yes,No,No,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
2476,Inspiration Kitchens,4715 N Sheridan Rd,Chicago,IL,60640,(773) 275-0626,inspirationkitchens.org,$,Breakfast & Brunch;American (New);Sandwiches,4.5,Uptown,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,No,Yes,No,Yes,Yes
2477,Uncle Mike’s Place,1700 W Grand Ave,Chicago,IL,60622,(312) 226-5318,unclemikesplace.com,$$,Breakfast & Brunch;American (Traditional);Filipino,4.0,West Town; Ukrainian Village,No,Yes,Yes,Yes,Breakfast; Brunch,Street; Private Lot,Casual,Casual,No,Yes,No,Yes,No
2478,Cuba 312,2054 W Roscoe St.,Chicago,IL,60618,(773) 281-2822,cuba312.com,$$,Caribbean;Cuban;Sandwiches,4.5,Roscoe Village,No,No,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,Yes,No
2479,Falafel & Grill,1317 N Milwaukee Ave,Chicago,IL,60622,(773) 292-8888,Falafelngrill.com,$,Middle Eastern;Falafel,4.0,West Town; Wicker Park,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
2480,Birria Huentitan Restaurant,4019 W North Ave,Chicago,IL,60639,(773) 276-0768,,$,Mexican,4.5,Humboldt Park,No,No,Yes,Yes,Lunch; Late Night,Street,Casual,Casual,No,No,No,Yes,Yes
2481,Twin Anchors Restaurant & Tavern,1655 N Sedgwick St,Chicago,IL,60614,(312) 266-1616,twinanchorsribs.com,$$,American (Traditional);Barbeque,4.0,Lincoln Park,No,No,Yes,Yes,Dinner,Valet,Casual,Casual,Full Bar,Yes,No,Yes,Yes
2482,El Milagro Tortilleria,3050 W 26th St,Chicago,IL,60623,(773) 579-6120,el-milagro.com,$,Ethnic Food;Mexican,4.5,Little Village,No,No,Yes,Yes,Lunch,Private Lot,Casual,Casual,No,No,No,No,Yes
2483,Danny’s Egghead Diner,2012 W Irving Park Rd,Chicago,IL,60618,(773) 857-0171,,$$,Breakfast & Brunch;American (Traditional);Mexican,4.0,North Center,No,No,Yes,Yes,Breakfast; Brunch,Street,Casual,Casual,No,No,Free,Yes,No
2484,Tweet,5020 N Sheridan Rd,Chicago,IL,60640,(773) 728-5576,tweet.biz,$$,American (New);Breakfast & Brunch;Gluten-Free,4.0,Uptown,No,No,Yes,No,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
2485,Nookies Edgewater,1100 W Bryn Mawr,Chicago,IL,60660,(773) 516-4188,nookiesrestaurants.net,$$,American (New);Breakfast & Brunch;Sandwiches,4.0,Edgewater,Yes,No,Yes,Yes,Brunch,Street; Private Lot,Casual,Casual,Full Bar,Yes,Free,Yes,No
2486,Haywood Tavern,2759 W Augusta Blvd,Chicago,IL,60622,(773) 661-1084,haywoodtavern.com,$$,Gastropubs;American (New);Pubs,4.0,Humboldt Park; West Town,No,No,No,Yes,,,Casual,Casual,Full Bar,No,,Yes,
2487,The Office,955 W Fulton Market,Chicago,IL,60607,(312) 226-0868,,$$$$,American (Traditional);Lounges,4.5,Fulton Market; Near West Side; West Loop,Yes,No,No,Yes,Late Night,Valet,Dressy,Intimate; Classy,Full Bar,No,No,Yes,No
2488,Fat Rice,2957 W Diversey Ave,Chicago,IL,60647,(773) 661-9170,eatfatrice.com,$$,Asian Fusion;Chinese,4.0,Logan Square,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
2489,Southport & Irving - SIP,4000 N Southport Ave,Chicago,IL,60613,(773) 857-2890,southportandirving.com,$$,American (New);Cocktail Bars;Jazz & Blues,4.0,Uptown; Lakeview,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
2490,Kameya,806 W Webster Ave,Chicago,IL,60614,(773) 935-3474,,$$,Japanese;Korean,4.5,Lincoln Park; DePaul,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,Yes
2491,Runa Japanese,2257 W North Ave,Chicago,IL,60647,(773) 278-8887,,$$,Japanese,4.0,West Town; Wicker Park,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Romantic,,Yes,No,Yes,No
2492,Tavern at the Park,130 E Randolph St,Chicago,IL,60601,(312) 552-0070,tavernatthepark.com,$$,American (New);Steakhouses,3.5,The Loop,Yes,No,Yes,Yes,Dinner,Valet,Casual,Classy,Full Bar,Yes,Free,Yes,No
2493,Quesadilla La Reyna del Sur,2235 N Western Ave,Chicago,IL,60647,(773) 235-8807,quesadillalareinadelsur.com,$,Mexican;Vegetarian,4.0,Bucktown,No,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,No,No,No,Yes,No
2494,Davanti Enoteca River North,30 E Hubbard St,Chicago,IL,60611,(312) 605-5900,davantienoteca.com,$$,Italian,4.0,Near North Side,Yes,No,Yes,Yes,Dinner,Valet; Garage; Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
2495,PikoRiko Pollo Colombian Rotisserie,3625 W North Ave,Chicago,IL,60647,(773) 666-5059,pikorikopollo.com,$$,Colombian,4.5,Humboldt Park,Yes,Yes,Yes,Yes,,Street,Casual,,No,No,Free,Yes,Yes
2496,Ponce Restaurant,4312 W Fullerton Ave,Chicago,IL,60639,(773) 486-3148,,$,Caribbean;Ethnic Food,4.0,Hermosa,No,No,Yes,Yes,Lunch,Street,Casual,Divey,No,No,No,Yes,Yes
2497,Buona Terra Ristorante,2535 N California Ave,Chicago,IL,60647,(773) 289-3800,buona-terra.com,$$,Italian,4.5,Logan Square,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
2498,Simply It,2269 N Lincoln Ave,Chicago,IL,60614,(773) 248-0884,simplyitviet.com,$$,Vietnamese;Soup;Sandwiches,4.0,Lincoln Park,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
2499,Coalfire Pizza,1321 W Grand Ave,Chicago,IL,60642,(312) 226-2625,coalfirechicago.com,$$,Pizza,4.0,Near West Side; West Loop; West Town,No,No,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
