ID,title,year,director,writer,actor
855,The Last Samurai,2003,Edward Zwick,John Logan;Edward Zwick;Marshall Herskovitz,Tom Cruise;Ken Watanabe;William Atherton;Chad Lindberg
856,Robin Hood,1973,Wolfgang Reitherman,Ken Anderson,Brian Bedford;Phil Harris;Peter Ustinov;Pat Buttram
857,National Lampoon's Vacation,1983,Harold Ramis,John Hughes,Chevy Chase;Beverly D'Angelo;Imogene Coca;Randy Quaid
858,Hugo,2011,Martin Scorsese,John Logan;Brian Selznick,Asa Butterfield;Chloë Grace Moretz;Ben Kingsley;Sacha Baron Cohen
859,The Princess Diaries,2001,Garry Marshall,Meg Cabot;Gina Wendkos,Anne Hathaway;Julie Andrews;Heather Matarazzo;Robert Schwartzman
860,Gremlins,1984,Joe Dante,Chris Columbus,Zach Galligan;Phoebe Cates;Hoyt Axton;Polly Holliday
861,Unbreakable,2000,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis;Samuel L. Jackson;Robin Wright;Spencer Treat Clark
862,Elf,2003,Jon Favreau,David Berenbaum,Will Ferrell;Zooey Deschanel;Daniel Tay;James Caan
863,Spartacus,1960,Stanley Kubrick,Howard Fast;Dalton Trumbo,Kirk Douglas;Laurence Olivier;Jean Simmons;Charles Laughton
864,Beasts of No Nation,2015,Cary Fukunaga,Cary Fukunaga;Uzodinma Iweala,Idris Elba;Opeyemi Fagbohungbe;Abraham Attah;Richard Pepple
865,What to Expect When You're Expecting,2012,Kirk Jones,Heidi Murkoff;Heather Hach;Shauna Cross,Cameron Diaz;Jennifer Lopez;Elizabeth Banks;Anna Kendrick
866,Ferris Bueller's Day Off,1986,John Hughes,John Hughes,Matthew Broderick;Alan Ruck;Mia Sara;Jeffrey Jones
867,Hitman,2007,Xavier Gens,Skip Woods,Timothy Olyphant;Dougray Scott;Olga Kurylenko;Robert Knepper
868,No Strings Attached,2011,Ivan Reitman,Elizabeth Meriwether,Natalie Portman;Ashton Kutcher;Greta Gerwig;Kevin Kline
869,The Great Mouse Detective,1986,Ron Clements;Burny Mattinson;David Michener;John Musker,Paul Galdone;Eve Titus;Ron Clements;Vance Gerry;Steve Hulett;Burny Mattinson;David Michener;Bruce Morris;John Musker;Matthew O'Callaghan;Melvin Shaw;Peter Young,Barrie Ingham;Val Bettin;Vincent Price;Susanne Pollatschek
871,Platoon,1986,Oliver Stone,Oliver Stone,Tom Berenger;Charlie Sheen;Willem Dafoe;Forest Whitaker
872,Unfinished Business,2015,Ken Scott,Steve Conrad,Vince Vaughn;Dave Franco;James Marsden;June Diane Raphael
873,Kill Bill: Vol. 2,2004,Quentin Tarantino,Quentin Tarantino,Uma Thurman;David Carradine;Daryl Hannah;Michael Madsen
874,Seven Pounds,2008,Gabriele Muccino,Grant Nieporte,Will Smith;Rosario Dawson;Sarah Jane Morris;Woody Harrelson
875,Pitch Perfect,2012,Jason Moore,Kay Cannon;Mickey Rapkin,Anna Kendrick;Skylar Astin;Ben Platt;Brittany Snow
876,Into the Wild,2007,Sean Penn,Sean Penn;Jon Krakauer,Emile Hirsch;Marcia Gay Harden;William Hurt;Jena Malone
877,The Hunchback of Notre Dame,1996,Gary Trousdale;Kirk Wise,Victor Hugo;Irene Mecchi;Tab Murphy;Jonathan Roberts;Bob Tzudiker;Noni White,Tom Hulce;Demi Moore;Jason Alexander;Kevin Kline
878,28 Weeks Later,2007,Juan Carlos Fresnadillo,Rowan Joffe;Juan Carlos Fresnadillo;Jesús Olmo;Enrique López Lavigne,Imogen Poots;Robert Carlyle;Rose Byrne;Jeremy Renner
879,The Others,2001,Alejandro Amenábar,Alejandro Amenábar,Nicole Kidman;Christopher Eccleston;Alakina Mann;James Bentley
880,The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,Stephenie Meyer;Melissa Rosenberg,Kristen Stewart;Robert Pattinson;Taylor Lautner;Peter Facinelli
881,The Lovely Bones,2009,Peter Jackson,Alice Sebold;Fran Walsh;Philippa Boyens;Peter Jackson,Rachel Weisz;Mark Wahlberg;Susan Sarandon;Saoirse Ronan
882,Evan Almighty,2007,Tom Shadyac,Steve Oedekerk,Steve Carell;Lauren Graham;John Goodman;Jimmy Bennett
883,Treasure Planet,2002,Ron Clements;John Musker,Ron Clements;John Musker;Rob Edwards;Robert Louis Stevenson,Joseph Gordon-Levitt;David Hyde Pierce;Emma Thompson;Roscoe Lee Browne
884,The Breakfast Club,1985,John Hughes,John Hughes,Emilio Estevez;Anthony Michael Hall;Judd Nelson;Molly Ringwald
885,Ace Ventura: Pet Detective,1994,Tom Shadyac,Jack Bernstein,Jim Carrey;Sean Young;Courteney Cox;Tone-Lōc
886,The Guest,2014,Adam Wingard,Simon Barrett,Dan Stevens;Maika Monroe;Sheila Kelley;Ethan Embry
887,Fear and Loathing in Las Vegas,1998,Terry Gilliam,Terry Gilliam;Hunter S. Thompson;Tony Grisoni;Tod Davies;Alex Cox,Johnny Depp;Benicio del Toro;Tobey Maguire;Christina Ricci
888,Eat Pray Love,2010,Ryan Murphy,Jennifer Salt;Ryan Murphy;Elizabeth Gilbert,Julia Roberts;James Franco;Javier Bardem;Billy Crudup
889,Turbo,2013,David Soren,Darren Lemke ;David Soren;Robert D. Siegel;Guy Bar'ely,Ryan Reynolds;Paul Giamatti;Michael Peña;Samuel L. Jackson
890,Salt,2010,Phillip Noyce,Kurt Wimmer,Angelina Jolie;Liev Schreiber;Corey Stoll;Chiwetel Ejiofor
891,Brotherhood of the Wolf,2001,Christophe Gans,Stéphane Cabel;Christophe Gans,Samuel Le Bihan;Vincent Cassel;Émilie Dequenne;Monica Bellucci
892,Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,Seth Grahame-Smith;Simon Kinberg,Benjamin Walker;Dominic Cooper;Anthony Mackie;Mary Elizabeth Winstead
893,Olympus Has Fallen,2013,Antoine Fuqua,Katrin Benedikt;Creighton Rothenberger,Gerard Butler;Aaron Eckhart;Angela Bassett;Morgan Freeman
894,For Your Eyes Only,1981,John Glen,Richard Maibaum;Michael G. Wilson,Roger Moore;Carole Bouquet;Chaim Topol;Lynn-Holly Johnson
895,Dredd,2012,Pete Travis,Alex Garland,Karl Urban;Olivia Thirlby;Lena Headey;Wood Harris
896,Chronicle,2012,Josh Trank,Max Landis;Josh Trank,Dane DeHaan;Alex Russell;Adam S. Gottbetter;Michael Kelly
897,Species,1995,Roger Donaldson,Dennis Feldman,Natasha Henstridge;Ben Kingsley;Michael Madsen;Alfred Molina
898,Mr. & Mrs. Smith,2005,Doug Liman,Simon Kinberg,Angelina Jolie;Brad Pitt;Vince Vaughn;Adam Brody
899,Aqui Deste Lugar,2015,Sérgio Machado;Fernando Coimbra,,
900,The Proposal,2009,Anne Fletcher,Pete Chiarelli,Sandra Bullock;Ryan Reynolds;Mary Steenburgen;Craig T. Nelson
902,The Dictator,2012,Larry Charles,Sacha Baron Cohen;Alec Berg,Sacha Baron Cohen;Sayed Badreya;Aasif Mandvi;Megan Fox
903,Harvest Moon,2015,Peter DeLuise,,Jessy Schram;Jesse Hutch;Willie Aames;Lilah Fitzgerald
904,Bedazzled,2000,Harold Ramis,Larry Gelbart;Harold Ramis;Peter Tolan,Elizabeth Hurley;Brendan Fraser;Frances O'Connor;Orlando Jones
905,Basic Instinct 2,2006,Michael Caton-Jones,Leora Barish;Henry Bean;Joe Eszterhas,Sharon Stone;David Morrissey;Charlotte Rampling;David Thewlis
906,The War of the Roses,1989,Danny DeVito,Michael J. Leeson;Warren Adler,Kathleen Turner;Michael Douglas;Danny DeVito;Marianne Sägebrecht
907,Wrong Turn 2: Dead End,2007,Joe Lynch,Turi Meyer;Al Septien,Erica Leerhsen;Henry Rollins;Texas Battle;Daniella Alonso
908,The Last Witch Hunter,2015,Breck Eisner,Cory Goodman;Melisa Wallack,Vin Diesel;Rose Leslie;Elijah Wood;Michael Caine
909,Falling Down,1993,Joel Schumacher,Ebbe Roe Smith,Michael Douglas;Robert Duvall;Barbara Hershey;Tuesday Weld
910,Surf's Up,2007,Ash Brannon;Chris Buck,Ash Brannon;Don Rhymer;Chris Buck;Christopher Jenkins;Christian Darren;Lisa Addario;Joe Syracuse,Shia LaBeouf;Jeff Bridges;Zooey Deschanel;Jon Heder
911,Notting Hill,1999,Roger Michell,Richard Curtis,Julia Roberts;Hugh Grant;Gina McKee;Tim McInnerny
912,Rambo: First Blood Part II,1985,George P. Cosmatos,Sylvester Stallone;James Cameron,Sylvester Stallone;Richard Crenna;Charles Napier;Steven Berkoff
913,Max,2015,Boaz Yakin,Boaz Yakin;Sheldon Lettich,Lauren Graham;Robbie Amell;Thomas Haden Church;Luke Kleintank
914,Sleepy Hollow,1999,Tim Burton,Andrew Kevin Walker;Washington Irving,Johnny Depp;Ian McDiarmid;Casper Van Dien;Michael Gough
915,Parker,2013,Taylor Hackford,Donald E. Westlake;John J. McLaughlin,Jason Statham;Jennifer Lopez;Nick Nolte;Michael Chiklis
916,Fatal Attraction,1987,Adrian Lyne,James Dearden,Michael Douglas;Glenn Close;Anne Archer;Ellen Hamilton Latzen
917,Rise of the Planet of the Apes,2011,Rupert Wyatt,Rick Jaffa;Amanda Silver,Andy Serkis;Karin Konoval;Freida Pinto;James Franco
918,Trance,2013,Danny Boyle,Joe Ahearne;John Hodge,James McAvoy;Vincent Cassel;Rosario Dawson;Adam S. Gottbetter
919,Larry Crowne,2011,Tom Hanks,Nia Vardalos;Tom Hanks,Tom Hanks;Julia Roberts;Bryan Cranston;Cedric the Entertainer
920,LEGO DC Super Heroes: Justice League - Attack of the Legion of Doom!,2015,Rick Morales,Jim Krieg,Mark Hamill;Troy Baker;Nolan North;Josh Keaton
921,True Lies,1994,James Cameron,James Cameron,Arnold Schwarzenegger;Jamie Lee Curtis;Tom Arnold;Bill Paxton
922,10 Things I Hate About You,1999,Gil Junger,Karen McCullah Lutz;Kirsten Smith,Heath Ledger;Julia Stiles;Joseph Gordon-Levitt;Larisa Oleynik
923,Wild,2014,Jean-Marc Vallée,Nick Hornby,Reese Witherspoon;Laura Dern;Thomas Sadoski;Keene McRae
925,Meet the Fockers,2004,Jay Roach,Jim Herzfeld;Marc Hyman;John Hamburg,Ben Stiller;Teri Polo;Robert De Niro;Dustin Hoffman
926,9,2009,Shane Acker,Shane Acker;Pamela Pettler,Elijah Wood;John C. Reilly;Jennifer Connelly;Christopher Plummer
927,Megamind,2010,Tom McGrath,Alan J. Schoolcraft;Brent Simons,Will Ferrell;Brad Pitt;Tina Fey;Jonah Hill
928,Hot Bubblegum,1981,Boaz Davidson,Boaz Davidson;Eli Tavor;Sam Waynberg,Yftach Katzur;Jonathan Sagall;Zachi Noy;Ariella Rabinovich
929,Wrong Turn,2003,Rob Schmidt,Alan B. McElroy,Desmond Harrington;Eliza Dushku;Emmanuelle Chriqui;Jeremy Sisto
930,Seven Psychopaths,2012,Martin McDonagh,Martin McDonagh,Colin Farrell;Sam Rockwell;Christopher Walken;Woody Harrelson
932,The Raid 2,2014,Gareth Evans,Gareth Evans,Iko Uwais;Arifin Putra;Tio Pakusodewo;Oka Antara
933,Black Hawk Down,2001,Ridley Scott,Mark Bowden;Ken Nolan,Josh Hartnett;Ewan McGregor;Jason Isaacs;Tom Sizemore
934,Prophet’s Prey,2015,Amy Berg,,
935,Mud,2012,Jeff Nichols,Jeff Nichols,Matthew McConaughey;Tye Sheridan;Jacob Lofland;Sam Shepard
936,The Secret World of Arrietty,2010,Hiromasa Yonebayashi,Hayao Miyazaki;Mary Norton,Mirai Shida;Ryunosuke Kamiki;Tomokazu Miura;Tatsuya Fujiwara
937,Alientampon,2015,Jan Zenkner,Hanno von Contzen;Jan Zenkner,Tom Beck;Ramona Beckmann;Bejo Dohmen;Simon Gosejohann
938,Robin Hood,2010,Ridley Scott,Brian Helgeland,Russell Crowe;Cate Blanchett;Mark Strong;Oscar Isaac
939,Event Horizon,1997,Paul W.S. Anderson,Philip Eisner,Laurence Fishburne;Sam Neill;Kathleen Quinlan;Joely Richardson
940,The Illusionist,2006,Neil Burger,Neil Burger;Steven Millhauser,Edward Norton;Jessica Biel;Paul Giamatti;Rufus Sewell
941,Stoker,2013,Park Chan-wook,Wentworth Miller,Mia Wasikowska;Nicole Kidman;Dermot Mulroney;Matthew Goode
942,Malena,2000,Giuseppe Tornatore,Luciano Vincenzoni,Monica Bellucci;Giuseppe Sulfaro;Luciano Federico;Matilde Piana
943,Playing It Cool,2014,Justin Reardon,Chris Shafer;Paul Vicknair,Chris Evans;Michelle Monaghan;Aubrey Plaza;Ioan Gruffudd
944,Legends of the Fall,1994,Edward Zwick,Jim Harrison;Susan Shilliday;William D. Wittliff,Brad Pitt;Anthony Hopkins;Aidan Quinn;Julia Ormond
945,The Exorcist,1973,William Friedkin,William Peter Blatty,Linda Blair;Max von Sydow;Ellen Burstyn;Jason Miller
946,Memories of Murder,2003,Bong Joon-ho ,Kwang-rim Kim;Sung Bo Shim;Bong Joon-ho ,Song Kang-ho;Sang-kyung Kim;Kim Roe-Ha;Song Jae-ho 
948,All Ladies Do It,1992,Tinto Brass,Tinto Brass,Claudia Koll;Paolo Lanza;Ornella Marcucci;Isabella Deiana
949,Inside Man,2006,Spike Lee,Russell Gewirtz,Denzel Washington;Jodie Foster;Clive Owen;Christopher Plummer
950,Ghostbusters,1984,Ivan Reitman,Dan Aykroyd;Harold Ramis,Bill Murray;Dan Aykroyd;Sigourney Weaver;Harold Ramis
951,One Floor Below,2015,Radu Muntean,Alexandru Baciu;Radu Muntean;Razvan Radulescu,Teodor Corban;Oxana Moravec;Ionut Bora;Maria Popistasu
952,Intolerable Cruelty,2003,Ethan Coen;Joel Coen,Joel Coen;Ethan Coen;Matthew Stone;Robert Ramsey;John Romano,George Clooney;Catherine Zeta-Jones;Edward Herrmann;Geoffrey Rush
953,Bad Teacher,2011,Jake Kasdan,Gene Stupnitsky;Lee Eisenberg,Jason Segel;Cameron Diaz;Justin Timberlake;Lucy Punch
954,Playing with Love,1977,Pier Giuseppe Murgia,Peter Berling;Pier Giuseppe Murgia,Lara Wendel;Eva Ionesco;Martin Loeb;Xylot
955,Tears of the Sun,2003,Antoine Fuqua,Alex Lasker;Patrick Cirillo,Bruce Willis;Monica Bellucci;Cole Hauser;Eamonn Walker
956,Super 8,2011,J.J. Abrams,J.J. Abrams,Joel Courtney;Elle Fanning;Riley Griffiths;Kyle Chandler
957,The 40 Year Old Virgin,2005,Judd Apatow,Judd Apatow;Steve Carell,Steve Carell;Catherine Keener;Paul Rudd;Romany Malco
958,The Social Network,2010,David Fincher,Aaron Sorkin;Ben Mezrich,Jesse Eisenberg;Andrew Garfield;Justin Timberlake;Rooney Mara
959,Lethal Weapon 3,1992,Richard Donner,Jeffrey Boam;Robert Mark Kamen,Mel Gibson;Danny Glover;Joe Pesci;Rene Russo
960,Keet & Koen: The Treasure Hunt,2015,Annemarie Mooren,Dick van den Heuvel,Aad van Toor;Bas van Toor;Patrick Martens;Janouk Kelderman
961,The Lion King 1½,2004,Bradley Raymond,Tom Rogers,Nathan Lane;Ernie Sabella;Julie Kavner;Jerry Stiller
962,Meet the Robinsons,2007,Stephen J. Anderson,Michelle Bochner,Tom Selleck;Laurie Metcalf;Angela Bassett;Nicole Sullivan
963,American Reunion,2012,Jon Hurwitz;Hayden Schlossberg,Adam Herz,Jason Biggs;Alyson Hannigan;Seann William Scott;Chris Klein
964,Mr. Deeds,2002,Steven Brill,Tim Herlihy,Adam Sandler;Winona Ryder;John Turturro;Allen Covert
965,47 Ronin,2013,Carl Rinsch,Chris Morgan;Hossein Amini,Keanu Reeves;Hiroyuki Sanada;Kou Shibasaki;Tadanobu Asano
966,Fantastic 4: Rise of the Silver Surfer,2007,Tim Story,Don Payne,Ioan Gruffudd;Jessica Alba;Chris Evans;Michael Chiklis
967,Innerspace,1987,Joe Dante,Jeffrey Boam;Chip Proser,Martin Short;Dennis Quaid;Meg Ryan;Kevin McCarthy
968,Scary Movie 2,2001,Keenen Ivory Wayans,Shawn Wayans;Marlon Wayans;Alyson Fouse;Greg Grabianski;Dave Polsky;Michael Anthony Snowden;Craig Wayans,Anna Faris;Marlon Wayans;James DeBello;Shawn Wayans
969,Love's Coming,2014,Naphat Chaithiangthum,Naphat Chaithiangthum,Suttinut Uengtrakul;Norrapat Sakulsong;Chanon Santinatornkul;Suraphat Kirivichien
970,Wrong Turn 4: Bloody Beginnings,2011,Declan O'Brien,Declan O'Brien,Terra Vnesa;Dean Armstrong;Kaitlyn Wong;Jennifer Pudavick
971,The Punisher,2004,Jonathan Hensleigh,Jonathan Hensleigh;Michael France,Thomas Jane;John Travolta;Will Patton;Samantha Mathis
972,Apollo 13,1995,Ron Howard,William Broyles Jr.;Al Reinert;Jeffrey Kluger;Jim Lovell,Tom Hanks;Bill Paxton;Kevin Bacon;Gary Sinise
973,Crank,2006,Brian Taylor;Mark Neveldine,Brian Taylor;Mark Neveldine,Jason Statham;Amy Smart;Efren Ramirez;Jose Pablo Cantillo
974,Kung Fu Panda 2,2011,Jennifer Yuh,Jonathan Aibel;Glenn Berger,Jack Black;Angelina Jolie;Dustin Hoffman;Gary Oldman
975,Mortal Kombat: Annihilation,1997,John R. Leonetti,Joshua Wexler;Larry Kasanoff,Robin Shou;Talisa Soto;Sandra Hess;Lynn 'Red' Williams
976,Gattaca,1997,Andrew Niccol,Andrew Niccol,Ethan Hawke;Jude Law;Gore Vidal;Uma Thurman
977,The Wild,2006,Steve 'Spaz' Williams,Ed Decter;John J. Strauss;Mark Gibson;Philip Halprin;Matt Lopez;Steve 'Spaz' Williams;Lloyd Taylor;David Collard;Bill Wolkoff,Kiefer Sutherland;James Belushi;Eddie Izzard;Janeane Garofalo
978,Déjà Vu,2006,Tony Scott,Bill Marsilii;Terry Rossio,Denzel Washington;Paula Patton;Val Kilmer;Jim Caviezel
979,Kronk's New Groove,2005,Saul Blinkoff;Elliot M. Bour;Robin Steele,Tom Rogers;Michael LaBash;Anthony Leondis;Michael Lucker,Patrick Warburton;Tracey Ullman;Eartha Kitt;John Goodman
980,Armageddon,1998,Michael Bay,Robert Roy Pool;Jonathan Hensleigh,Bruce Willis;Billy Bob Thornton;Ben Affleck;Liv Tyler
981,The Sword in the Stone,1963,Wolfgang Reitherman,T.H. White;Bill Peet,Sebastian Cabot;Karl Swenson;Junius Matthews;Norman Alden
982,Raging Bull,1980,Martin Scorsese,Paul Schrader,Robert De Niro;Joe Pesci;Cathy Moriarty;Frank Vincent
983,Home Alone 2: Lost In New York,1992,Chris Columbus,John Hughes,Macaulay Culkin;Joe Pesci;Catherine O'Hara;Daniel Stern
984,She’s Funny That Way,2014,Peter Bogdanovich,Peter Bogdanovich;Louise Stratten,Jennifer Aniston;Imogen Poots;Lucy Punch;Owen Wilson
985,Scooby-Doo 2: Monsters Unleashed,2004,Raja Gosnell,James Gunn,Freddie Prinze Jr.;Sarah Michelle Gellar;Matthew Lillard;Linda Cardellini
986,Mulholland Drive,2001,David Lynch,David Lynch,Naomi Watts;Laura Harring;Ann Miller;Dan Hedaya
988,Aladdin and the King of Thieves,1996,Tad Stones,Mark McCorkle;Bob Schooley,Robin Williams;Scott Weinger;Linda Larkin;John Rhys-Davies
989,Very Big Shot,2015,Mir-Jean Bou Chaaya,,Alain Saadeh;Tarek Yaacoub
990,Step Up Revolution,2012,Scott Speer,Amanda Brody,Kathryn McCormick;Ryan Guzman;Stephen Boss;Megan Boone
991,Hostage,2005,Florent-Emilio Siri,Doug Richardson;Robert Crais,Bruce Willis;Kevin Pollak;Jimmy Bennett;Michelle Horn
992,Blue Lagoon: The Awakening,2012,Jake Newsome,Matt Heller,Indiana Evans;Brenton Thwaites;Denise Richards;Frank John Hughes
993,Crank: High Voltage,2009,Mark Neveldine;Brian Taylor,Brian Taylor;Mark Neveldine,Jason Statham;Amy Smart;Bai Ling;Corey Haim
994,The Fighter,2010,David O. Russell,Scott Silver;Paul Tamasy;Eric Johnson;Keith Dorrington,Mark Wahlberg;Christian Bale;Amy Adams;Melissa Leo
995,Rage,2014,Paco Cabezas,Jim Agnew;Sean Keller,Nicolas Cage;Aubrey Peeples;Rachel Nichols;Peter Stormare
996,Speed,1994,Jan de Bont,Graham Yost,Keanu Reeves;Sandra Bullock;Dennis Hopper;Jeff Daniels
997,The Monuments Men,2014,George Clooney,George Clooney;Grant Heslov;Robert M. Edsel;Bret Witter,Matt Damon;Cate Blanchett;George Clooney;Bill Murray
998,Killers,2010,Robert Luketic,Bob DeRosa;Ted Griffin,Katherine Heigl;Ashton Kutcher;Tom Selleck;Catherine O'Hara
999,Wave vs. Shore,2015,,,
1000,The Next Three Days,2010,Paul Haggis,Paul Haggis;Fred Cavayé;Guillaume Lemans,Russell Crowe;Brian Dennehy;RZA;Moran Atias
1001,Superbad,2007,Greg Mottola,Seth Rogen;Evan Goldberg,Jonah Hill;Michael Cera;Christopher Mintz-Plasse;Bill Hader
1002,Gone with the Wind,1939,Victor Fleming;George Cukor;Sam Wood,Margaret Mitchell;Sidney Howard;Oliver H.P. Garrett;Ben Hecht;Jo Swerling;John Van Druten,Vivien Leigh;Clark Gable;Olivia de Havilland;Thomas Mitchell
1003,Force Majeure,2014,Ruben Östlund,Ruben Östlund,Lisa Loven Kongsli;Johannes Kuhnke;Clara Wettergren;Vincent Wettergren
1004,Project X,2012,Nima Nourizadeh,Matt Drake;Michael Bacall,Oliver Cooper;Jonathan Daniel Brown;Thomas Mann;Dax Flame
1005,Thunderball,1965,Terence Young,Jack Whittingham;Richard Maibaum;John Hopkins;Kevin McClory,Sean Connery;Claudine Auger;Adolfo Celi;Luciana Paluzzi
1006,Ice Age: Continental Drift,2012,Steve Martino;Mike Thurmeier,Michael Berg;Jason Fuchs,John Leguizamo;Ray Romano;Chris Wedge;Denis Leary
1007,Midnight in Paris,2011,Woody Allen,Woody Allen,Owen Wilson;Rachel McAdams;Kurt Fuller;Mimi Kennedy
1008,Signs,2002,M. Night Shyamalan,M. Night Shyamalan,Mel Gibson;Joaquin Phoenix;Rory Culkin;Abigail Breslin
1009,Liar Liar,1997,Tom Shadyac,Paul Guay;Stephen Mazur,Jim Carrey;Maura Tierney;Justin Cooper;Cary Elwes
1010,The Woman in Black,2012,James Watkins,Jane Goldman;Susan Hill ,Daniel Radcliffe;Ciarán Hinds;Sidney Johnston;Alisa Khazanova
1011,American Pie Presents: The Naked Mile,2006,Joe Nussbaum,Erik Lindsay,Christopher McDonald;Eugene Levy;John White;Jessy Schram
1012,Jaws 2,1978,Jeannot Szwarc,Carl Gottlieb;Howard Sackler;Peter Benchley,Roy Scheider;Lorraine Gary;Murray Hamilton;Joseph Mascolo
1014,Pretty Woman,1990,Garry Marshall,J. F. Lawton,Julia Roberts;Richard Gere;Ralph Bellamy;Jason Alexander
1015,Saw VI,2009,Kevin Greutert,Patrick Melton;Marcus Dunstan,Tobin Bell;Costas Mandylor;Betsy Russell;Mark Rolston
1016,P.S. I Love You,2007,Richard LaGravenese,Richard LaGravenese;Steven Rogers;Cecelia Ahern,Hilary Swank;Gerard Butler;Lisa Kudrow;Harry Connick Jr.
1017,Mr. Bean's Holiday,2007,Steve Bendelack,Robin Driscoll;Hamish McColl;Simon McBurney,Rowan Atkinson;Max Baldry;Emma de Caunes;Willem Dafoe
1018,Movie 43,2013,Steven Brill;Elizabeth Banks;Steve Carr;Rusty Cundieff;James Duffy;Griffin Dunne;Peter Farrelly;Patrik Forsberg;James Gunn;Bob Odenkirk;Brett Ratner,Will Carlough;Patrik Forsberg;Matt Portenoy;Greg Pritikin;Jeremy Sosenko;Rocky Russo;Steve Baker,Dennis Quaid;Greg Kinnear;Common;Charlie Saxton
1019,Pearl Harbor,2001,Michael Bay,Randall Wallace,Ben Affleck;Josh Hartnett;Kate Beckinsale;Cuba Gooding Jr.
1020,Tropic Thunder,2008,Ben Stiller,Ben Stiller;Justin Theroux;Etan Cohen,Ben Stiller;Robert Downey Jr.;Jack Black;Jay Baruchel
1021,Man on a Ledge,2012,Asger Leth,Pablo F. Fenjves,Sam Worthington;Elizabeth Banks;Jamie Bell;Ed Harris
1022,Red Riding Hood,2011,Catherine Hardwicke,David Johnson,Amanda Seyfried;Gary Oldman;Billy Burke;Shiloh Fernandez
1023,Goldfinger,1964,Guy Hamilton,Ian Fleming;Richard Maibaum;Paul Dehn,Sean Connery;Honor Blackman;Gert Fröbe;Shirley Eaton
1024,The Last Emperor,1987,Bernardo Bertolucci,Mark Peploe;Bernardo Bertolucci;Enzo Ungari;Henry Pu-yi,John Lone;Peter O'Toole;Joan Chen;Dennis Dun
1025,Last Vegas,2013,Jon Turteltaub,Dan Fogelman,Robert De Niro;Morgan Freeman;Michael Douglas;Kevin Kline
1026,Spider-Man 2,2004,Sam Raimi,Alvin Sargent,Tobey Maguire;Kirsten Dunst;James Franco;Alfred Molina
1027,Jarhead,2005,Sam Mendes,William Broyles Jr.;Anthony Swofford,Jamie Foxx;Jake Gyllenhaal;Scott MacDonald;Lucas Black
1028,The Untouchables,1987,Brian De Palma,Oscar Fraley;Eliot Ness;David Mamet,Kevin Costner;Sean Connery;Robert De Niro;Andy García
1029,Blue Ruin,2014,Jeremy Saulnier,Jeremy Saulnier,Macon Blair;Devin Ratray;Amy Hargreaves;Kevin Kolack
1030,Air Force One,1997,Wolfgang Petersen,Andrew W. Marlowe,Harrison Ford;Gary Oldman;Glenn Close;Wendy Crewson
1031,Fatima,2015,Philippe Faucon,Philippe Faucon,Zita Hanrot;Mehdi Senoussi;Franck Andrieux;Yolanda Mpele
1032,Lincoln,2012,Steven Spielberg,Tony Kushner;Doris Kearns Goodwin,Daniel Day-Lewis;Sally Field;David Strathairn;Joseph Gordon-Levitt
1033,Lord of War,2005,Andrew Niccol,Andrew Niccol,Nicolas Cage;Bridget Moynahan;Jared Leto;Ethan Hawke
1034,The Polar Express,2004,Robert Zemeckis,Robert Zemeckis;Chris Van Allsburg;William Broyles Jr.,Tom Hanks;Michael Jeter;Eddie Deezen;Chris Coppola
1035,Journey 2: The Mysterious Island,2012,Brad Peyton,Brian Gunn;Mark Gunn;Richard Outten,Dwayne Johnson;Josh Hutcherson;Kristin Davis;Vanessa Hudgens
1036,The Money Pit,1986,Richard Benjamin,David Giler,Tom Hanks;Shelley Long;Alexander Godunov;Maureen Stapleton
1037,What Happens in Vegas,2008,Tom Vaughan,Dana Fox,Ashton Kutcher;Cameron Diaz;Lake Bell;Queen Latifah
1038,Hotel Desire,2011,Sergej Moja,Sergej Moja,Saralisa Volm;Clemens Schick;Jan-Gregor Kremp;Herbert Knaup
1039,Amélie,2001,Jean-Pierre Jeunet,Guillaume Laurant;Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus;Jamel Debbouze
1040,The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen,Miles Millar;Alfred Gough,Brendan Fraser;Jet Li;John Hannah;Maria Bello
1041,Locke,2013,Steven Knight,Steven Knight,Tom Hardy;Ruth Wilson;Andrew Scott;Olivia Colman
1042,Robin Hood: Prince of Thieves,1991,Kevin Reynolds,John Watson;Pen Densham,Kevin Costner;Morgan Freeman;Christian Slater;Mary Elizabeth Mastrantonio
1043,Lawless,2012,John Hillcoat,Matt Bondurant;Nick Cave,Shia LaBeouf;Tom Hardy;Guy Pearce;Jessica Chastain
1044,Amnesiac,2015,Michael Polish,Mike Le;Amy Kolquist,Kate Bosworth;Wes Bentley;Shashawnee Hall;Richard Riehle
1045,The Sound of Music,1965,Robert Wise,Howard Lindsay;Russel Crouse;Ernest Lehman,Julie Andrews;Christopher Plummer;Eleanor Parker;Richard Haydn
1046,Equilibrium,2002,Kurt Wimmer,Kurt Wimmer,Christian Bale;Taye Diggs;Emily Watson;Angus Macfadyen
