ID,title,year,director,writer,actor
000751, The Spectacular Now, 2013, James Ponsoldt, Scott Neustadter; Michael H. Weber, Miles Teller; Shailene Woodley; Kyle Chandler
000752, Gang jiong, 2015, Zheng Xu, Huan Shu, Zheng Xu; Wei Zhao; Bei-Er Bao
000753, Locke, 2013, Steven Knight, Steven Knight, Tom Hardy; Olivia Colman; Ruth Wilson
000754, American Gangster, 2007, Ridley Scott, Steven Zaillian; Mark Jacobson, Denzel Washington; Russell Crowe; Chiwetel Ejiofor
000755, Selma, 2014, Ava DuVernay, Paul Webb, David Oyelowo; Carmen Ejogo; Tim Roth
000756, Area 51, 2015, Oren Peli, Christopher Denham; Oren Peli, Reid Warner; Darrin Bragg; Ben Rovner
000757, Batman Returns, 1992, Tim Burton, Bob Kane; Daniel Waters, Michael Keaton; Danny DeVito; Michelle Pfeiffer
000758, The Lord of the Rings: The Two Towers, 2002, Peter Jackson, J.R.R. Tolkien; Fran Walsh, Elijah Wood; Ian McKellen; Viggo Mortensen
000759, The Rise of the Krays, 2015, Zackary Adler, Ken Brown; Sebastian Brown, Simon Cotton; Kevin Leslie; Nicola Stapleton
000760, The Magnificent Seven, 2016, Antoine Fuqua, Akira Kurosawa; Shinobu Hashimoto, Chris Pratt; Matt Bomer; Denzel Washington
000761, The Dressmaker, 2015, Jocelyn Moorhouse, Rosalie Ham; P.J. Hogan, Kate Winslet; Liam Hemsworth; Hugo Weaving
000762, Beauty and the Beast, 1991, Gary Trousdale; Kirk Wise, Linda Woolverton; Roger Allers, Paige O'Hara; Robby Benson; Jesse Corti
000763, Gremlins, 1984, Joe Dante, Chris Columbus, Zach Galligan; Phoebe Cates; Hoyt Axton
000764, Stonehearst Asylum, 2014, Brad Anderson, Joe Gangemi; Edgar Allan Poe, Kate Beckinsale; Jim Sturgess; David Thewlis
000765, Tropic Thunder, 2008, Ben Stiller, Justin Theroux; Ben Stiller, Ben Stiller; Jack Black; Robert Downey Jr.
000766, Jerry Maguire, 1996, Cameron Crowe, Cameron Crowe, Tom Cruise; Cuba Gooding Jr.; Renée Zellweger
000767, Superman Returns, 2006, Bryan Singer, Michael Dougherty; Dan Harris, Brandon Routh; Kevin Spacey; Kate Bosworth
000768, The Descendants, 2011, Alexander Payne, Alexander Payne; Nat Faxon, George Clooney; Shailene Woodley; Amara Miller
000769, 28 Days Later..., 2002, Danny Boyle, Alex Garland, Cillian Murphy; Naomie Harris; Christopher Eccleston
000770, That Awkward Moment, 2014, Tom Gormican, Tom Gormican, Zac Efron; Michael B. Jordan; Miles Teller
000771, Unfinished Business, 2015, Ken Scott, Steve Conrad, Vince Vaughn; Dave Franco; Tom Wilkinson
000772, Mr. Holmes, 2015, Bill Condon, Mitch Cullin; Jeffrey Hatcher, Ian McKellen; Laura Linney; Hiroyuki Sanada
000773, Slap Shot, 1977, George Roy Hill, Nancy Dowd, Paul Newman; Michael Ontkean; Strother Martin
000774, Orphan, 2009, Jaume Collet-Serra, David Johnson; Alex Mace, Vera Farmiga; Peter Sarsgaard; Isabelle Fuhrman
000775, TRON: Legacy, 2010, Joseph Kosinski, Edward Kitsis; Adam Horowitz, Jeff Bridges; Garrett Hedlund; Olivia Wilde
000776, Harry Potter and the Order of the Phoenix, 2007, David Yates, Michael Goldenberg; J.K. Rowling, Daniel Radcliffe; Emma Watson; Rupert Grint
000777, Big Daddy, 1999, Dennis Dugan, Steve Franks; Steve Franks, Adam Sandler; Joey Lauren Adams; Jon Stewart
000778, Jack Reacher, 2012, Christopher McQuarrie, Lee Child; Christopher McQuarrie, Tom Cruise; Rosamund Pike; Richard Jenkins
000779, The Lucky One, 2012, Scott Hicks, Will Fetters; Nicholas Sparks, Zac Efron; Taylor Schilling; Blythe Danner
000780, Boyz n the Hood, 1991, John Singleton, John Singleton, Cuba Gooding Jr.; Laurence Fishburne; Hudhail Al-Amir
000781, The Lone Ranger, 2013, Gore Verbinski, Justin Haythe; Ted Elliott, Johnny Depp; Armie Hammer; William Fichtner
000782, Up in the Air(I), 2009, Jason Reitman, Walter Kirn; Jason Reitman, George Clooney; Vera Farmiga; Anna Kendrick
000783, Grown Ups, 2010, Dennis Dugan, Adam Sandler; Fred Wolf, Adam Sandler; Salma Hayek; Kevin James
000784, The Finest Hours, 2015, Craig Gillespie, Eric Johnson; Casey Sherman, Chris Pine; Holliday Grainger; Ben Foster
000785, Let's Be Cops, 2014, Luke Greenfield, Luke Greenfield; Nicholas Thomas, Jake Johnson; Damon Wayans Jr.; Rob Riggle
000786, Only Lovers Left Alive, 2013, Jim Jarmusch, Jim Jarmusch; Marion Bessay, Tilda Swinton; Tom Hiddleston; Mia Wasikowska
000787, Fright Night, 2011, Craig Gillespie, Marti Noxon; Tom Holland, Anton Yelchin; Colin Farrell; David Tennant
000788, Gangs of New York, 2002, Martin Scorsese, Jay Cocks; Jay Cocks, Leonardo DiCaprio; Cameron Diaz; Daniel Day-Lewis
000789, Waterworld, 1995, Kevin Reynolds, Peter Rader; David Twohy, Kevin Costner; Jeanne Tripplehorn; Dennis Hopper
000790, Hansel &amp; Gretel: Witch Hunters, 2013, Tommy Wirkola, Tommy Wirkola, Jeremy Renner; Gemma Arterton; Peter Stormare
000791, Robin Hood: Prince of Thieves, 1991, Kevin Reynolds, Pen Densham; Pen Densham, Kevin Costner; Morgan Freeman; Mary Elizabeth Mastrantonio
000792, Hitman(I), 2007, Xavier Gens, Skip Woods, Timothy Olyphant; Dougray Scott; Olga Kurylenko
000793, Blunt Force Trauma, 2015, Ken Sanzel, Ken Sanzel, Mickey Rourke; Freida Pinto; Ryan Kwanten
000794, What's Eating Gilbert Grape, 1993, Lasse Hallström, Peter Hedges; Peter Hedges, Johnny Depp; Leonardo DiCaprio; Juliette Lewis
000795, Children of Men, 2006, Alfonso Cuarón, Alfonso Cuarón; Timothy J. Sexton, Julianne Moore; Clive Owen; Chiwetel Ejiofor
000796, Deliverance, 1972, John Boorman, James Dickey; James Dickey, Jon Voight; Burt Reynolds; Ned Beatty
000797, Knights of the Roundtable: King Arthur, 2016, Guy Ritchie, Joby Harold, Charlie Hunnam; Jude Law; Katie McGrath
000798, The Diary of a Teenage Girl, 2015, Marielle Heller, Phoebe Gloeckner; Marielle Heller, Bel Powley; Alexander Skarsgård; Kristen Wiig
000799, Pretty Woman, 1990, Garry Marshall, J.F. Lawton, Richard Gere; Julia Roberts; Jason Alexander
000800, Midnight in Paris, 2011, Woody Allen, Woody Allen, Owen Wilson; Rachel McAdams; Kathy Bates
000801, The Mist, 2007, Frank Darabont, Frank Darabont; Stephen King, Thomas Jane; Marcia Gay Harden; Laurie Holden
000802, Night at the Museum, 2006, Shawn Levy, Robert Ben Garant; Thomas Lennon, Ben Stiller; Carla Gugino; Ricky Gervais
000803, Enchanted, 2007, Kevin Lima, Bill Kelly, Amy Adams; Susan Sarandon; James Marsden
000804, The Great Outdoors, 1988, Howard Deutch, John Hughes, Dan Aykroyd; John Candy; Stephanie Faracy
000805, Lost in Translation, 2003, Sofia Coppola, Sofia Coppola, Bill Murray; Scarlett Johansson; Giovanni Ribisi
000806, Jagten, 2012, Thomas Vinterberg, Tobias Lindholm; Thomas Vinterberg, Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp
000807, The A-Team, 2010, Joe Carnahan, Joe Carnahan; Brian Bloom, Liam Neeson; Bradley Cooper; Sharlto Copley
000808, 4Got10, 2015, Timothy Woodward Jr., Sean Ryan, Johnny Messner; Dolph Lundgren; Danny Trejo
000809, A Most Wanted Man, 2014, Anton Corbijn, Andrew Bovell; John le Carré, Philip Seymour Hoffman; Rachel McAdams; Daniel Brühl
000810, The Expendables 2, 2012, Simon West, Richard Wenk; Sylvester Stallone, Sylvester Stallone; Liam Hemsworth; Randy Couture
000811, Teen Lust, 2014, Blaine Thurier, Jason Stone; Blaine Thurier, Daryl Sabara; Cary Elwes; Emmanuelle Vaugier
000812, Immortals, 2011, Tarsem Singh, Charley Parlapanides; Vlas Parlapanides, Henry Cavill; Mickey Rourke; John Hurt
000813, Incendies, 2010, Denis Villeneuve, Valérie Beaugrand-Champagne; Wajdi Mouawad, Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette
000814, Wreck-It Ralph, 2012, Rich Moore, Rich Moore; Phil Johnston, John C. Reilly; Jack McBrayer; Jane Lynch
000815, Results, 2015, Andrew Bujalski, Andrew Bujalski, Guy Pearce; Cobie Smulders; Kevin Corrigan
000816, Public Enemies, 2009, Michael Mann, Ronan Bennett; Michael Mann, Christian Bale; Johnny Depp; David Wenham
000817, Apocalypto, 2006, Mel Gibson, Mel Gibson; Farhad Safinia, Gerardo Taracena; Raoul Trujillo; Dalia Hernández
000818, Breakfast at Tiffany's, 1961, Blake Edwards, Truman Capote; George Axelrod, Audrey Hepburn; George Peppard; Patricia Neal
000819, The Hurt Locker, 2008, Kathryn Bigelow, Mark Boal, Jeremy Renner; Anthony Mackie; Brian Geraghty
000820, The Book of Eli, 2010, Albert Hughes; Allen Hughes, Gary Whitta, Denzel Washington; Mila Kunis; Ray Stevenson
000821, Million Dollar Baby, 2004, Clint Eastwood, Paul Haggis; F.X. Toole, Hilary Swank; Clint Eastwood; Morgan Freeman
000822, Mystic River, 2003, Clint Eastwood, Brian Helgeland; Dennis Lehane, Sean Penn; Tim Robbins; Kevin Bacon
000823, Matilda, 1996, Danny DeVito, Roald Dahl; Nicholas Kazan, Danny DeVito; Rhea Perlman; Mara Wilson
000824, King Kong, 2005, Peter Jackson, Fran Walsh; Philippa Boyens, Naomi Watts; Jack Black; Adrien Brody
000825, Jaws, 1975, Steven Spielberg, Peter Benchley; Carl Gottlieb, Roy Scheider; Robert Shaw; Richard Dreyfuss
000826, Hercules, 1997, Ron Clements; John Musker, Ron Clements; John Musker, Tate Donovan; Susan Egan; James Woods
000827, Taken(I), 2008, Pierre Morel, Luc Besson; Robert Mark Kamen, Liam Neeson; Maggie Grace; Famke Janssen
000828, Horns, 2013, Alexandre Aja, Keith Bunin; Joe Hill, Daniel Radcliffe; Juno Temple; Max Minghella
000829, Batman Forever, 1995, Joel Schumacher, Bob Kane; Lee Batchler, Val Kilmer; Tommy Lee Jones; Jim Carrey
000830, White House Down, 2013, Roland Emmerich, James Vanderbilt, Channing Tatum; Jamie Foxx; Maggie Gyllenhaal
000831, Twister, 1996, Jan de Bont, Michael Crichton; Anne-Marie Martin, Helen Hunt; Bill Paxton; Cary Elwes
000832, Black Sea, 2014, Kevin Macdonald, Dennis Kelly, Jude Law; Scoot McNairy; Ben Mendelsohn
000833, Aloft, 2014, Claudia Llosa, Claudia Llosa, Jennifer Connelly; Cillian Murphy; Mélanie Laurent
000834, Amélie, 2001, Jean-Pierre Jeunet, Guillaume Laurant; Jean-Pierre Jeunet, Audrey Tautou; Mathieu Kassovitz; Rufus
000835, The Hundred-Foot Journey, 2014, Lasse Hallström, Steven Knight; Richard C. Morais, Helen Mirren; Om Puri; Manish Dayal
000836, Tracers, 2015, Daniel Benmayor, Matt Johnson; T.J. Scott, Taylor Lautner; Marie Avgeropoulos; Adam Rayner
000837, The Iron Giant, 1999, Brad Bird, Tim McCanlies; Brad Bird, Eli Marienthal; Harry Connick Jr.; Jennifer Aniston
000838, Into the Storm, 2014, Steven Quale, John Swetnam, Richard Armitage; Sarah Wayne Callies; Matt Walsh
000839, Wayne's World, 1992, Penelope Spheeris, Mike Myers; Mike Myers, Mike Myers; Dana Carvey; Rob Lowe
000840, Men in Black 3, 2012, Barry Sonnenfeld, Etan Cohen; Lowell Cunningham, Will Smith; Tommy Lee Jones; Josh Brolin
000841, Pompeii(I), 2014, Paul W.S. Anderson, Janet Scott Batchler; Lee Batchler, Kit Harington; Emily Browning; Kiefer Sutherland
000842, Despicable Me 2, 2013, Pierre Coffin; Chris Renaud, Cinco Paul; Ken Daurio, Steve Carell; Kristen Wiig; Benjamin Bratt
000843, Ricki and the Flash, 2015, Jonathan Demme, Diablo Cody, Meryl Streep; Kevin Kline; Mamie Gummer
000844, Gandhi, 1982, Richard Attenborough, John Briley, Ben Kingsley; John Gielgud; Candice Bergen
000845, Mud, 2012, Jeff Nichols, Jeff Nichols, Matthew McConaughey; Tye Sheridan; Jacob Lofland
000846, Scooby-Doo, 2002, Raja Gosnell, James Gunn; Craig Titley, Matthew Lillard; Freddie Prinze Jr.; Sarah Michelle Gellar
000847, How to Train Your Dragon 2, 2014, Dean DeBlois, Dean DeBlois; Cressida Cowell, Jay Baruchel; Cate Blanchett; Gerard Butler
000848, Infinitely Polar Bear, 2014, Maya Forbes, Maya Forbes, Mark Ruffalo; Zoe Saldana; Imogene Wolodarsky
000849, Twelve Monkeys, 1995, Terry Gilliam, Chris Marker; David Webb Peoples, Bruce Willis; Madeleine Stowe; Brad Pitt
000850, Green Lantern, 2011, Martin Campbell, Greg Berlanti; Michael Green, Ryan Reynolds; Blake Lively; Peter Sarsgaard
000851, The Incredible Hulk, 2008, Louis Leterrier, Zak Penn; Zak Penn, Edward Norton; Liv Tyler; Tim Roth
000852, 12 Rounds 3: Lockdown, 2015, Stephen Reynolds, Nathan Brookes; Bobby Lee Darby, Jonathan Good; Roger R. Cross; Daniel Cudmore
000853, Men in Black, 1997, Barry Sonnenfeld, Lowell Cunningham; Ed Solomon, Tommy Lee Jones; Will Smith; Linda Fiorentino
000854, Insidious: Chapter 2, 2013, James Wan, Leigh Whannell; James Wan, Patrick Wilson; Rose Byrne; Barbara Hershey
000855, Lawrence of Arabia, 1962, David Lean, T.E. Lawrence; Robert Bolt, Peter O'Toole; Alec Guinness; Anthony Quinn
000856, Little Miss Sunshine, 2006, Jonathan Dayton; Valerie Faris, Michael Arndt, Steve Carell; Toni Collette; Greg Kinnear
000857, The Italian Job, 2003, F. Gary Gray, Troy Kennedy-Martin; Donna Powers, Donald Sutherland; Mark Wahlberg; Edward Norton
000858, Annabelle(I), 2014, John R. Leonetti, Gary Dauberman, Ward Horton; Annabelle Wallis; Alfre Woodard
000859, The Hitchhiker's Guide to the Galaxy, 2005, Garth Jennings, Douglas Adams; Douglas Adams, Martin Freeman; Yasiin Bey; Sam Rockwell
000860, Taken 3, 2014, Olivier Megaton, Luc Besson; Robert Mark Kamen, Liam Neeson; Forest Whitaker; Maggie Grace
000861, RoboCop, 2014, José Padilha, Joshua Zetumer; Edward Neumeier, Joel Kinnaman; Gary Oldman; Michael Keaton
000862, Fear and Loathing in Las Vegas, 1998, Terry Gilliam, Hunter S. Thompson; Terry Gilliam, Johnny Depp; Benicio Del Toro; Tobey Maguire
000863, Dracula, 1992, Francis Ford Coppola, Bram Stoker; James V. Hart, Gary Oldman; Winona Ryder; Anthony Hopkins
000864, The Lovely Bones, 2009, Peter Jackson, Fran Walsh; Philippa Boyens, Rachel Weisz; Mark Wahlberg; Saoirse Ronan
000865, X-Men: The Last Stand, 2006, Brett Ratner, Simon Kinberg; Zak Penn, Patrick Stewart; Hugh Jackman; Halle Berry
000866, Project X, 2012, Nima Nourizadeh, Matt Drake; Michael Bacall, Thomas Mann; Oliver Cooper; Jonathan Daniel Brown
000867, Liar Liar, 1997, Tom Shadyac, Paul Guay; Stephen Mazur, Jim Carrey; Maura Tierney; Justin Cooper
000868, Footloose, 1984, Herbert Ross, Dean Pitchford, Kevin Bacon; Lori Singer; John Lithgow
000869, The Last House on the Left, 2009, Dennis Iliadis, Adam Alleca; Carl Ellsworth, Garret Dillahunt; Monica Potter; Tony Goldwyn
000870, Trash(I), 2014, Stephen Daldry; Christian Duurvoort, Felipe Braga; Richard Curtis, Rickson Tevez; Eduardo Luis; Gabriel Weinstein
000871, Rise of the Guardians, 2012, Peter Ramsey, David Lindsay-Abaire; William Joyce, Hugh Jackman; Alec Baldwin; Isla Fisher
000872, Atonement, 2007, Joe Wright, Ian McEwan; Christopher Hampton, Keira Knightley; James McAvoy; Brenda Blethyn
000873, Carrie, 2013, Kimberly Peirce, Lawrence D. Cohen; Roberto Aguirre-Sacasa, Chloë Grace Moretz; Julianne Moore; Gabriella Wilde
000874, The Runner(I), 2015, Austin Stark, Austin Stark, Nicolas Cage; Sarah Paulson; Connie Nielsen
000875, Dead Poets Society, 1989, Peter Weir, Tom Schulman, Robin Williams; Robert Sean Leonard; Ethan Hawke
000876, The Pianist, 2002, Roman Polanski, Ronald Harwood; Wladyslaw Szpilman, Adrien Brody; Thomas Kretschmann; Frank Finlay
000877, Monster, 2003, Patty Jenkins, Patty Jenkins, Charlize Theron; Christina Ricci; Bruce Dern
000878, The Captive, 2014, Atom Egoyan, Atom Egoyan; David Fraser, Ryan Reynolds; Scott Speedman; Rosario Dawson
000879, Jackie Brown, 1997, Quentin Tarantino, Quentin Tarantino; Elmore Leonard, Pam Grier; Samuel L. Jackson; Robert Forster
000880, Ender's Game, 2013, Gavin Hood, Gavin Hood; Orson Scott Card, Harrison Ford; Asa Butterfield; Hailee Steinfeld
000881, Not Another Teen Movie, 2001, Joel Gallen, Mike Bender; Adam Jay Epstein, Chyler Leigh; Jaime Pressly; Chris Evans
000882, The Others, 2001, Alejandro Amenábar, Alejandro Amenábar, Nicole Kidman; Christopher Eccleston; Fionnula Flanagan
000883, Labyrinth, 1986, Jim Henson, Dennis Lee; Jim Henson, David Bowie; Jennifer Connelly; Toby Froud
000884, Mr. &amp; Mrs. Smith, 2005, Doug Liman, Simon Kinberg, Brad Pitt; Angelina Jolie; Adam Brody
000885, Die Hard, 1988, John McTiernan, Roderick Thorp; Jeb Stuart, Bruce Willis; Alan Rickman; Bonnie Bedelia
000886, The Little Prince, 2015, Mark Osborne, Irena Brignull; Bob Persichetti, Marion Cotillard; Rachel McAdams; Benicio Del Toro
000887, White Chicks, 2004, Keenen Ivory Wayans, Keenen Ivory Wayans; Shawn Wayans, Marlon Wayans; Shawn Wayans; Busy Philipps
000888, The Bourne Ultimatum, 2007, Paul Greengrass, Tony Gilroy; Scott Z. Burns, Matt Damon; Édgar Ramírez; Joan Allen
000889, A.I. Artificial Intelligence, 2001, Steven Spielberg, Brian Aldiss; Ian Watson, Haley Joel Osment; Jude Law; Frances O'Connor
000890, The Fast and the Furious: Tokyo Drift, 2006, Justin Lin, Chris Morgan, Lucas Black; Zachery Ty Bryan; Shad Moss
000891, Fast &amp; Furious, 2009, Justin Lin, Chris Morgan; Gary Scott Thompson, Vin Diesel; Paul Walker; Michelle Rodriguez
000892, R.L. Stine's Monsterville: The Cabinet of Souls, 2015, Peter DeLuise, Dan Angel; Billy Brown, Dove Cameron; Katherine McNamara; Ryan McCartan
000893, The Little Rascals, 1994, Penelope Spheeris, Penelope Spheeris; Robert Wolterstorff, Travis Tedford; Bug Hall; Brittany Ashton Holmes
000894, The Punisher, 2004, Jonathan Hensleigh, Jonathan Hensleigh; Michael France, Thomas Jane; John Travolta; Samantha Mathis
000895, Predator, 1987, John McTiernan, Jim Thomas; John Thomas, Arnold Schwarzenegger; Carl Weathers; Kevin Peter Hall
000896, Beyond the Mask, 2015, Chad Burns, Paul McCusker, Andrew Cheney; John Rhys-Davies; Kara Killmer
000897, Casino, 1995, Martin Scorsese, Nicholas Pileggi; Nicholas Pileggi, Robert De Niro; Sharon Stone; Joe Pesci
000898, Katti Batti, 2015, Nikhil Advani, Nikhil Advani; Anshul Singhal, Imran Khan; Kangana Ranaut; Vivan Bhatena
000899, The Thing, 1982, John Carpenter, Bill Lancaster; John W. Campbell Jr., Kurt Russell; Wilford Brimley; Keith David
000900, Willy Wonka &amp; the Chocolate Factory, 1971, Mel Stuart, Roald Dahl; Roald Dahl, Gene Wilder; Jack Albertson; Peter Ostrum
000901, Hairspray, 2007, Adam Shankman, Leslie Dixon; John Waters, John Travolta; Queen Latifah; Nikki Blonsky
000902, The Gamechangers, 2015, Owen Harris, James Wood, Daniel Radcliffe; Bill Paxton; Joe Dempsie
000903, Out of the Furnace, 2013, Scott Cooper, Brad Ingelsby; Scott Cooper, Christian Bale; Casey Affleck; Zoe Saldana
000904, Safe Haven(I), 2013, Lasse Hallström, Dana Stevens; Gage Lansky, Julianne Hough; Josh Duhamel; Cobie Smulders
000905, Flight(I), 2012, Robert Zemeckis, John Gatins, Denzel Washington; Nadine Velazquez; Don Cheadle
000906, Pretty in Pink, 1986, Howard Deutch, John Hughes, Molly Ringwald; Jon Cryer; Harry Dean Stanton
000907, Never Let Me Go, 2010, Mark Romanek, Kazuo Ishiguro; Alex Garland, Keira Knightley; Carey Mulligan; Andrew Garfield
000908, A Walk Among the Tombstones, 2014, Scott Frank, Scott Frank; Lawrence Block, Liam Neeson; Dan Stevens; David Harbour
000909, In Bruges, 2008, Martin McDonagh, Martin McDonagh, Colin Farrell; Brendan Gleeson; Ciarán Hinds
000910, Moulin Rouge!, 2001, Baz Luhrmann, Baz Luhrmann; Craig Pearce, Nicole Kidman; Ewan McGregor; John Leguizamo
000911, Underworld, 2003, Len Wiseman, Kevin Grevioux; Len Wiseman, Kate Beckinsale; Scott Speedman; Shane Brolly
000912, Muck(I), 2015, Steve Wolsh, Steve Wolsh, Lachlan Buchanan; Puja Mohindra; Bryce Draper
000913, Beowulf, 2007, Robert Zemeckis, Neil Gaiman; Roger Avary, Ray Winstone; Crispin Glover; Angelina Jolie
000914, The Pacifier, 2005, Adam Shankman, Thomas Lennon; Robert Ben Garant, Vin Diesel; Brittany Snow; Max Thieriot
000915, Jersey Boys, 2014, Clint Eastwood, Marshall Brickman; Rick Elice, John Lloyd Young; Erich Bergen; Michael Lomenda
000916, The Stanford Prison Experiment, 2015, Kyle Patrick Alvarez, Tim Talbott, Ezra Miller; Tye Sheridan; Billy Crudup
000918, Billy Madison, 1995, Tamra Davis, Tim Herlihy; Adam Sandler, Adam Sandler; Darren McGavin; Bridgette Wilson-Sampras
000919, The Jungle Book, 1967, Wolfgang Reitherman, Larry Clemmons; Ralph Wright, Phil Harris; Sebastian Cabot; Louis Prima
000920, Bridge to Terabithia, 2007, Gabor Csupo, Jeff Stockwell; David Paterson, Josh Hutcherson; AnnaSophia Robb; Zooey Deschanel
000922, EuroTrip, 2004, Jeff Schaffer; Alec Berg, Alec Berg; David Mandel, Scott Mechlowicz; Jacob Pitts; Michelle Trachtenberg
000923, While We're Young, 2014, Noah Baumbach, Noah Baumbach, Ben Stiller; Naomi Watts; Adam Driver
000924, Tarzan, 2016, David Yates, Edgar Rice Burroughs; Stuart Beattie, Margot Robbie; Ella Purnell; Alexander Skarsgård
000925, Hulk, 2003, Ang Lee, Stan Lee; Jack Kirby, Eric Bana; Jennifer Connelly; Sam Elliott
000926, The League of Extraordinary Gentlemen, 2003, Stephen Norrington, Alan Moore; Kevin O'Neill, Sean Connery; Stuart Townsend; Peta Wilson
000927, Evil Dead, 2013, Fede Alvarez, Fede Alvarez; Rodo Sayagues, Jane Levy; Shiloh Fernandez; Jessica Lucas
000928, Erin Brockovich, 2000, Steven Soderbergh, Susannah Grant, Julia Roberts; Albert Finney; David Brisbin
000929, Brooklyn, 2015, John Crowley, Nick Hornby; Nick Hornby, Saoirse Ronan; Domhnall Gleeson; Michael Zegen
000930, Wild Card, 2015, Simon West, William Goldman; William Goldman, Jason Statham; Michael Angarano; Dominik García-Lorido
000931, The Hungover Games, 2014, Josh Stolberg, Kyle Barnett Anderson; Kyle Barnett Anderson, Ross Nathan; Sam Pancake; Ben Begley
000932, Jumanji, 1995, Joe Johnston, Jonathan Hensleigh; Greg Taylor, Robin Williams; Kirsten Dunst; Bonnie Hunt
000933, Rudderless, 2014, William H. Macy, Casey Twenter; Jeff Robison, Billy Crudup; Anton Yelchin; Felicity Huffman
000934, The Bank Job, 2008, Roger Donaldson, Dick Clement; Ian La Frenais, Jason Statham; Saffron Burrows; Stephen Campbell Moore
000935, Creep(I), 2014, Patrick Brice, Patrick Brice; Mark Duplass, Patrick Brice; Mark Duplass
000936, A Knight's Tale, 2001, Brian Helgeland, Brian Helgeland, Heath Ledger; Mark Addy; Rufus Sewell
000937, Daredevil, 2003, Mark Steven Johnson, Mark Steven Johnson, Ben Affleck; Jennifer Garner; Colin Farrell
000938, Dawn of the Dead, 2004, Zack Snyder, George A. Romero; James Gunn, Sarah Polley; Ving Rhames; Mekhi Phifer
000939, The Incredibles 2, 2019, Brad Bird, Brad Bird, 
000940, Testament of Youth, 2014, James Kent, Vera Brittain; Juliette Towhidi, Alicia Vikander; Kit Harington; Taron Egerton
000941, The 40-Year-Old Virgin, 2005, Judd Apatow, Judd Apatow; Steve Carell, Steve Carell; Catherine Keener; Paul Rudd
000942, Casablanca, 1942, Michael Curtiz, Julius J. Epstein; Philip G. Epstein, Humphrey Bogart; Ingrid Bergman; Paul Henreid
000943, Camp X-Ray, 2014, Peter Sattler, Peter Sattler, Kristen Stewart; Peyman Moaadi; Lane Garrison
000944, John Tucker Must Die, 2006, Betty Thomas, Jeff Lowell, Jesse Metcalfe; Ashanti; Arielle Kebbel
000945, Step Up, 2006, Anne Fletcher, Duane Adler; Melissa Rosenberg, Channing Tatum; Jenna Dewan Tatum; Damaine Radcliff
000946, War Pigs, 2015, Ryan Little, Adam Emerson; Andrew Kightlinger, Luke Goss; Dolph Lundgren; Chuck Liddell
000947, Face/Off, 1997, John Woo, Mike Werb; Michael Colleary, John Travolta; Nicolas Cage; Joan Allen
000948, The Quick and the Dead, 1995, Sam Raimi, Simon Moore, Sharon Stone; Gene Hackman; Russell Crowe
000949, WALL·E, 2008, Andrew Stanton, Andrew Stanton; Pete Docter, Ben Burtt; Elissa Knight; Jeff Garlin
000950, RocknRolla, 2008, Guy Ritchie, Guy Ritchie, Gerard Butler; Tom Wilkinson; Idris Elba
000951, The Croods, 2013, Kirk De Micco; Chris Sanders, Chris Sanders; Kirk De Micco, Nicolas Cage; Ryan Reynolds; Emma Stone
000952, Olympus Has Fallen, 2013, Antoine Fuqua, Creighton Rothenberger; Katrin Benedikt, Gerard Butler; Aaron Eckhart; Morgan Freeman
000953, Scream 4, 2011, Wes Craven, Kevin Williamson, Neve Campbell; Courteney Cox; David Arquette
000954, Philomena, 2013, Stephen Frears, Steve Coogan; Jeff Pope, Judi Dench; Steve Coogan; Sophie Kennedy Clark
000955, American Reunion, 2012, Jon Hurwitz; Hayden Schlossberg, Jon Hurwitz; Hayden Schlossberg, Jason Biggs; Alyson Hannigan; Seann William Scott
000956, The Pursuit of Happyness, 2006, Gabriele Muccino, Steve Conrad, Will Smith; Thandie Newton; Jaden Smith
000957, 127 Hours, 2010, Danny Boyle, Danny Boyle; Simon Beaufoy, James Franco; Amber Tamblyn; Kate Mara
000958, Ocean's Thirteen, 2007, Steven Soderbergh, Brian Koppelman; David Levien, George Clooney; Brad Pitt; Matt Damon
000959, L.A. Confidential, 1997, Curtis Hanson, James Ellroy; Brian Helgeland, Kevin Spacey; Russell Crowe; Guy Pearce
000960, Shrek, 2001, Andrew Adamson; Vicky Jenson, William Steig; Ted Elliott, Mike Myers; Eddie Murphy; Cameron Diaz
000961, I'll See You in My Dreams, 2015, Brett Haley, Marc Basch; Brett Haley, Blythe Danner; Martin Starr; Sam Elliott
000962, Good Kill, 2014, Andrew Niccol, Andrew Niccol, Ethan Hawke; January Jones; Zoë Kravitz
000963, Gone with the Wind, 1939, Victor Fleming; George Cukor, Margaret Mitchell; Sidney Howard, Clark Gable; Vivien Leigh; Thomas Mitchell
000964, 8 Mile, 2002, Curtis Hanson, Scott Silver, Eminem; Brittany Murphy; Kim Basinger
000965, From Prada to Nada, 2011, Angel Gracia, Fina Torres; Luis Alfaro, Camilla Belle; Alexa PenaVega; Kuno Becker
000966, Escape Plan, 2013, Mikael Håfström, Miles Chapman; Jason Keller, Sylvester Stallone; Arnold Schwarzenegger; 50 Cent
000967, Big Stone Gap, 2014, Adriana Trigiani, Adriana Trigiani, Ashley Judd; Patrick Wilson; Whoopi Goldberg
