ID,Title,Author,Price,Edition,ASIN,ISBN_13,ISBN_10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight
233,CHFI Computer Hacking Forensic Investigator Certification All-in-One Exam Guide,Charles L. Brooks,$28.99 ,1st Edition,,978-0071831567,71831568,,All-in-One,McGraw-Hill Education,McGraw-Hill Education,,,English,9.2 x 7.4 x 1 inches,1.9 pounds (View shipping rates and policies)
234,Healthcare Information Security and Privacy,Sean Murphy,$34.49 ,1st Edition,,978-0071831796,71831797,560 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,9 x 7.2 x 0.8 inches,1 pounds (View shipping rates and policies)
235,Windows 8.1 for Seniors QuickSteps,Marty Matthews,$13.99 ,1st Edition,,978-0071832588,71832580,272 pages,QuickSteps,McGraw-Hill Education,McGraw-Hill Education,,,English,7.8 x 9.9 x 0.6 inches,1.2 pounds (View shipping rates and policies)
236,"Multimedia: Making It Work, Ninth Edition",Tay Vaughan,$26.14 - $39.39,9th Edition,,978-0071832885,71832882,504 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,0.8 x 8.2 x 10.8 inches,2.1 pounds (View shipping rates and policies)
237,Master Competitive Analytics with Oracle Endeca Information Discovery ,Helen Sun# William Smith,$34.49 ,1st Edition,,978-0071833189,71833188,264 pages,Oracle (McGraw-Hill),McGraw-Hill Education,McGraw-Hill Education,,,English,9 x 7.3 x 0.7 inches,1 pounds (View shipping rates and policies)
238,"CompTIA Security+ Certification Practice Exams, Second Edition ",Daniel Lachance# Glen E. Clarke# Daniel Lachance,$16.50 ,2nd Edition,,978-0071833448,71833447,384 pages,Certification Press,McGraw-Hill Education,McGraw-Hill Education,,,English,6.4 x 0.9 x 9 inches,1.4 pounds (View shipping rates and policies)
239,"CompTIA Security+ Certification Bundle, Second Edition ",Glen E. Clarke# Daniel Lachance# Glen E. Clarke,$38.33 ,2nd Edition,,978-0071834261,71834265,1322 pages,Certification Press,McGraw-Hill Education,McGraw-Hill Education,,,English,7 x 2.7 x 9 inches,4.4 pounds (View shipping rates and policies)
240,CTS-D Certified Technology Specialist Design Exam Guide,Brad Grimes# InfoComm International# Brad Grimes,$66.64 ,1st Edition,,,,,,,,,,,,
241,PeopleSoft PeopleTools: Mobile Applications Development ,Jim Marion# Sarah Marion# Jim Marion,$40.25 ,1st Edition,,978-0071836524,71836527,496 pages,Oracle Press,McGraw-Hill Education,McGraw-Hill Education,,,English,1 x 7.5 x 9.2 inches,1.6 pounds (View shipping rates and policies)
242,Digital Logic Design and Computer Organization with Computer Architecture for Security,Nikrouz Faroughi,$83.91 ,1st Edition,,978-0071836906,007183690X,,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.7 x 1.4 x 9.4 inches,2.6 pounds (View shipping rates and policies)
243,CCFP Certified Cyber Forensics Professional All-in-One Exam Guide,Chuck Easttom,$34.74 ,1st Edition,,978-0071839761,71839763,,All-in-One,McGraw-Hill Education,McGraw-Hill Education,,,English,7.4 x 1.1 x 9.4 inches,1.9 pounds (View shipping rates and policies)
244,"Genealogy Online, Tenth Edition",Elizabeth Crowe,$18.54 ,,,,,,,,,,,,,
245,"CompTIA Security+ All-in-One Exam Guide, Fourth Edition ",Wm. Arthur Conklin# Greg White# Wm. Arthur Conklin# Dwayne Williams# Chuck Cothren# Roger Davis,$28.20 ,4th Edition,,978-0071841245,71841245,,All-in-One,McGraw-Hill Education,McGraw-Hill Education,,,English,2 x 7 x 9 inches,2.5 pounds (View shipping rates and policies)
246,"CompTIA Security+ Certification Study Guide, Second Edition ",Glen E. Clarke,$28.99 ,2nd Edition,,978-0071841283,71841288,880 pages,Certification Press,McGraw-Hill Education,McGraw-Hill Education,,,English,9.1 x 7.3 x 1.8 inches,3.2 pounds (View shipping rates and policies)
247,Build Your Own PC on a Budget: A DIY Guide for Hobbyists and Gamers,John Mueller,$30.00 ,,,,,,,,,,,,,
248,"Mobile Forensic Investigations: A Guide to Evidence Collection, Analysis, and Presentation",Lee Reiber,$40.65 ,1st Edition,,,,,,,,,,,,
249,Web Scalability for Startup Engineers,Artur Ejsmont,$28.99 ,1st Edition,,978-0071843652,71843655,416 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.8 x 9.1 inches,1.2 pounds (View shipping rates and policies)
250,iPhone for Seniors QuickSteps,Marty Matthews# Carole Matthews# Marty Matthews,$17.70 ,1st Edition,,978-0071843997,007184399X,192 pages,Quicksteps,McGraw-Hill Education,McGraw-Hill Education,,,English,7.7 x 10.3 x 0.3 inches,4 ounces (View shipping rates and policies)
251,People-Centric Security: Transforming Your Enterprise Security Culture,Lance Hayden,$33.87 ,1st Edition,,978-0071846776,71846778,416 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,9.1 x 7.4 x 0.8 inches,12.6 ounces (View shipping rates and policies)
252,McGraw Hill's Encyclopedia of Networking and Telecommunications with CDROM ,Tom Sheldon# Thomas Sheldon,$1.47 ,,,978-0072120059,72120053,,Network Professional's Library,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.4 x 7.7 x 2.4 inches,5.1 pounds
253,Oracle Developer Advanced Forms and Reports,Peter Koletzke# Paul Dorsey,$5.68 ,1st Edition,,978-0072120486,72120487,835 pages,Oracle Press Series,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 2 x 9.1 inches,3.8 pounds
254,Firebrands: Building Brand Loyalty in the Internet Age,Doug Millison# Michael Moon,$0.01 ,,,978-0072124491,72124490,,Computer World It Leaders,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,6.3 x 1.1 x 9.1 inches,1.2 pounds
255,Ace the Technical Interview,Michael Rothstein# David Rothstein# Michael Rothstein,$14.55 ,4th Edition,,978-0072126228,72126221,496 pages,ACE Technical Expert,McGraw-Hill,McGraw-Hill,,,English,7.4 x 1.2 x 9.2 inches,2.4 pounds (View shipping rates and policies)
256,How To Be a Successful Technical Trainer: Core Skills for Instructor Certification,Terry Keys# Andrew Zeff# Terry Keys# Terrance Keys,$0.50 ,,,978-0072130331,72130334,400 pages,Technical,Osborne/McGraw-Hill,Osborne/McGraw-Hill,,,English,9.2 x 7.3 x 1.1 inches,12.6 ounces
257,Voice & Data Communications Handbook ,Regis J. Bates# Donald W. Gregory,$30.54 ,4th Edition,,978-0072131888,72131888,1032 pages,Standards & Protocols,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.4 x 2.2 x 9.1 inches,4 pounds
258,"Troubleshooting, Maintaining & Repairing PCs with CDROM",Stephen J. Bigelow,$0.77 ,,,978-0072132724,72132728,,"Troubleshooting, Maintaining & Repairing PCs",Osborne/McGraw-Hill,Osborne/McGraw-Hill,,,English,9.5 x 7.8 x 2.6 inches,5.7 pounds
259,The Do-It-Yourself PC Book: An Illustrated Guide to Upgrading and Repairing Your PC,Kyle MacRae,$0.01 ,1st Edition,,978-0072133776,72133775,160 pages,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,8.2 x 0.5 x 10.5 inches,1.2 pounds
260,"Computer Desktop Encyclopedia, 9th Ed.",Alan Freedman,$0.93 ,,,978-0072193060,72193069,1124 pages,,Osborne/McGraw-Hill,Osborne/McGraw-Hill,,,English,9.1 x 7.4 x 2.3 inches,4 pounds
261,UNIX Made Easy,John Muster,$0.00 ,3rd Edition,,978-0072193145,007219314X,1011 pages,Made Easy,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.1 x 2.1 x 9 inches,12.6 ounces
262,Crystal Reports: A Beginner's Guide,David McAmis,$31.29 ,,,,,,,,,,,,,
263,How to Do Everything with Your Visor,Dave Johnson# Rick Broida,$14.82 ,2nd Edition,,978-0072193923,72193921,608 pages,How to Do Everything,McGraw-Hill Companies,McGraw-Hill Companies,,,English,7.5 x 1.2 x 9.2 inches,1.8 pounds (View shipping rates and policies)
264,"A+ Certification All-in-One Exam Guide, 4th Edition",Michael Meyers,$5.25 ,4th Edition,,978-0072222746,72222743,,All-in-One,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.6 x 2.7 x 9.5 inches,4.7 pounds
265,A+ Certification Study Guide,Inc. Syngress Media,$23.49 ,4th Edition,,978-0072222791,72222794,,A+ Certification Study Guide,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.6 x 2 x 9.2 inches,1.6 pounds
266,Wireless Security,Merrit Maxim# David Pollino# Merrit Maxim,$33.30 ,1st Edition,,978-0072222869,72222867,496 pages,RSA Press,McGraw-Hill,McGraw-Hill,,,English,7.4 x 0.8 x 9.1 inches,1.1 pounds (View shipping rates and policies)
267,MCSE/MCSA Windows Server 2003 Environment Study Guide ,Anil Desai,$24.99 - $49.99,1st Edition,,978-0072223224,72223227,864 pages,Certification Press,McGraw-Hill Education,McGraw-Hill Education,,,English,7.1 x 1.6 x 9.1 inches,2.8 pounds (View shipping rates and policies)
268,Photoshop 7,Wendy Willard,$26.63 ,1st Edition,,978-0072224467,72224460,496 pages,Tips & Techniques,McGraw-Hill/OsborneMedia,McGraw-Hill/OsborneMedia,,,English,7.5 x 1 x 9.2 inches,2.2 pounds
269,MCSA Windows Server 2003 All-in-One Exam Guide ,Stephen Giles# Damir Bersinic,$2.02 ,1st Edition,,978-0072225426,72225424,,All-In-One Certification,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.7 x 2.5 x 9.2 inches,4.4 pounds
270,J2EE & Java: Developing Secure Web Applications with Java Technology ,Art Taylor# Brian Buege# Randy Layman,$47.98 ,,,,,,,,,,,,,
271,Mike Meyers' MCSE Windows Server 2003 Planning a Network Infrastructure  Certification Passport ,Martin C. Brown# Chris McCain,$4.98 ,1st Edition,,978-0072225693,72225696,396 pages,Mike Meyer's Certification Passport,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,5.9 x 1 x 8.9 inches,1.2 pounds
272,Mike Meyers' MCSE/MCSA Windows Server 2003 Environment Certification Passport ,Eric Daeuber# Dan Newland# Nancy Maragioglio,$4.77 ,1st Edition,,978-0072225723,72225726,400 pages,Mike Meyers Certification Passport,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,5.9 x 1 x 8.9 inches,1.2 pounds
273,Mike Meyers' MCSE/MCSA Windows Server 2003 Active Directory Certification Passport ,Brian Culp,$4.00 ,1st Edition,,978-0072225754,72225750,384 pages,Passport,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,6.1 x 0.9 x 9.1 inches,1.2 pounds
274,"JunkBots, Bugbots, and Bots on Wheels: Building Simple Robots With BEAM Technology",David Hrynkiw# Mark Tilden# David Hrynkiw,$13.10 ,1st Edition,,,,,,,,,,,,
275,High-Value IT Consulting: 12 Keys to a Thriving Practice,Sanjiv Purba# Bob Delaney,$0.00 ,1st Edition,,978-0072226256,72226250,,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,6.1 x 1.6 x 9 inches,1.8 pounds
276,Introduction to PC Hardware and Troubleshooting,Michael Meyers,$7.98 ,1st Edition,,978-0072226324,72226323,464 pages,Mike Meyers' Computer Skills,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,8.4 x 0.6 x 10.8 inches,3.4 pounds
277,A+ PC Technician's Pocket Reference,Brian Schwarz,$9.39 ,1st Edition,,978-0072229059,72229055,256 pages,Pocket Reference,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,4.6 x 0.7 x 7.9 inches,8 ounces
278,Crystal Reports Professional Results,George Peck,$19.23 ,1st Edition,,978-0072229516,72229519,408 pages,Professional Results,McGraw-Hill Education,McGraw-Hill Education,,,English,7.4 x 0.8 x 9.1 inches,1.8 pounds (View shipping rates and policies)
279,Internet Technologies at Work ,Fred T Hofstetter,$20.49 ,1st Edition,,978-0072229998,72229993,464 pages,Mike Meyers' Computer Skills,Career Education,Career Education,,,English,8.6 x 0.8 x 11.2 inches,2.8 pounds
280,How to Do Everything with Your Sony CLIE ,Rick Broida# Dave Johnson,$13.12 - $26.95,2nd Edition,,978-0072230741,72230746,448 pages,How to Do Everything,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 1 x 9 inches,1.6 pounds (View shipping rates and policies)
281,HTI+ Home Technology Integration All-in-One Exam Guide ,Ron Gilster# Helen Heneveld# Ron Price# Helen Heneveld,$42.41 ,1st Edition,,978-0072231328,72231327,792 pages,All-in-One,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.1 x 1.8 x 8.9 inches,3.3 pounds
282,Microsoft Office Excel 2003 QuickSteps,John Cronan,$12.86 ,1st Edition,,978-0072232288,72232285,224 pages,Quicksteps,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.9 x 0.4 x 9.9 inches,1.2 pounds (View shipping rates and policies)
283,"Network+ Certification Passport, Second Edition",Brian Schwarz# Glen Clarke# Michael Meyers,$15.03 ,2nd Edition,,978-0072253481,72253487,432 pages,Passport,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,6 x 0.9 x 9 inches,1.4 pounds
284,How to Do Everything with Digital Photography ,David Huss,$19.30 ,1st Edition,,978-0072254358,72254351,376 pages,How to Do Everything,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 0.6 x 9.1 inches,1.6 pounds
285,Information Assurance for the Enterprise: A Roadmap to Information Security ,Corey Schou# Daniel Shoemaker,$9.99 - $18.78,1st Edition,,978-0072255249,72255242,504 pages,McGraw-Hill Information Assurance & Security,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,7.3 x 0.8 x 9.1 inches,1.6 pounds
286,RHCT Red Hat Certified Technician Linux Study Guide ,Michael Jang,$17.00 ,1st Edition,,978-0072255393,72255390,574 pages,Certification Press,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.2 x 1.3 x 9.1 inches,2.2 pounds
287,Mike Meyers' Network+ Guide To Managing and Troubleshooting Networks ,Michael Meyers,$5.16 ,1st Edition,,978-0072255607,72255609,640 pages,Mike Meyers' Guides,McGraw Hill Technology Education,McGraw Hill Technology Education,,,English,8.3 x 1 x 10.8 inches,2.8 pounds
288,Fundamentals of Wireless Networking,Ron Price,$7.96 ,1st Edition,,978-0072256680,72256680,672 pages,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,7.6 x 1 x 9.1 inches,2.1 pounds
289,"How to Do Everything with Your Smartphone, Windows Mobile Edition",Jason R. Rich,$17.34 ,1st Edition,,978-0072256741,72256745,384 pages,How to Do Everything,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 0.8 x 9.1 inches,1.5 pounds
290,"CISSP All-in-One Exam Guide, Third Edition ",Shon Harris,$48.47 ,3rd Edition,,978-0710629623,72257121,,All-In-One Certification,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.8 x 2.3 x 9.2 inches,4.2 pounds
291,How to Do Everything with Your Camera Phone,John Frederick Moore,$16.33 ,1st Edition,,978-0072257649,72257644,352 pages,How to Do Everything,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.4 x 0.8 x 9.1 inches,1.3 pounds (View shipping rates and policies)
292,Perfect Digital Photography: Brilliant Pixels from the Digital Darkroom,Jay Dickman# Jay Kinghorn# Jay Dickman,$24.21 ,1st Edition,,978-0072259216,72259213,480 pages,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,8 x 1 x 10 inches,2.8 pounds
293,How to Do Everything With Your Palm Treo,Derek Ball# Dayton Foster,$16.08 ,6th Edition,,978-0072262490,72262494,352 pages,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 1 x 9 inches,1.6 pounds
294,How to Do Everything with Windows Mobile,Frank McPherson,$14.49 ,1st Edition,,978-0072262506,72262508,432 pages,How to Do Everything,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.9 x 9.1 inches,1 pounds
295,BusinessObjects XI ,Cindi Howson,$39.99 ,1st Edition,,978-0072262650,72262656,672 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 1.2 x 9.1 inches,2.4 pounds (View shipping rates and policies)
296,What to Sell on eBay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta# Lisa Suttora,$23.10 ,,,,,,,,,,,,,
297,"3G Wireless Networks, Second Edition",Clint Smith,$59.96 ,2nd Edition,,978-0072263442,007226344X,,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.6 x 1.6 x 9.4 inches,3 pounds
298,Microsoft Windows Server 2008: A Beginner's Guide ,Marty Matthews,$25.73 ,1st Edition,,978-0072263510,72263512,608 pages,Network Professional's Library,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 1.2 x 9.1 inches,1.4 pounds (View shipping rates and policies)
299,"How to Do Everything with Your Palm Powered Device, Sixth Edition",Dave Johnson# Rick Broida,$14.74 ,6th Edition,,978-0072263794,72263792,496 pages,How to Do Everything,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.3 x 1 x 9.1 inches,1.7 pounds
300,How to Do Everything with Podcasting,Shel Holtz# Neville Hobson,$15.12 ,1st Edition,,978-0072263947,72263946,360 pages,How to Do Everything,McGraw-Hill Education,McGraw-Hill Education,,,English,7.2 x 0.8 x 9.1 inches,1.4 pounds (View shipping rates and policies)
301,"Multimedia: Making it Work, Seventh Edition",Tay Vaughan,$50.00 ,7th Edition,,978-0072264517,72264519,514 pages,,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,8.5 x 0.7 x 10.8 inches,2.2 pounds
302,RHCE Red Hat Certified Engineer Linux Study Guide ,Michael Jang,$5.08 ,5th Edition,,978-0072264548,72264543,848 pages,Certification Press,McGraw-Hill Osborne Media,McGraw-Hill Osborne Media,,,English,7.4 x 1.7 x 9.1 inches,3.4 pounds
303,"Computers, Communications, and Information: A User's Introduction : Comprehensive Version",Sarah E. Hutchinson# Stacey C. Sawyer,$1.00 ,,,978-0072297447,72297441,592 pages,,Irwin Professional Pub,Irwin Professional Pub,,,English,1 x 8.5 x 11 inches,2.7 pounds
304,Computer Organization,Carl Hamacher# Zvonko Vranesic# Carl Hamacher# Safwat Zaky# Zvonko Vranesic,$79.10 - $170.04,5th Edition,,978-0072320862,72320869,,McGraw-Hill Series in Computer Science,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7 x 1.4 x 9 inches,3.1 pounds
305,Corporate Information Strategy and Management: The Challenges of Managing in a Network Economy ,Lynda Applegate# Robert Austin# Lynda Applegate# F. Warren McFarlan# Robert Austin,$0.16 ,6th Edition,,978-0072456653,72456655,320 pages,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,7.4 x 0.5 x 9.1 inches,1.2 pounds
306,CMOS Digital Integrated Circuits Analysis & Design,Sung-Mo (Steve) Kang# Yusuf Leblebici# Sung-Mo (Steve) Kang,$22.54 - $219.99,3rd Edition,,978-0072460537,72460539,,McGraw-Hill Series in Electrical and Computer Engineering,McGraw-Hill Education,McGraw-Hill Education,,,English,7.6 x 1.2 x 9.3 inches,2.6 pounds (View shipping rates and policies)
307,Communication Networks,Alberto Leon-Garcia# Indra Widjaja# Alberto Leon-Garcia,$62.58 - $192.10,2nd Edition,,978-0072463521,007246352X,,McGraw-Hill Series in Computer Science,McGraw-Hill Education,McGraw-Hill Education,,,English,7 x 1.5 x 9 inches,3.5 pounds (View shipping rates and policies)
308,A Computer Science Tapestry:  Exploring Computer Science with C++,Owen Astrachan,$5.49 ,2nd Edition,,978-0072465365,72465360,880 pages,Exploring Computer Science with C++,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.4 x 1 x 9.1 inches,2.9 pounds
309,Systems Analysis and Design Methods,Jeffrey L Whitten# Lonnie D. Bentley# Kevin Dittman# Jeffrey Whitten# Kevin Dittman# Lonnie Bentley# Jeffrey Whitten,$25.00 ,6th Edition,,978-0072474176,72474173,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8.8 x 1.2 x 11.2 inches,4.3 pounds
310,"Using Information Technology: A Practical Introdution to Computers & Communications, Fifth Edition",Brian K. Williams# Stacey Sawyer# Brian K. Williams# Brian Williams# Stacey Sawyer,$11.95 - $66.17,5th Edition,,978-0072485554,72485558,512 pages,,Career Education,Career Education,,,English,8.4 x 0.7 x 10.7 inches,12.6 ounces (View shipping rates and policies)
311,Fundamentals of Digital Logic  with Verilog Design,Stephen Brown# Zvonko Vranesic# Stephen Brown,$48.99 ,1st Edition,,978-0072838787,72838787,,McGraw-Hill Series in Electrical and Computer Engineering,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.6 x 1.6 x 9.1 inches,3.2 pounds
312,Computer Architecture and Organization,John Hayes,$41.71 ,3rd Edition,,978-0072861983,72861983,624 pages,,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.4 x 1.3 x 9.1 inches,2.2 pounds
313,"Computer Accounting with Peachtree Complete 2003 for Microsoft Windows, Release 10.0",Carol Yacht,$41.99 ,7th Edition,,978-0072865288,72865288,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8.8 x 1 x 10.8 inches,3.1 pounds
314,Computer Accounting with QuickBooks Pro 2004,Donna Kay,$4.76 - $84.70,6th Edition,,978-0072865530,72865539,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,9.1 x 1.1 x 11 inches,3.1 pounds (View shipping rates and policies)
315,Spreadsheet Tools for Engineers using Excel ,Byron Gottfried,$59.95 - $130.94,3rd Edition,,978-0072971842,72971843,512 pages,Mcgraw-Hill's Best--Basic Engineering Series and Tools,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.8 x 9.2 inches,1.7 pounds (View shipping rates and policies)
316,"Computer Accounting with Peachtree Complete 2004, Release 11.0",Carol Yacht# Peachtree Software# Carol Yacht,$0.40 - $97.26,8th Edition,,978-0072987959,72987952,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,10.5 x 0.9 x 11.5 inches,3.2 pounds (View shipping rates and policies)
317,Systems Analysis and Design Methods,Jeffrey Whitten# Lonnie Bentley# Jeffrey Whitten,$12.87 - $38.95,7th Edition,,978-0073052335,73052337,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8 x 1.3 x 11 inches,4 pounds
318,Computer Accounting Essentials Using QuickBooks,Carol Yacht# Susan Crosson,$9.91 - $74.38,3rd Edition,,978-0073131122,73131121,204 pages,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8 x 0.3 x 10 inches,1 pounds
319,Simulation with Arena with CD ,W. Kelton,$4.77 ,4th Edition,,978-0073259895,73259896,,McGraw-Hill Series in Industrial Engineering and Management,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.5 x 1.2 x 9.4 inches,2.5 pounds
320,"COMPUTER ACCOUNTING WITH PEACHTREE COMPLETE 2007, RELEASE 14.0 WITH SOFTWARE CD-ROM, Eleventh Edition",Carol Yacht,$3.99 ,11th Edition,,978-0073365916,73365912,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,9 x 1.1 x 10.7 inches,3.3 pounds
321,Applying AutoCAD 2011,Terry Wohlers,$46.49 ,2nd Edition,,978-0073375489,73375489,800 pages,,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.9 x 1.2 x 9.9 inches,2.9 pounds
322,Applying AutoCAD® 2013,Terry Wohlers,$25.00 - $39.98,4th Edition,,978-0073375519,73375519,800 pages,,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,8.2 x 1.2 x 10 inches,2.8 pounds
323,Business Driven Technology,Paige Baltzan# Amy Phillips# Paige Baltzan,$99.52 ,4th Edition,,978-0073376790,73376795,,,Irwin Professional Pub,Irwin Professional Pub,,,English,10.9 x 8.5 x 1.2 inches,3.4 pounds
324,Business Driven Technology,Paige Baltzan,$68.75 - $187.00,5th Edition,,978-0073376844,73376841,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8.5 x 1.1 x 11.5 inches,3.2 pounds (View shipping rates and policies)
325,Business Driven Technology,Paige Baltzan,$86.00 - $201.66,6th Edition,,978-0073376905,73376906,,,McGraw-Hill Education,McGraw-Hill Education,,,English,10.9 x 8.7 x 1.2 inches,3.4 pounds (View shipping rates and policies)
326,M: Information Systems,Paige Baltzan,$29.25 - $80.00,3rd Edition,,978-0073376912,73376914,272 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,0.2 x 8.8 x 10.5 inches,1.2 pounds (View shipping rates and policies)
327,"Computer Accounting with Peachtree Complete 2009, Release 16.0",Carol Yacht,$8.12 ,13th Edition,,978-0073379517,73379514,800 pages,Computer Accounting with Peachtree by Sage Complete Accounting 2009,McGraw-Hill,McGraw-Hill,,,English,10.8 x 8.4 x 1.3 inches,3.8 pounds
328,Design for Electrical and Computer Engineers,Ralph Ford# Chris Coulston# Ralph Ford,$42.57 - $106.78,1st Edition,,978-0073380353,73380350,336 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.5 x 9.1 inches,1.2 pounds (View shipping rates and policies)
329,Signals and Systems: Analysis Using Transform Methods & MATLAB,M.J. Roberts,$80.49 - $193.07,2nd Edition,,978-0073380681,73380687,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8 x 1.4 x 10.2 inches,3.4 pounds (View shipping rates and policies)
330,Fundamentals of Digital and Computer Design with VHDL,Richard Sandige# Michael Sandige# Richard Sandige,$75.96 - $157.66,1st Edition,,978-0073380698,73380695,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8.1 x 1.3 x 10.4 inches,3.4 pounds (View shipping rates and policies)
331,A Concise Introduction to Matlab,William Palm III,$29.73 - $61.41,1st Edition,,978-0073385839,73385832,448 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.4 x 0.7 x 9.2 inches,1.4 pounds (View shipping rates and policies)
332,Introduction to Systems Analysis & Design,Jeffrey Whitten# Lonnie Bentley# Jeffrey Whitten,$22.22 ,1st Edition,,978-0073402949,007340294X,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8.5 x 1.1 x 11.2 inches,3.3 pounds
333,Microsoft Office 2010: A Skills Approach,Inc. Triad Interactive,$34.25 - $80.21,1st Edition,,978-0073516479,73516473,,"Connect, Learn, Succeed",McGraw-Hill Education,McGraw-Hill Education,,,English,8.8 x 0.7 x 10.9 inches,2.7 pounds (View shipping rates and policies)
334,Using Information Technology,Brian Williams# Stacey Sawyer# Brian Williams,$52.50 - $138.42,11th Edition,,978-0073516882,73516880,624 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,10.7 x 8.4 x 0.8 inches,2.4 pounds (View shipping rates and policies)
335,Microsoft Outlook 2010,Randy Nordell,$48.77 - $101.06,1st Edition,,978-0073519289,73519286,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8.8 x 1 x 10.7 inches,2 pounds
336,"Microsoft Office Word 2010:  A Lesson Approach, Complete",Deborah Hinkle,$43.00 - $101.06,1st Edition,,978-0073519296,73519294,,,McGraw-Hill Education,McGraw-Hill Education,,,English,9 x 1.5 x 11.3 inches,3.9 pounds (View shipping rates and policies)
337,Introduction to Graphics Communications for Engineers  ,Gary Bertoline,$33.75 - $78.84,4th Edition,,978-0073522647,73522643,256 pages,Basic Engineering Series and Tools,McGraw-Hill Education,McGraw-Hill Education,,,English,8.4 x 0.4 x 10 inches,1 pounds (View shipping rates and policies)
