ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
259.html,"Kindle Fire Owner's Manual: The ultimate Kindle Fire guide to getting started, advanced user tips, and finding unlimited free books, videos and apps on Amazon and beyond",Steve Weber,,$13.30 ,$0.99 ,,9.78194E+12,978-1936560110,,Weber Books,,"399,073",154,8.50(w) x 11.00(h) x 0.33(d)
260.html,iPhone: The Missing Manual,David Pogue,,$18.23 ,$11.99 ,,9.78149E+12,978-1491947142,,"O'Reilly Media, Incorporated",,"94,325",648,6.00(w) x 8.80(h) x 1.10(d)
261.html,How to Create a Mind: The Secret of Human Thought Revealed,Ray Kurzweil,$6.28 ,$13.14 ,$13.99 ,$7.19 ,9.78014E+12,978-0143124047,,Penguin Publishing Group,,"184,925",352,
262.html,Python for Data Analysis,Wes McKinney,,$28.37 ,$17.99 ,,9.78145E+12,978-1449319793,,"O'Reilly Media, Incorporated",,"91,201",466,7.00(w) x 9.10(h) x 0.90(d)
263.html,The Art of Photography: An Approach to Personal Expression,Bruce Barnbaum,,$31.84 ,,,9.78193E+12,978-1933952680,,Rocky Nook,,"95,722",364,9.90(w) x 10.10(h) x 0.90(d)
264.html,CUCKOO'S EGG,Clifford Stoll, ,,$9.99 ,,9.78031E+12,978-0307819420,,Knopf Doubleday Publishing Group,,"96,313",326,
265.html,My Windows 10 (includes video and Content Update Program),Katherine Murray,,$17.95 ,$11.99 ,,9.78079E+12,978-0789754332,My... Series,Que,,"96,631",352,6.00(w) x 8.90(h) x 0.70(d)
266.html,Excel 2010 For Dummies,Greg Harvey,,$17.72 ,$5.49 ,,9.78047E+12,978-0470489536,For Dummies Series,Wiley,,"96,659",408,7.30(w) x 9.10(h) x 1.20(d)
267.html,iPhone 6: For Seniors 2015,Matthew Hollinder,,,,,9.78151E+12,978-1508860907,,CreateSpace Publishing,,"100,689",32,5.00(w) x 8.00(h) x 0.07(d)
268.html,"The Little SAS Book: A Primer, Fifth Edition: A Primer, Fifth Edition / Edition 5",Lora Delwiche# Susan Slaughter,,$46.60 ,$24.99 ,,9.78161E+12,978-1612903439,,SAS Institute Inc.,,"103,395",376,7.50(w) x 9.25(h) x 0.78(d)
269.html,Programmable Logic Controllers / Edition 4,Frank Petruzella, ,$163.68 ,,,9.78007E+12,978-0073510880,,McGraw-Hill Higher Education,,"96,965",416,8.40(w) x 10.70(h) x 0.70(d)
270.html,"Succeeding In E-Commerce: Commerce, Insider Advice and Practical Tips",Rodrigo Alhadeff,,,,,9.78126E+12,978-1257164646,,Lulu.com,,"114,389",,
271.html,My Facebook for Seniors,Michael Miller,,$19.54 ,$11.99 ,,9.78079E+12,978-0789754318,My... Series,Que,,"107,327",368,6.90(w) x 9.00(h) x 0.50(d)
272.html,Sams Teach Yourself SQL in 10 Minutes,Ben Forta,,$22.99 ,$13.99 ,,9.78067E+12,978-0672336072,,Sams,,"104,413",288,6.00(w) x 8.90(h) x 0.50(d)
273.html,Python Pocket Reference,Mark Lutz,,$10.15 ,$10.49 ,,9.78145E+12,978-1449357016,,"O'Reilly Media, Incorporated",,"88,211",266,4.20(w) x 6.90(h) x 1.10(d)
274.html,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,$19.42 ,,$11.99 ,$27.39 ,9.78039E+12,978-0385347372,,Crown Publishing Group,,"175,523",304,5.90(w) x 9.20(h) x 1.30(d)
275.html,GUI Design for Android Apps,Ryan Cohen# Tao Wang,,$29.99 ,$0.00 ,,9.78148E+12,978-1484203835,,Apress,,,156,6.00(w) x 9.00(h) x 0.36(d)
276.html,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold, ,$18.13 ,$13.49 ,,9.78074E+12,978-0735611313,Developer Best Practices Series,Microsoft Press,,"99,172",400,5.90(w) x 8.90(h) x 0.90(d)
277.html,Samsung Galaxy S6 for Dummies,Bill Hughes,,$19.11 ,$12.99 ,,9.78112E+12,978-1119120605,For Dummies Series,Wiley,,"99,176",320,9.00(w) x 7.40(h) x 0.70(d)
278.html,SQL Queries for Mere Mortals: A Hands-On Guide to Data Manipulation in SQL / Edition 3,John Viescas# Michael J. Hernandez,,$28.91 ,$23.49 ,,9.78032E+12,978-0321992475,For Mere Mortals Series,Addison-Wesley,,"99,270",750,6.90(w) x 9.10(h) x 1.80(d)
279.html,The Presentation Secrets of Steve Jobs: How to Be Insanely Great in Front of Any Audience,Carmine Gallo,$14.92 ,,$13.99 ,$64.97 ,9.78007E+12,978-0071636087,,McGraw-Hill Professional Publishing,,"89,224",256,what's this?
280.html,Learn Windows PowerShell 3 in a Month of Lunches,Don Jones# Jeffrey Hicks,,$32.77 ,,,9.78162E+12,978-1617291081,,Manning Publications Company,,"94,488",368,7.30(w) x 9.20(h) x 1.00(d)
281.html,Murach's SQL Server 2012 for Developers,Bryan Syverson# Joel Murach,,$34.76 ,,,9.78189E+12,978-1890774691,,"Murach, Mike & Associates, Inc.",,"103,272",814,8.02(w) x 9.80(h) x 1.75(d)
282.html,iPhone For Seniors For Dummies,Nancy C. Muir,,$20.73 ,$12.99 ,,9.78112E+12,978-1118944448,For Dummies Series,Wiley,,"100,314",480,9.30(w) x 11.50(h) x 1.30(d)
283.html,Data Science from Scratch: First Principles with Python,Joel Grus,,$29.22 ,$19.99 ,,9.78149E+12,978-1491901427,,"O'Reilly Media, Incorporated",,"100,390",330,6.90(w) x 9.00(h) x 0.80(d)
284.html,Networking All-in-One For Dummies,Doug Lowe,,$23.77 ,$20.99 ,,9.78112E+12,978-1118380987,For Dummies Series,Wiley,,"107,391",912,7.40(w) x 9.20(h) x 1.90(d)
285.html,Adobe Photoshop Lightroom CC (2015 release) / Lightroom 6 Classroom in a Book,John Evans,,$39.16 ,$27.99 ,,9.78013E+12,978-0133924824,,Adobe Press,,"100,481",408,7.20(w) x 9.00(h) x 1.00(d)
286.html,CompTIA Network+ N10-006 Cert Guide,Keith Barker# Kevin Wallace,$39.02 ,,$23.49 ,,9.78079E+12,978-0789754080,Cert Guide Series,Pearson IT Certification,,"100,482",592,7.50(w) x 9.20(h) x 1.40(d)
287.html,Code Complete,Steve McConnell,,$29.99 ,$22.99 ,,9.78074E+12,978-0735619678,Developer Best Practices Series,Microsoft Press,,"112,270",960,7.40(w) x 9.00(h) x 2.10(d)
288.html,"My iPad for Seniors (covers iOS 7 on iPad Air, iPad 3rd and 4th generation, iPad2, and iPad mini)",Gary Rosenzweig# Gary Eugene Jones,,$15.93 ,$11.99 ,,9.78079E+12,978-0789751829,My... Series,Que,,"90,324",480,7.00(w) x 9.00(h) x 1.00(d)
289.html,Your Ultimate Marketing Guide to Blogging and Content Creation,Gosia Furmanik,,,,,2.94005E+12,294-0046580969,,Gosia Furmanik,,"101,186",,
290.html,Coding For Dummies,Nikhil Abraham,,$22.99 ,$16.49 ,,9.78112E+12,978-1118951309,For Dummies Series,Wiley,,"101,613",288,7.40(w) x 9.00(h) x 0.60(d)
291.html,Teach Yourself VISUALLY Office 2013,Elaine Marmel,,$21.91 ,$15.99 ,,9.78112E+12,978-1118517680,Teach Yourself VISUALLY (Tech) Series,Wiley,,"91,168",448,7.30(w) x 9.10(h) x 0.90(d)
292.html,PowerPoint 2013 For Dummies,Lowe,,$20.80 ,$13.99 ,,9.78112E+12,978-1118502532,For Dummies Series,Wiley,,"108,903",352,7.40(w) x 9.10(h) x 0.80(d)
293.html,Linux Bible,Christopher Negus,,$33.89 ,$25.99 ,,9.78112E+12,978-1118999875,Bible Series,Wiley,,"108,908",912,7.40(w) x 9.20(h) x 1.70(d)
294.html,SharePoint 2013 For Dummies,Ken Withee,,$21.29 ,$15.99 ,,9.78112E+12,978-1118510711,For Dummies Series,Wiley,,"109,012",384,9.00(w) x 7.30(h) x 0.90(d)
295.html,"The Digital Photography Book, Part 1 (2nd Edition)",Scott Kelby,,$21.50 ,$11.99 ,,9.78032E+12,978-0321934949,,Peachpit Press,,"137,035",239,5.90(w) x 8.90(h) x 0.60(d)
296.html,"In Real Life: Love, Lies & Identity in the Digital Age",Nev Schulman,,$13.09 ,$9.99 ,,9.78146E+12,978-1455584291,,Grand Central Publishing,,"112,125",256,5.20(w) x 7.90(h) x 0.80(d)
297.html,Photos for Mac and iOS: The Missing Manual,Lesa Snider,,$22.77 ,$14.99 ,,9.78149E+12,978-1491917992,,"O'Reilly Media, Incorporated",,"103,213",336,7.00(w) x 9.10(h) x 0.80(d)
298.html,Help Me! Guide to the iPad Air 2: Step-by-Step User Guide for the Sixth Generation iPad and iOS 8,Charles Hughes,,,,,9.78151E+12,978-1505629866,,CreateSpace Publishing,,"103,372",284,8.00(w) x 10.00(h) x 0.60(d)
299.html,"ANGRY BIRDS STAR WARS 2 GAME: HOW TO DOWNLOAD FOR ANDROID, PC, IOS, KINDLE + TIPS: The Complete Install Guide and Strategies: Works on ALL Devices!",HSE,,,,,9.78168E+12,978-1681054285,,HSE,,"103,861",,
300.html,Managing Risk and Information Security: Protect to Enable,Malcolm Harkins,,$39.99 ,$0.00 ,,9.78143E+12,978-1430251132,,Apress,,"596,687",152,6.00(w) x 9.00(h) x 0.33(d)
301.html,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh, ,$10.89 ,$13.99 ,,9.78039E+12,978-0385495325,,Knopf Doubleday Publishing Group,,"104,472",432,5.14(w) x 8.00(h) x 0.82(d)
302.html,CompTIA Security+ Study Guide: SY0-401,Emmett Dulaney# Chuck Easttom,,$33.57 ,$25.99 ,,9.78112E+12,978-1118875070,,Wiley,,"104,555",552,7.30(w) x 9.20(h) x 1.20(d)
303.html,SPSS Statistics for Dummies,Keith McCormick# Jesus Salcedo,,$21.81 ,$19.49 ,,9.78112E+12,978-1118989012,For Dummies Series,Wiley,,"104,628",384,7.30(w) x 9.10(h) x 0.80(d)
304.html,Format Your eBook the Free and Easy Way,J. Gunnar Grey,,,,,2.94004E+12,294-0044688735,,Dingbat Publishing,,"109,742",,
305.html,Facebook,The Guardian,,,,,9.78085E+12,978-0852653043,Guardian Shorts,Guardian Books,,"109,736",,
306.html,"Facebook For Dummies, Mini Edition",Leah Pearlman# Carolyn Abram,,,,,9.78112E+12,978-1118037706,,"Wiley, John & Sons, Incorporated",,"105,589",,
307.html,Cybersecurity and Cyberwar: What Everyone Needs to Know,Peter W. Singer# Allan Friedman,$70.43 ,$11.84 ,$9.49 ,,9.7802E+12,978-0199918119,What Everyone Needs to Know Series,Oxford University Press,,"119,225",320,5.50(w) x 8.10(h) x 1.00(d)
308.html,Computer Essentials,Isaac Hurst,,,,,2.94004E+12,294-0044379060,,Isaac Hurst,,"93,549",,
309.html,Online Video Revolution: Earn Money and Generate Leads,Sigurd Kvernmoen,,,,,2.94004E+12,294-0044315525,,Sigurd Kvernmoen,,"105,719",,
311.html,CompTIA Security+ SY0-401 Exam Cram,Kirk Hausman# Martin Weiss# Diane Barrett,,$33.22 ,$20.99 ,,9.78079E+12,978-0789753342,Exam Cram Series,Pearson IT Certification,,"105,907",592,6.00(w) x 8.90(h) x 1.40(d)
312.html,The Filmmaker's Handbook: A Comprehensive Guide for the Digital Age: 2013 Edition,Steven Ascher# Edward Pincus,,$20.59 ,$18.99 ,,9.78045E+12,978-0452297289,,Penguin Publishing Group,,"110,447",832,
313.html,Programming: Principles and Practice Using C++ / Edition 2,Bjarne Stroustrup,,$47.83 ,$47.99 ,,9.78032E+12,978-0321992789,,Addison-Wesley,,"106,096",1328,7.40(w) x 9.00(h) x 1.80(d)
314.html,UNIX and Linux System Administration Handbook / Edition 4,Evi Nemeth# Garth Snyder# Trent R. Hein# Ben Whaley,,$57.33 ,$47.99 ,,9.78013E+12,978-0131480056,,Prentice Hall,,"159,177",1279,7.12(w) x 8.78(h) x 1.66(d)
315.html,Crush It!: Why NOW Is the Time to Cash In on Your Passion,Gary Vaynerchuk,$12.91 ,,$14.99 ,$17.41 ,9.78006E+12,978-0061914171,,HarperCollins Publishers,,"113,617",142,5.60(w) x 8.30(h) x 0.70(d)
316.html,A Newbies Guide to iPhone 6s and iPhone 6s Plus,Minute Help Guides,,,,,2.94015E+12,294-0150922976,,Minute Help Press,,"106,914",,
317.html,"The Art of Computer Programming, Volumes 1-4A Boxed Set / Edition 3",Donald E. Knuth,,,,,9.78032E+12,978-0321751041,,Addison-Wesley,,"107,297",3168,7.00(w) x 10.10(h) x 7.30(d)
318.html,Excel 2010 All-in-One For Dummies,Greg Harvey,,$24.51 ,$18.49 ,,9.78047E+12,978-0470489598,For Dummies Series,Wiley,,"120,970",792,7.30(w) x 9.10(h) x 1.80(d)
319.html,The Age of Cryptocurrency: How Bitcoin and Digital Money Are Challenging the Global Economic Order,Paul Vigna# Michael J. Casey,$15.72 ,,$14.99 ,$40.00 ,9.78125E+12,978-1250065636,,St. Martin's Press,,"112,085",368,6.10(w) x 9.30(h) x 1.40(d)
320.html,"Efficient Learning Machines: Theories, Concepts, and Applications for Engineers and System Designers",Rahul Khanna# Mariette Awad,,$17.85 ,$0.00 ,,9.78143E+12,978-1430259909,,Apress,,"115,828",268,
321.html,Windows 10: 101 Tips & Tricks,Jonathan Moeller,,,,,2.94015E+12,294-0151063753,,"Azure Flame Media, LLC",,"112,758",,
322.html,ccna Notes 2013-14 -640-802 (7th edition),Rayan Kumar,,,,,2.94015E+12,294-0148979777,7,Rayan Kumar,,"128,422",,
323.html,Convert PDF to HTML Flash Publication,Maggie Don,,,,,9.7813E+12,978-1304707550,,Lulu.com,,"116,431",,
324.html,Social Media Marketing All-in-One For Dummies,Jan Zimmerman# Deborah Ng,,$15.83 ,$16.49 ,,9.78112E+12,978-1118951354,For Dummies Series,Wiley,,"108,831",840,7.30(w) x 9.20(h) x 1.80(d)
325.html,It's Complicated: The Social Lives of Networked Teens,danah boyd,$25.00 ,$11.17 ,$13.99 ,,9.7803E+12,978-0300199000,,Yale University Press,,"109,002",296,5.60(w) x 8.20(h) x 1.00(d)
326.html,QuickBooks 2014 The Guide / Edition 2,Leslie Capachietti,,$15.79 ,$17.49 ,,9.78007E+12,978-0071823395,,McGraw-Hill Professional Publishing,,"125,280",640,7.30(w) x 9.10(h) x 1.30(d)
327.html,PMP Certification All-in-One For Dummies,Cynthia Stackpole Snyder,,$29.56 ,$25.99 ,,9.78112E+12,978-1118540121,For Dummies Series,Wiley,,"113,820",912,7.40(w) x 9.10(h) x 2.00(d)
328.html,MCSA 70-410 Cert Guide R2: Installing and Configuring Windows Server 2012,Don Poulton# David Camardella,$37.53 ,,$27.99 ,,9.78079E+12,978-0789748805,Cert Guide Series,Pearson IT Certification,,"119,414",1056,7.50(w) x 9.30(h) x 2.40(d)
329.html,Changing the Subject: Art and Attention in the Internet Age,Sven Birkerts,,$9.96 ,$9.99 ,,9.78156E+12,978-1555977214,,Graywolf Press,,"109,256",256,5.40(w) x 8.20(h) x 0.80(d)
330.html,Python Scripting for ArcGIS,Paul A. Zandbergen,,$49.84 ,,,9.78159E+12,978-1589482821,,ESRI Press,,"140,298",368,8.07(w) x 9.87(h) x 0.94(d)
331.html,Building the Infrastructure for Cloud Security: A Solutions View,Raghuram Yeluri# Enrique Castro-Leon,,$31.60 ,$0.00 ,,9.78143E+12,978-1430261452,,Apress,,,244,6.10(w) x 9.00(h) x 0.70(d)
332.html,Minecraft Pocket Edition Mods - Take the World to Different Levels!,DigiDiz Guides,,,,,9.78277E+12,978-2765915997,,DigiDiz Guides,,"109,938",,
333.html,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,,$23.43 ,$16.49 ,,9.78159E+12,978-1593275990,,"No Starch Press San Francisco, CA",,"110,356",504,6.80(w) x 9.20(h) x 1.30(d)
334.html,CompTIA Network+ Study Guide: Exam N10-006,Todd Lammle,,$34.34 ,$25.99 ,,9.78112E+12,978-1119021247,,Wiley,,"110,411",960,7.40(w) x 9.20(h) x 1.90(d)
335.html,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schonberger# Kenneth Cukier, ,$8.96 ,$9.99 ,,9.78054E+12,978-0544227750,,Houghton Mifflin Harcourt,,"80,318",272,5.31(w) x 8.00(h) x 0.77(d)
336.html,Adobe Photoshop CC Classroom in a Book / Edition 1,Adobe Creative Team,,$36.22 ,$27.99 ,,9.78032E+12,978-0321928078,,Adobe Press,,"110,582",389,7.30(w) x 9.00(h) x 0.90(d)
337.html,R for Everyone: Advanced Analytics and Graphics / Edition 1,Jared Lander,,$25.05 ,$19.99 ,,9.78032E+12,978-0321888037,Addison-Wesley Data and Analytics Series,Addison-Wesley,,"119,309",464,7.00(w) x 9.00(h) x 0.70(d)
339.html,Amazon Echo and Alexa User Guide: The Ultimate Amazon Echo Device and Alexa Voice Service Manual Tutorial,Joseph Joyner,,$5.80 ,$2.99 ,,9.78168E+12,978-1682120729,,Speedy Publishing LLC,,,28,6.00(w) x 9.00(h) x 0.06(d)
340.html,The Glass Cage: How Our Computers Are Changing Us,Nicholas Carr,,$12.54 ,$10.49 ,,9.78039E+12,978-0393351637,,"Norton, W. W. & Company, Inc.",,"286,427",288,5.40(w) x 8.20(h) x 0.70(d)
341.html,"Excel 2013 For Dummies, Book + DVD Bundle",Greg Harvey,,,,,9.78112E+12,978-1118559802,For Dummies Series,Wiley,,"111,933",408,7.20(w) x 9.30(h) x 1.30(d)
342.html,Hacking: The Art of Exploitation,Jon Erickson,,$30.71 ,$22.99 ,,9.78159E+12,978-1593271442,,"No Starch Press San Francisco, CA",,"99,168",480,7.04(w) x 9.23(h) x 1.17(d)
343.html,Microsoft Excel 2013 Step by Step,Curtis D. Frye,,$23.23 ,$13.99 ,,9.78074E+12,978-0735681019,Step by Step Series,Microsoft Press,,"120,981",512,7.30(w) x 8.90(h) x 1.30(d)
344.html,JavaScript: The Definitive Guide: Activate Your Web Pages,David Flanagan,,$29.99 ,$22.99 ,,9.7806E+12,978-0596805524,,"O'Reilly Media, Incorporated",,"99,277",1096,7.00(w) x 9.10(h) x 2.50(d)
345.html,The Meaning of the Holy Qu'ran / Edition 11,Abdullah Yusuf Ali,$21.06 ,$19.57 ,,,9.78159E+12,978-1590080269,,Amana Publications,,"223,515",1759,5.90(w) x 9.10(h) x 1.30(d)
346.html,Humans Need Not Apply: A Guide to Wealth and Work in the Age of Artificial Intelligence,Jerry Kaplan,$23.33 ,,$10.49 ,,9.7803E+12,978-0300213553,,Yale University Press,,"112,181",256,5.60(w) x 8.20(h) x 1.10(d)
347.html,"Mike Meyers' CompTIA A+ Guide to Managing and Troubleshooting PCs, 4th Edition (Exams 220-801 & 220-802)",Mike Meyers,,,$62.49 ,,9.78007E+12,978-0071809481,,McGraw-Hill Education,,,1071,
348.html,"CCNA Routing and Switching Deluxe Study Guide: Exams 100-101, 200-101, and 200-120",Todd Lammle# William Tedder,$60.98 ,,$51.99 ,,9.78112E+12,978-1118789704,,Wiley,,"117,613",1184,11.10(w) x 9.30(h) x 1.90(d)
349.html,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD) / Edition 9,David Schneider,$119.76 ,,,,9.78013E+12,978-0133378504,,Pearson,,"121,569",688,8.40(w) x 10.70(h) x 1.10(d)
350.html,What Is Node?,Brett McLaughlin,,,,,9.78145E+12,978-1449314484,,"O'Reilly Media, Incorporated",,"112,945",10,
351.html,Managing and Using Information Systems: A Strategic Approach / Edition 5,Keri E. Pearlson# Carol S. Saunders,,$79.35 ,,,9.78112E+12,978-1118281734,,Wiley,,"113,265",416,6.00(w) x 8.90(h) x 0.70(d)
352.html,Diablo III: The Order,Nate Kenyon,$21.01 ,$7.19 ,$7.99 ,,9.78145E+12,978-1451645651,,Pocket Books,,"613,910",449,4.10(w) x 6.60(h) x 1.30(d)
353.html,Building a DevOps Culture,Mandi Walls,,,,,9.78145E+12,978-1449368364,,"O'Reilly Media, Incorporated",,"113,373",26,
354.html,The Visual Toolbox: 60 Lessons for Stronger Photographs,David duChemin,,$29.02 ,$18.49 ,,9.78013E+12,978-0134085067,Voices That Matter Series,New Riders,,"113,527",288,7.90(w) x 9.00(h) x 1.00(d)
355.html,The Art of Dragon Age: Inquisition,Bioware,$26.74 ,,$18.99 ,,9.78162E+12,978-1616551865,,Dark Horse Comics,,"100,409",184,9.10(w) x 12.10(h) x 1.10(d)
356.html,It's Not About the F-Stop,Jay Maisel,,$34.45 ,$22.99 ,,9.78032E+12,978-0321987129,Voices That Matter Series,New Riders,,"100,520",216,8.40(w) x 10.90(h) x 0.80(d)
357.html,Adobe InDesign CS6 Classroom in a Book / Edition 1,Adobe Creative Team,,$32.09 ,$25.49 ,,9.78032E+12,978-0321822499,Classroom in a Book Series,Adobe Press,,"86,430",432,7.30(w) x 9.00(h) x 1.00(d)
358.html,"Minecraft: 70 Top Minecraft Seeds Ideas & Ultimate Top, Tricks & Tips To Ace The Game Exposed!: (Special 2 In 1 Exclusive Edition)",Jason Scotts,,$7.99 ,$0.99 ,,9.78163E+12,978-1630223731,,Speedy Publishing LLC,,"587,714",64,8.50(w) x 11.00(h) x 0.13(d)
359.html,Samsung Galaxy Tab 10.1 Guide : With Advance Tips and Tricks,Prof. Jeffrey Owens,,,,,9.78162E+12,978-1619792876,,Fountainhead Publications,,"124,609",,
360.html,The Photoshop Elements 13 Book for Digital Photographers,Scott Kelby# Matt Kloskowski,,$37.03 ,$23.49 ,,9.78013E+12,978-0133990089,Voices That Matter Series,New Riders,,"96,707",432,8.00(w) x 9.90(h) x 1.10(d)
361.html,Destiny Signature Series Strategy Guide,BradyGames,,,,,9.78074E+12,978-0744015621,,DK Games,,"125,045",400,
362.html,"CompTIA Security+ SY0-401 Authorized Cert Guide, Deluxe Edition",David L. Prowse,$37.42 ,,$23.49 ,,9.78079E+12,978-0789753335,Cert Guide Series,Pearson IT Certification,,"115,486",800,7.60(w) x 9.20(h) x 1.80(d)
363.html,The Brand Gap / Edition 2,Marty Neumeier,,$23.11 ,$13.99 ,,9.78032E+12,978-0321348104,AIGA Design Press Series,New Riders,,"125,500",194,7.78(w) x 5.26(h) x 0.51(d)
364.html,"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday, ,$8.98 ,$12.99 ,,9.78159E+12,978-1591846284,,Penguin Publishing Group,,"232,164",320,
365.html,Beginning Java Programming,Peter Paul,,,,,9.78111E+12,978-1105885082,,Lulu.com,,"122,049",,
366.html,Guía: Candy Crush Saga,Gamers Lounge,,,,,2.94015E+12,294-0149558056,,Gamers Lounge,,"116,855",,
367.html,World of Warcraft: Dawn of the Aspects: Part II,Richard A. Knaak,,,,,9.78148E+12,978-1476708614,,Pocket Star,,"116,606",100,
368.html,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,$15.72 ,$15.99 ,$14.99 ,,9.78006E+12,978-0062362490,,HarperCollins Publishers,,"123,058",416,6.20(w) x 9.10(h) x 1.50(d)
369.html,The Ultimate Field Guide to Photography,National Geographic,,,,,9.78143E+12,978-1426204463,,National Geographic,,"117,084",400,5.30(w) x 8.50(h) x 1.30(d)
370.html,The Witcher 3: Wild Hunt: Prima Official Game Guide,David Hodgson# Alex Musa,,,,,9.7808E+12,978-0804161596,,DK Games,,"117,120",496,7.90(w) x 10.80(h) x 0.80(d)
371.html,Microsoft Project 2013 Step by Step,Carl Chatfield# Timothy Johnson,,$25.40 ,$15.99 ,,9.78074E+12,978-0735669116,,Microsoft Press,,"123,019",578,7.30(w) x 9.00(h) x 1.50(d)
372.html,Microsoft Office Professional 2013 Step by Step,Beth Melton# Mark Dodge# Echo Swinford# Andrew Couch,,$32.52 ,$20.99 ,,9.78074E+12,978-0735669413,Step by Step Series,Microsoft Press,,"117,338",1216,7.40(w) x 9.00(h) x 2.10(d)
373.html,Marketing Automation For Dummies,Mathew Sweezey,,$19.68 ,$14.99 ,,9.78112E+12,978-1118772225,For Dummies Series,Wiley,,"155,255",312,7.30(w) x 9.10(h) x 0.70(d)
374.html,Head First Design Patterns,Eric Freeman# Elisabeth Robson# Bert Bates# Kathy Sierra,,$35.99 ,$29.49 ,,9.7806E+12,978-0596007126,Head First Series,"O'Reilly Media, Incorporated",,"103,255",694,8.00(w) x 9.25(h) x 1.40(d)
375.html,"CompTIA A+ Certification Boxed Set, Second Edition (Exams 220-801 &amp; 220-802) / Edition 2",Jane Holcombe# Charles Holcombe# James Pyles# Michael Chapple,,,,,9.78007E+12,978-0071796132,Certification Press Series,McGraw-Hill Professional Publishing,,"117,470",1376,7.60(w) x 9.60(h) x 4.20(d)
376.html,FE Exam Review: Electrical and Computer Engineering / Edition 1,Myron E. Sveum PE,,$34.04 ,,,9.78159E+12,978-1591260691,,"Professional Publications, Incorporated",,"103,431",176,8.40(w) x 10.90(h) x 0.50(d)
377.html,Network+ Guide to Networks (with Printed Access Card) / Edition 6,Tamara Dean,, ,,,9.78113E+12,978-1133608196,,Cengage Learning,,"107,798",912,7.40(w) x 8.90(h) x 1.32(d)
378.html,World of Warcraft: Dawn of the Aspects: Part V,Richard A. Knaak,,,,,9.78148E+12,978-1476708645,,Pocket Star,,"118,471",100,
379.html,"New Perspectives on Microsoft Excel 2013, Introductory",June Jamrich Parsons,,$131.40 ,,,9.78129E+12,978-1285169361,New Perspectives Series,Cengage Learning,,"118,386",608,8.40(w) x 10.70(h) x 1.00(d)
380.html,QuickBooks Online For Dummies,Elaine Marmel,,$20.83 ,$13.99 ,,9.78112E+12,978-1119016045,For Dummies Series,Wiley,,"131,871",312,7.30(w) x 9.20(h) x 0.80(d)
381.html,The Legend of Zelda Box Set: Prima Official Game Guide,David Hodgson# Stephen Stratton,,,,,9.7808E+12,978-0804161381,,DK Games,,"118,934",2128,8.75(w) x 11.25(h) x 7.25(d)
382.html,C Programming Absolute Beginner's Guide,Greg Perry# Dean Miller,,$20.33 ,$13.49 ,,9.78079E+12,978-0789751980,Absolute Beginner's Guide Series,Que,,"119,117",337,6.90(w) x 9.10(h) x 0.90(d)
383.html,The 2-Hour Job Search: Using Technology to Get the Right Job Faster,Steve Dalton,,$9.83 ,$9.99 ,,9.78161E+12,978-1607741701,,Potter/Ten Speed/Harmony,,"104,554",240,5.50(w) x 8.50(h) x 3.00(d)
384.html,Adobe InDesign CC Classroom in a Book,Kelly Kordes Anton# John Cruise,,$43.56 ,$27.99 ,,9.78013E+12,978-0133904390,Classroom in a Book Series,Adobe Press,,"129,844",432,7.30(w) x 9.00(h) x 0.80(d)
385.html,The Basics of Digital Forensics: The Primer for Getting Started in Digital Forensics,John Sammons,,$17.30 ,$17.49 ,,9.7816E+12,978-1597496612,,Elsevier Science,,"119,348",208,7.52(w) x 9.48(h) x 0.49(d)
386.html,My Samsung Galaxy Note 4,Craig James Johnston# Guy Hart-Davis,,$19.37 ,$11.99 ,,9.78079E+12,978-0789754509,My... Series,Que,,"139,415",496,6.00(w) x 8.90(h) x 0.90(d)
387.html,Programmer's Motivation for Beginners: Real Learning Stories & Tips,Rajaraman Raghuraman,,,,,9.7813E+12,978-1304371737,,Lulu.com,,"109,416",,
388.html,Vrijeme koje nam je pojeo Pac-Man,Zoran Zmiric,,,,,2.94004E+12,294-0044611641,,Zoran Zmiric,,"133,194",,
389.html,CentOS: The Commercial Grade Linux Desktop,Ed Hurst,,,,,2.94005E+12,294-0045837071,,Ed Hurst,,"120,274",,
390.html,"Ultimate Gamers Pack: Battlefield 4, Bubble Witch Saga and Candy Crush Saga: Bubble Witch Saga 2 Guide Included",Speedy Publishing,,,,,9.78163E+12,978-1633833074,,Speedy Publishing LLC,,"120,802",76,
