#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.title,rtable.title,ltable.authors,rtable.authors,ltable.venue,rtable.venue,ltable.year,rtable.year,gold
89,conf/sigmod/PiatkoYLS96,280352,Thinksheet: A Tool for Tailoring Complex Documents,,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha","Peter Piatko, Roman Yangarber, Daoi Lin, Dennis Shasha",SIGMOD Conference,International Conference on Management of Data,1996,1996,1
90,conf/sigmod/ProcopiucJAM02,564739,A Monte Carlo algorithm for fast projective clustering,A Monte Carlo algorithm for fast projective clustering,"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc","Cecilia M. Procopiuc, Michael Jones, Pankaj K. Agarwal, T. M. Murali",SIGMOD Conference,International Conference on Management of Data,2002,2002,1
91,conf/sigmod/QuassW97,253352,On-Line Warehouse View Maintenance,On-line warehouse view maintenance,"Jennifer Widom, Dallan Quass","Dallan Quass, Jennifer Widom",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
92,conf/sigmod/RaoR00,335449,Making B+-Trees Cache Conscious in Main Memory,Making B+- trees cache conscious in main memory,"Kenneth A. Ross, Jun Rao","Jun Rao, Kenneth A. Ross",SIGMOD Conference,International Conference on Management of Data,2000,2000,1
93,conf/sigmod/RaoR00,671362,Making B+-Trees Cache Conscious in Main Memory,Cache Conscious Indexing for Decision-Support in Main Memory,"Kenneth A. Ross, Jun Rao","Jun Rao, Kenneth A. Ross",SIGMOD Conference,Very Large Data Bases,2000,1999,0
94,conf/sigmod/RothAHCCFSTW96,765565,The Garlic Project,A configurable type hierarchy index for OODB,"Manish Arya, Mary Tork Roth, Laura M. Haas, Joachim Thomas II, Michael J. Carey, Edward L. Wimmers, Peter M. Schwarz, William F. Cody, Ronald Fagin","Thomas A. Mueck, Martin L. Polaschek",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,1996,1997,0
95,conf/sigmod/RundensteinerWYD02,219769,XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets,Data and knowledge base research at Hong Kong University of Science and Technology,"Elke A. Rundensteiner, Punit R. Doshi, Jing Yang, Matthew O. Ward",,SIGMOD Conference,ACM SIGMOD Record,2002,1995,0
96,conf/sigmod/SalemBCL00,335393,How To Roll a Join: Asynchronous Incremental View Maintenance,How to roll a join: asynchronous incremental view maintenance,"Kevin S. Beyer, Roberta Cochrane, Kenneth Salem, Bruce G. Lindsay","Kenneth Salem, Kevin Beyer, B Lindsay, Roberta Cochrane",SIGMOD Conference,International Conference on Management of Data,2000,2000,1
97,conf/sigmod/SchusterW01,375739,Communication Efficient Distributed Mining of Association Rules,Content integration for e-business,"Ran Wolff, Assaf Schuster","Michael Stonebraker, Joseph M. Hellerstein",SIGMOD Conference,International Conference on Management of Data,2001,2001,0
98,conf/sigmod/ShashaB02,564799,"Database tuning: principles, experiments, and troubleshooting techniques (part II)","Database tuning: principles, experiments, and troubleshooting techniques (part II)","Dennis Shasha, Philippe Bonnet","Dennis Shasha, Philippe Bonnet",SIGMOD Conference,International Conference on Management of Data,,2002,1
99,conf/sigmod/SrikantA96,233311,Mining Quantitative Association Rules in Large Relational Tables,Mining quantitative association rules in large relational tables,"Ramakrishnan Srikant, Rakesh Agrawal",,SIGMOD Conference,International Conference on Management of Data,1996,1996,1
100,conf/sigmod/SubramanianV98,253397,Cost-Based Optimization of Decision Support Queries Using Transient Views,Languages for multi-database interoperability,"Shivakumar Venkataraman, Subbu N. Subramanian","Frdric Gingras, Laks V. S. Lakshmanan, Iyer N. Subramanian, Despina Papoulis, Nematollaah Shiri",SIGMOD Conference,International Conference on Management of Data,1998,1997,0
101,conf/sigmod/Team95a,223898,Paradise: A Database System for GIS Applications,Paradise: a database system for GIS applications,Paradise Team,CORPORATE The Paradise Team,SIGMOD Conference,International Conference on Management of Data,1995,1995,1
102,conf/sigmod/VingralekBW94,191889,Distributed File Organization with Scalable Cost/Performance,Distributed file  with scalable cost/performance,"Yuri Breitbart, Gerhard Weikum, Radek Vingralek","Radek Vingralek, Yuri Breitbart, Gerhard Weikum",SIGMOD Conference,International Conference on Management of Data,1994,1994,1
103,conf/sigmod/VossenW99,304586,The WASA2 Object-Oriented Workflow Management System,The WASA2 object-oriented workflow management system,"Mathias Weske, Gottfried Vossen","Gottfried Vossen, Mathias Weske",SIGMOD Conference,International Conference on Management of Data,1999,1999,1
104,conf/sigmod/WaasG00,335451,"Counting, Enumerating, and Sampling of Execution Plans in a Cost-Based Query Optimizer","Counting, enumerating, and sampling of execution plans in a cost-based query optimizer","Csar A. Galindo-Legaria, Florian Waas",Florian Csar Galindo-Legaria,SIGMOD Conference,International Conference on Management of Data,2000,2000,1
105,conf/sigmod/WangSSZZW00,764206,An Approximate Search Engine for Structural Databases,An XML query engine for network-bound data,"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro","Zachary G. Ives, A. Y. Halevy, D. S. Weld",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,2000,2002,0
106,conf/sigmod/WangZS95,223900,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases","Pattern matching and pattern discovery in scientific, program, and document databases","Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang","Jason T. L. Wang, Kaizhong Zhang, Dennis Shasha",SIGMOD Conference,,,1995,1
107,conf/sigmod/WilschutFA95,775455,Parallel Evaluation of Multi-Join Queries,A Bayesian decision model for cost optimal record matching,"Jan Flokstra, Annita N. Wilschut, Peter M. G. Apers","V. S. Verykios, G. V. Moustakides, M. G. Elfeky",SIGMOD Conference,The VLDB Journal  The International Journal on Very Large Data Bases,1995,2003,0
108,conf/sigmod/WolfsonSXZC99,671355,DOMINO: Databases fOr MovINg Objects tracking,Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jutai Zhou, Ouri Wolfson, Sam Chamberlain, A. Prasad Sistla, Bo Xu","Jianzhong Li, Doron Rotem, Jaideep Srivastava",SIGMOD Conference,Very Large Data Bases,1999,1999,0
109,conf/sigmod/Wu99,304202,Query Optimization for Selections Using Bitmaps,Query optimization for selections using bitmaps,,Ming-Chuan Wu,SIGMOD Conference,International Conference on Management of Data,1999,1999,1
110,conf/sigmod/YangM97,253361,Association Rules over Interval Data !!,Association rules over interval data,"Rene J. Miller, Yuping Yang","R. J. Miller, Y. Yang",SIGMOD Conference,International Conference on Management of Data,1997,1997,1
111,conf/sigmod/YerneniLGU99,304221,Computing Capabilities of Mediators,Computing capabilities of mediatories,"Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Hector Garcia-Molina","Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",SIGMOD Conference,International Conference on Management of Data,1999,,1
112,conf/sigmod/ZhouWGGZWXYF03,872860,TREX: DTD-Conforming XML to XML Transformations,TREX: DTD-conforming XML to XML transformations,"Xueqing Gong, Kun Yue, Aoying Zhou, Zhimao Guo, Jianchang Xiao, Wenfei Fan, Hongwei Wu, Qing Wang, Shihui Zheng","Aoying Zhou, Qing Wang, Zhimao Guo, Xueqing Gong, Shihui Zheng, Hongwei Wu, Jianchang Xiao, Kun Yue, Wenfei Fan",SIGMOD Conference,International Conference on Management of Data,2003,2003,1
113,conf/sigmod/ZhuSZ03,872866,Query by Humming - in Action with its  Revealed,Query by humming: in action with its technology revealed,"Yunyue Zhu,  Zhao, Dennis Shasha","Yunyue Zhu, Dennis Shasha, Xiaojian Zhao",SIGMOD Conference,International Conference on Management of Data,2003,2003,1
114,conf/vldb/AcharyaFZ96,673323,Disseminating Updates on Broadcast Disks,Disseminating Updates on Broadcast Disks,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",,VLDB,Very Large Data Bases,1996,1996,1
115,conf/vldb/AgrawalCN00,671701,Automated Selection of Materialized Views and Indexes in SQL Databases,Automated Selection of Materialized Views and Indexes in SQL Databases,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya","Sanjay Agrawal, Surajit Chaudhuri, Vivek R. Narasayya",VLDB,Very Large Data Bases,2000,2000,1
116,conf/vldb/AilamakiDHW99,290602,DBMSs on a Modern Processor: Where Does Time Go?,A case for intelligent disks (IDISKs),"David A. Wood, Mark D. Hill, David J. DeWitt, Anastassia Ailamaki","Kimberly Keeton, David A. Patterson, Joseph M. Hellerstein",VLDB,ACM SIGMOD Record,1999,1998,0
117,conf/vldb/AlonsoHST97,671020,Distributed Processing Stand-alone Systems and Applications,Distributed Processing over Standalone Systems and Applications,"Claus Hagen, Hans-Jrg Schek, Gustavo Alonso, Markus Tresch","Gustavo Alonso, Claus Hagen, Hans-Jrg Schek, Markus Tresch",VLDB,,1997,1997,1
118,conf/vldb/Amer-YahiaFSX03,262763,Phrase Matching in XML,A query language for a Web-site management system,"Sihem Amer-Yahia, Mary F. Fernandez, Yu Xu, Divesh Srivastava","Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",VLDB,ACM SIGMOD Record,2003,1997,0
119,conf/vldb/AmmannJR95,249981,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,Applying formal methods to semantic-based decomposition of transactions,"Paul Ammann, Indrakshi Ray, Sushil Jajodia","Paul Ammann, Sushil Jajodia, Indrakshi Ray",VLDB,ACM Transactions on Database Systems (TODS),1995,1997,0
120,conf/vldb/AmmannJR95,673164,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,,"Paul Ammann, Indrakshi Ray, Sushil Jajodia","Paul Ammann, Sushil Jajodia, Indrakshi Ray",VLDB,Very Large Data Bases,1995,1995,1
121,conf/vldb/AmsalegFG95,673302,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin","Laurent Amsaleg, Michael J. Franklin, Olivier Gruber",,Very Large Data Bases,1995,1995,1
122,conf/vldb/AmsalegFG95,765549,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,A database model for object dynamics,"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin","M. P. Papazoglou, B. J. Krmer",VLDB,The VLDB Journal  The International Journal on Very Large Data Bases,1995,1997,0
123,conf/vldb/AnandBH94,191930,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,Oracle's symmetric replication technology and implications for application design,"John G. Hughes, David A. Bell, Sarabjot S. Anand","Dean Daniels, Lip Boon Doo, Alan Downing, Curtis Elsbernd, Gary Hallmark, Sandeep Jain, Bob Jenkins, Peter Lim, Gordon Smith, Benny Souder, Jim Stamos",VLDB,International Conference on Management of Data,1994,1994,0
124,conf/vldb/AnandBH94,223814,,Implementing crash recovery in QuickStore: a performance study,"John G. Hughes, David A. Bell, Sarabjot S. Anand","Seth J. White, David J. DeWitt",VLDB,International Conference on Management of Data,1994,1995,0
125,conf/vldb/AnandBH94,233334,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,Providing better support for a class of decision support queries,"John G. Hughes, David A. Bell, Sarabjot S. Anand","Sudhir G. Rao, Antonio Badia, Dirk van Gucht",VLDB,International Conference on Management of Data,1994,1996,0
126,conf/vldb/AnandBH94,564771,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,XCache: a semantic caching system for XML queries,"John G. Hughes, David A. Bell, Sarabjot S. Anand","Li Chen, Elke A. Rundensteiner, Song Wang",VLDB,International Conference on Management of Data,1994,2002,0
127,conf/vldb/AnandBH94,672210,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,Operating System Extensions for the Teradata Parallel VLDB,"John G. Hughes, David A. Bell, Sarabjot S. Anand","John Catozzi, Sorana Rabinovici",VLDB,Very Large Data Bases,1994,2001,0
128,conf/vldb/AnandBH94,872846,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,GridDB: a relational interface for the grid,"John G. Hughes, David A. Bell, Sarabjot S. Anand","David T. Liu, Michael J. Franklin, Devesh Parekh",VLDB,International Conference on Management of Data,1994,2003,0
129,conf/vldb/Atal96,673322,The XPS Approach to Loading and Unloading Terabyte Databases,The XPS Approach to Loading and Unloading Terabyte Databases,Sanket Atal,Sanket Atal,VLDB,,1996,,1
130,conf/vldb/BalminHKPSW03,872774,A System for Keyword Proximity Search on XML Databases,ViST: a dynamic index method for querying XML data by tree structures,"Tianqiu Wang, Yannis Papakonstantinou, Nick Koudas, Vagelis Hristidis, Andrey Balmin, Divesh Srivastava","Haixun Wang, Sanghyun Park, Wei Fan, Philip S. Yu",VLDB,International Conference on Management of Data,2003,2003,0
131,conf/vldb/BalminPP00,672016,Hypothetical Queries in an OLAP Environment,Hypothetical Queries in an OLAP Environment,"Thanos Papadimitriou, Andrey Balmin, Yannis Papakonstantinou","Andrey Balmin, Thanos Papadimitriou, Yannis Papakonstantinou",VLDB,Very Large Data Bases,2000,2000,1
132,conf/vldb/BaralisW94,673002,An Algebraic Approach Rule Analysis in Expert Database Systems,An Algebraic Approach to Rule Analysis in Expert Database Systems,"Jennifer Widom, Elena Baralis","Elena Baralis, Jennifer Widom",VLDB,Very Large Data Bases,1994,1994,1
133,conf/vldb/BargaP95,253342,A Practical and Modular Implementation of Extended Transaction Models,,"Roger S. Barga, Calton Pu","Jignesh Patel, JieBing Yu, Navin Kabra, Kristin Tufte, Biswadeep Nag, Josef Burger, Nancy Hall, Karthikeyan Ramasamy, Roger Lueder, Curt Ellmann, Jim Kupsch, Shelly Guo, Johan Larson, David De Witt, Jeffrey Naughton",VLDB,International Conference on Management of Data,1995,1997,0
134,conf/vldb/BaulierBGJGKKMMNNRSS98,223866,DataBlitz: A High Performance Main-Memory Storage Manager,VERSANT replication: supporting fault-tolerant object databases,,,VLDB,,1998,1995,0
135,conf/vldb/BaulierBKS98,381881,A Database System for Real-Time Event Aggregation in Telecommunication,DeeDS towards a distributed and active real-time database system,"Henry F. Korth, Jerry Baulier, Abraham Silberschatz, Stephen Blott","S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",VLDB,ACM SIGMOD Record,1998,1996,0
136,conf/vldb/BaumgartnerFG01a,672362,Supervised Wrapper Generation with Lixto,Update Propagation Strategies for Improving the Quality of Data on the Web,"Sergio Flesca, Robert Baumgartner, Georg Gottlob","Alexandros Labrinidis, Nick Roussopoulos",VLDB,Very Large Data Bases,2001,2001,0
137,conf/vldb/BelloDDFNSWZ98,671335,Materialized Views in Oracle,Materialized Views in Oracle,"Randall G. Bello, William D. Norcott, Mohamed Ziauddin, Harry Sun, Karl Dias, Alan Downing, James J. Feenan Jr., Andrew Witkowski, James L. Finnerty","Randall G. Bello, Karl Dias, Alan Downing, James J. Feenan, Jr., James L. Finnerty, William D. Norcott, Harry Sun, Andrew Witkowski, Mohamed Ziauddin",VLDB,Very Large Data Bases,1998,1998,1
138,conf/vldb/BeneventanoBCCGMMV00,375764,Information Integration: The MOMIS Project Demonstration,Securing XML documents: the author-X project demonstration,"Michele Melchiori, Silvana Castano, G. Malvezzi, Domenico Beneventano, R. Guidetti, Alberto Corni, Sonia Bergamaschi, Maurizio Vincini","Elisa Bertino, Silvana Castano, Elena Ferrari",VLDB,International Conference on Management of Data,2000,2001,0
139,conf/vldb/BerckenS96,673480,Query Processing Techniques for Multiversion Access Methods,Query Processing Techniques for Multiversion Access Methods,"Jochen Van den Bercken, Bernhard Seeger","Jochen Van den Bercken, Bernhard Seeger",VLDB,Very Large Data Bases,1996,1996,1
140,conf/vldb/BerckenSW97,671016,A Generic Approach to Bulk Loading Multidimensional Index Structures,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken","Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",VLDB,Very Large Data Bases,1997,1997,1
141,conf/vldb/BernsteinHJRW00,507344,Panel: Is Generic Metadata Management Feasible?,An active functionality service for e-business applications,"Gio Wiederhold, Erhard Rahm, Matthias Jarke, Laura M. Haas, Philip A. Bernstein","M. Cilia, A. P. Buchmann",VLDB,ACM SIGMOD Record,2000,2002,0
142,conf/vldb/BliujuteJSS98,671339,R-Tree Based Indexing of Now-Relative Bitemporal Data,R-Tree Based Indexing of Now-Relative Bitemporal Data,"Simonas Saltenis, Christian S. Jensen, Giedrius Slivinskas, Rasa Bliujute","Rasa Bliujute, Christian S. Jensen, Simonas Saltenis, Giedrius Slivinskas",VLDB,,1998,1998,1
143,conf/vldb/BlokWZPAKJ01,672989,Flexible and scalable digital library search,A Top-Down Approach for Two Level Serializability,"Peter M. G. Apers, Milan Petkovic, Roelof van Zwol, Menzo Windhouwer, Henk Ernst Blok, Martin L. Kersten, Willem Jonker","M. Ouzzani, M. A. Atroun, N. L. Belkhodja",VLDB,Very Large Data Bases,2001,1994,0
144,conf/vldb/Blum99,671348,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum,Adam Blum,VLDB,Very Large Data Bases,1999,1999,1
145,conf/vldb/BohannonLRSSS97,253406,Logical and Physical Versioning in Main Memory Databases,Structural matching and discovery in document databases,"S. Seshadri, Rajeev Rastogi, Abraham Silberschatz, Philip Bohannon, Dennis W. Leinbaugh, S. Sudarshan","Jason Tsong-Li Wang, Dennis Shasha, George J. S. Chang, Liam Relihan, Kaizhong Zhang, Girish Patel",VLDB,International Conference on Management of Data,1997,1997,0
146,conf/vldb/BohlenSS96,377665,Coalescing in Temporal Databases,Temporal statement modifiers,"Michael D. Soo, Richard T. Snodgrass, Michael H. Bhlen","Michael H. Bhlen, Christian S. Jensen, Richard Thomas Snodgrass",VLDB,ACM Transactions on Database Systems (TODS),1996,2000,0
147,conf/vldb/BohmMSW01,672198,Fast Evaluation Techniques for Complex Similarity Queries,Fast Evaluation Techniques for Complex Similarity Queries,"Michael Mlivoncic, Roger Weber, Klemens Bhm, Hans-Jrg Schek","Klemens Bhm, Michael Mlivoncic, Hans-Jrg Schek, Roger Weber",VLDB,Very Large Data Bases,2001,2001,1
148,conf/vldb/BonczMK99,310066,Database Architecture Optimized for the New Bottleneck: Memory Access,The OASIS multidatabase prototype,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten","Mark Roantree, John Murphy, Wilhelm Hasselbring",VLDB,ACM SIGMOD Record,1999,1999,0
149,conf/vldb/BonczMK99,672966,Database Architecture Optimized for the New Bottleneck: Memory Access,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten","Sarabjot S. Anand, David A. Bell, John G. Hughes",VLDB,Very Large Data Bases,1999,1994,0
150,conf/vldb/BouganimFV96,765804,Dynamic Load Balancing in Hierarchical Parallel Database Systems,The design and implementation of K: a high-level knowledge-base programming language of OSAM*.KBMS,"Luc Bouganim, Daniela Florescu, Patrick Valduriez","Yuh-Ming Shyy, Javier Arroyo, Stanley Y.W. Su, Herman Lam",VLDB,The VLDB Journal  The International Journal on Very Large Data Bases,1996,1996,0
151,conf/vldb/BouganimP02,601871,Chip-Secured Data Access: Confidential Data on Untrusted Servers,"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more","Philippe Pucheral, Luc Bouganim",Marianne Winslett,VLDB,ACM SIGMOD Record,2002,2002,0
152,conf/vldb/BouguettayaEMO01,672201,Ontology-based Support for Digital Government,Ontology-based Support for Digital Government,"Ahmed K. Elmagarmid, Athman Bouguettaya, Mourad Ouzzani, Brahim Medjahed","Athman Bouguettaya, Ahmed K. Elmagarmid, Brahim Medjahed, M. Ouzzani",VLDB,Very Large Data Bases,,2001,1
153,conf/vldb/BunemanDHOW95,950485,A Data Transformation System for Biological Data Sources,Aurora: a new model and architecture for data stream management,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",,VLDB,The VLDB Journal  The International Journal on Very Large Data Bases,1995,2003,0
154,conf/vldb/CabreraRH95,673308,Applying Database Technology in the ADSM Mass Storage System,Applying Database Technology in the Mass Storage System,"Robert Rees, Luis-Felipe Cabrera, Wayne Hineman","Luis-Felipe Cabrera, Robert Rees, Wayne Hineman",VLDB,Very Large Data Bases,1995,1995,1
155,conf/vldb/Carey00,671700,"Toto, We're Not in Kansas Anymore (Invited Industrial Talk)","Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,Michael J. Carey,VLDB,Very Large Data Bases,2000,2000,1
156,conf/vldb/CareyCNVDRSM99,671522,"O-O, What Have They Done to DB2?","O-O, What Have They Done to DB2?","Bennet Vance, Richard Swagerman, Michael J. Carey, Srinivasa Narayanan, Nelson Mendona Mattos, Donald D. Chamberlin, Doug Doole, Serge Rielau","Michael J. Carey, Donald D. Chamberlin, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Richard Swagerman, Nelson Mendona Mattos",VLDB,Very Large Data Bases,1999,1999,1
157,conf/vldb/CareyHMW96,381878,PESTO : An Integrated Query/Browser for Object Databases,Enhancing external consistency in real-time transactions,"Laura M. Haas, Michael J. Carey, Vivekananda Maganty, John H. Williams","Kwei-Jay Lin, Ching-Shan Peng",VLDB,ACM SIGMOD Record,1996,1996,0
158,conf/vldb/CarinoJ98,671030,Bank of America Case Study: The Information Currency Advantage,Bank of America Case Study: The Information Currency Advantage,"Mark Jahnke, Felipe Cario","Felipe Cario, Mark Jahnke",VLDB,Very Large Data Bases,1998,1998,1
159,conf/vldb/ChakrabartiGRS00,564733,Approximate Query Processing Using Wavelets,Statistical synopses for graph-structured XML databases,"Kyuseok Shim, Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi","Neoklis Polyzotis, Minos Garofalakis",VLDB,International Conference on Management of Data,2000,2002,0
160,conf/vldb/ChaudhuriS96,872831,Optimization of Queries with User-defined Predicates,On relational support for XML publishing: beyond sorting and tagging,"Surajit Chaudhuri, Kyuseok Shim","Surajit Chaudhuri, Raghav Kaushik, Jeffrey F. Naughton",VLDB,International Conference on Management of Data,1996,2003,0
161,conf/vldb/CherniackFZ01,673132,Data Management for Pervasive Computing,BigSur: A System For the Management of Earth Science Data,"Mitch Cherniack, Stanley B. Zdonik, Michael J. Franklin","Paul Brown, Michael Stonebraker",VLDB,Very Large Data Bases,2001,1995,0
162,conf/vldb/ChoN02,564753,Effective Change Detection Using Sampling,A compact B-tree,"Alexandros Ntoulas, Junghoo Cho","Peter Bumbulis, Ivan T. Bowman",VLDB,International Conference on Management of Data,2002,2002,0
163,conf/vldb/ChoenniV00,672008,Design and Implementation of a Genetic-Based Algorithm for Data Mining,Design and Implementation of a Genetic-Based Algorithm for Data Mining,Sunil Choenni,Sunil Choenni,VLDB,Very Large Data Bases,2000,2000,1
164,conf/vldb/CooperSFHS01,950486,A Fast Index for Semistructured Data,PSoup: a system for streaming queries over streaming data,"Brian Cooper, Gsli R. Hjaltason, Michael J. Franklin, Neal Sample, Moshe Shadmon","Sirish Chandrasekaran, Michael J. Franklin",VLDB,The VLDB Journal  The International Journal on Very Large Data Bases,2001,2003,0
165,conf/vldb/CuiW01,375745,Lineage Tracing for General Data Warehouse Transformations,"Data management: lasting impact on wild, wild, web","Yingwei Cui, Jennifer Widom",Reed M. Meseck,VLDB,International Conference on Management of Data,2001,2001,0
166,conf/vldb/DarmontS99,671361,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"Michel Schneider, Jrme Darmont","Jrme Darmont, Michel Schneider",VLDB,Very Large Data Bases,1999,1999,1
167,conf/vldb/Dasgupta96,671857,Large Databases for Remote Sensing and GIS,"Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)",A. R. Dasgupta,"Meridith A. Lane, James L. Edwards, Ebbe Nielsen",VLDB,Very Large Data Bases,1996,2000,0
168,conf/vldb/DattaDTVRF01,872832,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,A comprehensive XQuery to SQL translation using dynamic interval encoding,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman","David DeHaan, David Toman, Mariano P. Consens, M. Tamer zsu",VLDB,International Conference on Management of Data,2001,2003,0
169,conf/vldb/DattaRT99,219730,Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,A research status report on adaptation for mobile data access,"Helen M. Thomas, Krithi Ramamritham, Anindya Datta","Brian D. Noble, M. Satyanarayanan",VLDB,ACM SIGMOD Record,1999,1995,0
170,conf/vldb/DeenJNNW00,602302,,Reminiscences on Influential Papers,"Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen",Kenneth A. Ross,VLDB,ACM SIGMOD Record,2000,2000,0
171,conf/vldb/DyresonBJ99,671672,Capturing and Querying Multiple Aspects of Semistructured Data,,"Curtis E. Dyreson, Michael H. Bhlen, Christian S. Jensen","Curtis E. Dyreson, Michael H. Bhlen, Christian S. Jensen",VLDB,Very Large Data Bases,1999,1999,1
172,conf/vldb/EsterKSWX98,673132,Incremental Clustering for Mining in a Data Warehousing Environment,BigSur: A System For the Management of Earth Science Data,"Xiaowei Xu, Michael Wimmer, Jrg Sander, Martin Ester, Hans-Peter Kriegel","Paul Brown, Michael Stonebraker",VLDB,Very Large Data Bases,1998,1995,0
173,conf/vldb/FaloutsosG96,673487,Analysis of n-Dimensional Quadtrees using the Hausdorff,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede","Christos Faloutsos, V Gaede",VLDB,Very Large Data Bases,1996,1996,1
174,conf/vldb/Fecteau95,223876,Managing a DB2 Parallel Edition Database,An overview of DB2 parallel edition,Gilles Fecteau,"Chaitanya Baru, Gilles Fecteau",VLDB,International Conference on Management of Data,1995,1995,0
175,conf/vldb/FerrandinaMZ94,673314,Implementing Lazy Database Updates for an Object Database System,Schema and Database Evolution in the O2 Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari","Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari, Guy Ferran, Jolle Madec",VLDB,Very Large Data Bases,1994,1995,0
176,conf/vldb/Garcia-MolinaLY98,671164,Expiring Data in a Warehouse,Expiring Data in a Warehouse,"Wilburt Labio, Jun Yang, Hector Garcia-Molina","Hector Garcia-Molina, Wilburt Labio, Jun Yang",VLDB,Very Large Data Bases,1998,1998,1
177,conf/vldb/GarciaLL98,671175,On Optimal Node Splitting for R-trees,DataBlitz: A High Performance Main-Memory Storage Manager,"Yvn J. Garca, Scott T. Leutenegger, Mario A. Lopez","Jerry Baulier, Philip Bohannon, S. Gogate, S. Joshi, C. Gupta, A. Khivesera, Henry F. Korth, Peter McIlroy, J. Miller, P. P. S. Narayan, M. Nemeth, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",VLDB,Very Large Data Bases,1998,1998,0
178,conf/vldb/GardarinST96,673485,"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","Zhao-Hui Tang, Fei Sha, Georges Gardarin","Georges Gardarin, Fei Sha, Zhao-Hui Tang",VLDB,Very Large Data Bases,1996,1996,1
