ID, Title, Author1, Author2, Author3, Publisher, ISBN13, Publication Date, Pages, Product dimensions, Sales rank, Ratings count, Rating value, Paperback price, Hardcover price, Nookbook price, Audiobook price
259,Learning to Fly: The Autobiography,Victoria Beckham, , ,Penguin Publishing Group,9781405916974,08/13/2014,1,5.00(w) x 7.50(h) x 1.50(d),"343,986", , , , , , 
260,My Story: A Fill-in-the-Blank Autobiography,Alex A. Lluch, , ,"WS Publishing Group, Inc.",9781934386286,12/15/2008,100,6.70(w) x 8.10(h) x 0.80(d),"344,249", , , , , , 
261,Autobiography of Red Cloud: War Leader of the Oglalas,R. Eli Paul,Charles Wesley Allen, ,Montana Historical Society Press,9780917298509,01/01/1997,222,5.56(w) x 8.60(h) x 0.59(d),"344,292",1,5.0, , , , 
262,Some Of These Days The Autobiography Of Sophie Tucker - Scholar's Choice Edition,Sophie Tucker, , ,Scholar's Choice,9781297029646,02/15/2015,324,7.44(w) x 9.69(h) x 0.68(d),"344,348", , , , , , 
263,Candidate Without a Prayer: An Autobiography of a Jewish Atheist in the Bible Belt,Herb Silverman, , ,Pitchstone Publishing,9780984493296,05/01/2015,256,5.90(w) x 8.90(h) x 0.60(d),"345,047",7,5.0,$11.61,$16.22, , 
264,My Side of Life: The Autobiography,Shane Filan, , ,Virgin Books,9780753556047,05/01/2015,336,6.00(w) x 9.10(h) x 1.10(d),"345,071", , ,$15.95, ,$10.49, 
265,"The Autobiography of Benjamin Franklin: In His Own Words, the Life of the Inventor, Philosopher, Satirist, Political Theorist, Statesman, and Diplomat",Benjamin Franklin,Ben Franklin,Poor Richard,ReadaClassic.com,9781611043297,12/28/2010,182,6.00(w) x 9.00(h) x 0.39(d),"345,610",1,5.0,$9.95, , , 
266,Beyond the Secret: The Autobiography of Dr. Louis Turi,Dr. Louis Turi, , ,Lulu.com,9781257429097,08/16/2011, , ,"346,805", , , , , , 
267,The Autobiography of Santa Claus,Jeff Guinn, , ,Penguin Publishing Group,9781101127773,10/19/2006,304, ,"348,472",65,4.1,$10.84,$12.85,$10.99, 
268,Where White Men Fear to Tread: The Autobiography of Russell Means,Marvin J. Wolf,Russell Means, ,"Antenna Books, Inc.",2940151498685,04/24/2015,573, ,"348,568",1,5.0, , , , 
269,Jesus: My Autobiography,Tina Louise Spalding, , ,Light Technology Publishing,2940151422512,06/01/2015,304, ,"349,967", , , , , , 
270,Jimmy White: Second Wind - My Autobiography,Trinity Mirror Sport Media, , ,Trinity Mirror Sport Media,9781908319531,11/07/2014,352, ,"350,432", , , , , , 
271,Writing Your Life: A Guide to Writing Autobiographies,Mary Borg, , ,"Sourcebooks, Incorporated",9781618210876,03/01/2013,175, ,"350,823", , ,$11.44, ,$10.49, 
272,Still Growing: An Autobiography,Kirk Cameron,Lissa Halls Johnson, ,Baker Publishing Group,9781441266026,05/01/2008,224, ,"357,200",25,4.0,$23.31,$19.86,$12.99, 
273,"Three Negro Classics: Up from Slavery, The Souls of Black Folk, The Autobiography of an Ex-Colored Man",James Weldon Johnson,W. E. B. DuBois,Booker T. Washington,HarperCollins Publishers,9780380015818,02/28/1999,512,4.18(w) x 6.75(h) x 1.02(d),"360,640", , ,$7.99, , , 
274,Elisabeth Sladen: The Autobiography,Elisabeth Sladen, , ,"Aurum Press, Limited",9781845138264,10/01/2012,320,6.02(w) x 9.21(h) x 0.87(d),"366,311",8,5.0,$9.69, ,$9.99,$23.01
275,Children of the Storm: The Autobiography of Natasha Vins,Natasha Vins, , ,"Jones, Bob University Press",9781579248543,01/28/2003,135,5.54(w) x 8.44(h) x 0.36(d),"366,552", , , , , , 
276,Israel Rank: The Autobiography of a Criminal,Roy Horniman, , ,CreateSpace Publishing,9781500857806,08/27/2014,392,5.00(w) x 8.00(h) x 0.87(d),"366,937", , ,$13.11, , , 
277,Iacocca,Lee Iacocca,William Novak, ,Random House Publishing Group,9780307788689,04/13/2011,384, ,"244,458",8,4.3,$7.99, ,$7.99, 
278,Samurai!: The Autobiography of Japan's World War Two Flying Ace,Saburo Sakai, , ,CreateSpace Publishing,9781507795859,01/31/2015,296,5.50(w) x 8.50(h) x 0.62(d),"367,980", , , , , , 
279,My Inventions Nikola Tesla's Autobiography,Nikola Tesla, , ,Lulu.com,9781312382824,07/25/2014,100,8.27(w) x 11.69(h) x 0.21(d),"369,953", , , , , , 
280,Flock: The Autobiography of a Multiple Personality,Joan Frances Casey l Summary & Study Guide, , ,BookRags.com,2940013017078,08/20/2011, , ,"371,626", , , , , , 
281,The Log-Cabin Lady An Anonymous Autobiography,Unknown, , ,CreateSpace Publishing,9781512211115,05/15/2015,38,6.00(w) x 9.00(h) x 0.08(d),"373,096",4,3.7,$6.99, ,$0.99, 
282,AUTOBIOGRAPHY WRITING FOR SENIORS,MARGOT A. TIRADO, , ,Trafford Publishing,9781466910928,01/10/2012,60, ,"379,888", , ,$9.22, ,$3.49, 
283,Driven: An Autobiography,Larry H. Miller,Doug Robinson, ,Deseret Book Company,9781606418925,02/06/2012, , ,"380,432",4,4.7,$16.55, ,$14.99, 
284,"One Tough Marine: The Autobiography of First Sergeant Donald N. Hamblen, USMC",Donald Hamblen,Bruce Norton, ,Quadrant Books,2940148945291,11/20/2013,324, ,"381,684",1,5.0, , , , 
285,Faster than Lightning: My Autobiography,Usain Bolt, , ,HarperCollins Publishers,9780007523658,09/12/2013,320, ,"382,638",2,5.0,$12.15, ,$9.99, 
286,Ansel Adams: An Autobiography / Edition 1,Ansel Adams,Adams Publishing Ansel,Mary Street Alinder,Bulfinch,9780821215968,10/28/1985,400,9.25(w) x 10.75(h) x 1.25(d),"383,021", , , , , , 
287,The Story of My Experiments with Truth: An Autobiography,Mohandas Karamchand (Mahatma) Gandhi, , ,CreateSpace Publishing,9781499142471,04/13/2014,168,8.50(w) x 11.00(h) x 0.36(d),"383,035", , ,$8.85, ,$2.45, 
288,Society's Child: My Autobiography,Janis Ian, , ,Penguin Publishing Group,9781440635168,07/24/2008,384, ,"384,068",8,4.5,$12.95, ,$13.99,$37.70
289,THE AUTOBIOGRAPHY OF MARK TWAIN Nook Edition (100th Anniversary Newly Edited and Commented Version) Special Nook Enabled Features The Autobiography of Mark Twain NOOKbook,Mark Twain, , ,Literary Classics Press,2940012096456,01/25/2011, , ,"384,368",71,3.8, , ,$2.99, 
290,SAS: The Autobiography,Jon E. Lewis, , ,"Little, Brown Book Group",9781849019330,06/23/2011,300, ,"384,900",25,4.6,$18.25, ,$5.99, 
291,Sharon Osbourne Extreme: My Autobiography,Sharon Osbourne, , ,"Little, Brown and Company",9780759568945,10/11/2006, , ,"385,525",26,4.4, ,$11.99,$11.99, 
292,Benjamin Franklin - Autobiography [Illustrated edition],Benjamin Franklin,Frank Woodworth Pine,Elmer Boyd Smith,Unforgotten Classics,2940015843033,06/24/2015, , ,"386,529",1,5.0, , ,$0.99, 
293,My Inventions (Rediscovered Books): The Autobiography of Nikola Tesla,Nikola Tesla, , ,"Wilder Publications, Inc.",9781633847217,02/27/2015,80, ,"386,936", , ,$7.95, ,$4.49, 
294,No Tears for the Clown: The Autobiography,Les Dawson, , ,Michael O'Mara Books,9781782431893,07/01/2013, , ,"389,903", , , , , , 
295,A Backward Glance,Edith Wharton, , ,Lulu.com,9781291637205,11/20/2013, , ,"245,954",11,3.8,$13.69,$28.95,$0.99, 
296,"My Lord, What a Morning: An Autobiography",Marian Anderson, , ,University of Illinois Press,9780252070532,02/28/2002,352,5.50(w) x 8.25(h) x 0.90(d),"395,215",1,5.0,$16.33, , , 
297,Playing It My Way: My Autobiography,Sachin Tendulkar, , ,"Hodder &amp; Stoughton, Ltd.",9781473605183,12/20/2014,416,6.00(w) x 9.20(h) x 1.60(d),"395,600",4,4.0,$16.44,$27.16,$21.99, 
298,Musical Stages: An Autobiography,Richard Rodgers, , ,Da Capo Press,9780306811340,04/16/2002,349,5.90(w) x 8.90(h) x 0.80(d),"396,517", , ,$13.93, , , 
299,Remembering Your Story: Creating Your Own Spiritual Autobiography,Richard Lyon Morgan, , ,Upper Room Books,9780835809634,04/28/2002,176,7.30(w) x 9.10(h) x 0.50(d),"396,526", , ,$12.59, , , 
300,The Autobiography of St. Ignatius,Saint Ignatius Loyola, , ,CreateSpace Publishing,9781505726435,12/25/2014,66,6.00(w) x 9.00(h) x 0.14(d),"397,418", , ,$5.99, , , 
301,Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice, , ,CreateSpace Independent Publishing Platform,9781495283253,01/25/2014,420,5.90(w) x 8.90(h) x 1.00(d),"397,647",2,3.0, , , , 
302,The Autobiography of Emperor Haile Sellassie I: King of All Kings and Lord of All Lords; My Life and Ethiopia's Progress 1892-1937 Vol 2,Haile Sellassie,Haile, ,Frontline Books,9780948390326,03/28/1999,190,5.00(w) x 6.90(h) x 0.50(d),"398,376", , , , , , 
303,A Bazaar Life: The Autobiography of David Alliance,David Alliance, , ,"Biteback Publishing, Ltd.",9781849541923,06/02/2015,448,5.90(w) x 9.30(h) x 1.60(d),"399,552", , , , , , 
304,Vidal: The Autobiography,Vidal Sassoon, , ,Pan Macmillan,9780230753792,09/03/2010, , ,"400,130", , ,$10.66,$28.04,$8.49, 
305,Otto: The Autobiography of a Teddy Bear,Tomi Ungerer, , ,Phaidon Press,9780714857664,10/20/2010,36,8.30(w) x 11.50(h) x 0.40(d),"400,160", , , , , , 
306,Intimate Memories: The Autobiography of Mabel Dodge Luhan,Lois Palken Rudnick,Mabel Dodge Luhan, ,University of New Mexico Press,9780826332493,07/01/2014,296, ,"401,921", , ,$19.21, ,$13.99, 
307,An Only Child and My Father's Son: The Autobiography,Frank O'Connor, , ,Open Road Media,9781497655072,08/12/2014,464, ,"402,982", , , , , , 
308,Ernest Borgnine: My Autobiography,Ernest Borgnine, , ,JR Books Ltd,9781907532542,02/18/2013,256, ,"404,423", , , , , , 
309,Present Indicative: The First Autobiography of No?l Coward,Noël Coward, , ,Bloomsbury USA,9781408190784,09/25/2014,352, ,"404,477", , , , , , 
310,Autobiography of a Female Slave,Martha Griffith Browne, , ,Cherry Lane Ebooks,2940013005747,09/04/2011, , ,"405,393",1,5.0, ,$26.61,$2.99, 
311,The Autobiography of Peter Cartwright,Peter Cartwright, , ,Jawbone Digital,2940150168954,12/13/2014, , ,"406,879", , ,$19.85,$26.95,$0.99, 
312,Jonny: My Autobiography,Jonny Wilkinson, , ,"Headline Book Publishing, Limited",9780755362905,11/10/2011, , ,"407,137", , ,$10.99, ,$10.99, 
313,"Still Running: The Autobiography of Kentucky's Nate Northington, the First African American Football Player in the Southeastern Conference",Nathaniel Northington, , ,"iUniverse, Incorporated",9781491745922,09/30/2014,258, ,"407,410",1,3.0,$16.76,$27.16,$2.49, 
314,My Life and Work - An Autobiography of Henry Ford,Henry Jr. Ford, , ,CreateSpace Publishing,9781500804947,08/10/2014,216,5.50(w) x 8.50(h) x 0.46(d),"408,696", , ,$9.95,$34.99, , 
315,Luna the Autobiography of a Super Cat,Luna Challis, , ,Steve Challis,2940011506413,08/28/2011, , ,"414,178",15,4.5, , , , 
316,Going Off Alarming: The Autobiography: Vol 2,Danny Baker, , ,"Orion Publishing Group, Limited",9780297870128,09/25/2014, , ,"414,977", , , ,$31.55,$12.99, 
317,Out of My Life and Thought: An Autobiography,Albert Schweitzer, , ,"Holt, Henry &amp; Company, Inc.",9781466882942,10/07/2014,272, ,"416,638",4,3.7,$23.84, ,$7.99, 
318,Seven and Nine Years Among the Comanches and Apaches - An Autobiography,Edwin Eastman, , ,Robin Michell,2940012218001,03/14/2011, , ,"417,156",2,3.5, , , , 
319,My Land and My People: The Original Autobiography of His Holiness the Dalai Lama of Tibet,Dalai Lama, , ,Grand Central Publishing,9780446553476,12/14/2008, , ,"417,402", , ,$14.35, ,$9.99, 
320,Autobiography of A Hunted Priest,S.J. Gerard, , ,Ignatius Press,2940044167254,08/22/2012, , ,"417,780",2,4.5,$13.19, ,$10.99, 
321,Bruce: The Autobiography,Bruce Forsyth, , ,Pan Macmillan,9780330475945,09/06/2012, , ,"418,225", , , , , , 
322,A Short Autobiography,F. Scott Fitzgerald,James L. W. West III, ,Scribner,9781439199077,08/02/2011,224, ,"418,821",1,5.0,$10.31,$22.56,$11.99, 
323,From the Holocaust to Hogan's Heroes: An Autobiography of Robert Clary,Robert Clary, , ,Taylor Trade Publishing,9781589793453,02/25/2008,248,5.85(w) x 8.96(h) x 0.58(d),"424,351", , , , , , 
324,Not Flying Alone: An Autobiography,Ray Lemmon, , ,AuthorHouse,9781496974204,06/10/2015,508,6.00(w) x 9.00(h) x 1.13(d),"424,521", , ,$21.15,$35.99,$3.99, 
325,My Silent War: The Autobiography of a Spy,Kim Phil, , ,Random House Publishing Group,9780375759833,09/24/2002,256,5.20(w) x 8.00(h) x 0.53(d),"425,412", , ,$11.14, , , 
326,The Autobiography Of Ben Franklin,Benjamin Franklin, , ,NuVision Publications,9781595475725,02/01/2009,152,6.00(w) x 9.00(h) x 0.50(d),"425,419",1,4.0,$12.99,$29.99, , 
327,Becoming Anna: The Autobiography of a Sixteen-Year-Old / Edition 2,Anna J. Michener, , ,University of Chicago Press,9780226524030,09/28/1999,256,5.55(w) x 8.52(h) x 0.62(d),"426,440", , ,$11.79,$20.42,$9.99, 
328,Autobiography of Benvenuto Cellini,Benvenuto Cellini, , ,CreateSpace Publishing,9781502931412,05/08/2015,454,6.00(w) x 9.00(h) x 0.92(d),"427,117",4,2.7,$19.99, ,$1.99,$30.12
329,From Slavery to the Bishopric in the A. M. E. Church. an Autobiography,William Heard, , ,CreateSpace Independent Publishing Platform,9781456359515,06/23/2000,52,6.69(w) x 9.61(h) x 0.11(d),"427,900", , , , , , 
330,His Eye Is on the Sparrow: An Autobiography,Ethel Waters,Charles Samuels, ,Da Capo Press,9780306804779,04/01/1992,304,5.40(w) x 8.50(h) x 0.90(d),"429,843",3,5.0,$12.82,$90.00, , 
331,A Liar's Autobiography,Graham Chapman, , ,"Methuen Publishing, Ltd.",9780413777287,09/01/2014,248,5.10(w) x 7.80(h) x 0.80(d),"430,064", , ,$14.02, , , 
332,"The Story of a Pilgrim Family: From the Mayflower to the Present Time; With Autobiography, Recollections, Letters, Incidents, and Genealogy of the Author (Classic Reprint)",John Alden, , ,FB &amp;c Ltd,9781330897102,07/07/2015,456,6.00(w) x 9.00(h) x 0.92(d),"432,333", , , , , , 
333,The Confessions of St. Augustine,Saint Augustine, , ,B&amp;R Samizdat Express,2940000739426,09/01/2009, , ,"125,760",58,3.3,$7.99, ,$0.99, 
334,Chapters from my Autobiography,Mark Twain, , ,B&amp;R Samizdat Express,2940000737101,02/26/2012, , ,"434,163",4,4.7,$22.99,$29.99,$0.99,$29.95
335,Something Like An Autobiography,Akira Kurosawa, , ,Knopf Doubleday Publishing Group,9780307803214,07/27/2011,240, ,"434,413",16,4.3,$11.69, ,$11.99, 
336,Autobiography of a Face,Lucy Grealy l Summary & Study Guide, , ,BookRags.com,2940012508409,04/19/2011, , ,"435,907", , , , , , 
337,Sing Over Me,Dennis Jernigan, , ,Innovo Publishing,9781613141762,02/14/2014,196,6.00(w) x 9.00(h) x 0.45(d),"305,971", , ,$14.95, ,$9.95, 
338,"Navajo Tradition, Mormon Life: The Autobiography and Teachings of Jim Dandy",Robert S. McPherson,Jim Dandy,Sarah E. Burak,University of Utah Press,9781607812227,09/30/2012,240, ,"437,878", , ,$24.60, ,$14.99, 
339,The Americanization of Edward Bok: The Autobiography,Edward William Bok, , ,Lulu.com,9781291776065,03/09/2014, , ,"438,040", , , , , , 
340,Driving Ambition - My Autobiography,Andrew Strauss, , ,"Hodder &amp; Stoughton, Ltd.",9781444722161,10/10/2013, , ,"438,106", , ,$12.58, ,$6.99, 
341,Chris Eubank: The Autobiography,Chris Eubank, , ,HarperCollins Publishers,9780007551187,11/28/2013,384, ,"438,157", , ,$7.99, ,$7.99, 
342,The Unfinished Autobiography,Alice A. Bailey,Alice Bailey, ,Lucis Publishing Company,2940016583327,05/01/2013,304, ,"438,435", , ,$9.99, ,$9.99, 
343,The Autobiography of St. Ignatius Loyola,St. Ignatius Loyola, , ,Halcyon Press Ltd.,2940014710640,06/21/2012, , ,"438,516", , ,$7.75, ,$0.99, 
344,There's a Snake in My Garden: A spiritual autobiography,Jill Briscoe, , ,Lion Hudson,9780857214232,05/23/2008, , ,"438,872", , , , , , 
345,The Life of Flavius Josephus or Autobiography of Flavius Josephus,Flavius Josephus, , ,MobileReference,9781605012551,01/01/2010, , ,"440,436",2,3.0, , , , 
346,Father of the Blues: An Autobiography,W. C. Handy, , ,Da Capo Press,9780306804212,03/22/1991,344,5.51(w) x 8.57(h) x 0.88(d),"441,090", , ,$14.50, , , 
347,An Autobiography of Davy Crockett,Stephen Brennan, , ,Skyhorse Publishing,9781628731767,10/10/2011,320, ,"441,368",4,3.2,$11.88,$10.41,$10.49, 
348,"Works of James Fenimore Cooper: (35 Works). Includes The Last of the Mohicans, Homeward Bound, Autobiography of a Pocket-Handkerchief and more",James Fenimore Cooper, , ,MobileReference,9781605011400,07/01/2010, , ,"444,700",14,4.0, ,$5.49,$5.49, 
349,The Autobiography of St. Ignatius,John Francis O'Conor, , ,Pyrrhus Press,9781634618793,08/28/2014, , ,"444,792", , ,$5.99, ,$0.99, 
350,"My Art, My Life: An Autobiography",Diego Rivera,with Gladys March, ,Dover Publications,9780486139098,03/29/2012,224, ,"445,298",2,4.0,$9.85, ,$9.49, 
351,A Very Private Eye: An Autobiography in Diaries and Letters,Barbara Pym, , ,Pan Macmillan,9781447265405,11/21/2013, , ,"445,605", , ,$24.35, ,$5.49, 
352,Porn King: The Autobiography of John C. Holmes,John C. Holmes, , ,BearManor Media,2940152060799,07/27/2015, , ,"445,958", , ,$27.73,$27.73,$9.95, 
353,My Experiments with Truth: An Autobiography of Mahatma Gandhi,Mohandas Karamchand Gandhi, , ,GENERAL PRESS,9789380914619,07/15/2015,464, ,"446,533",1,5.0, , , , 
354,Of People and Plants: The Autobiography of Europe's Most Celebrated Healer,Maurice Messegue,Maurice Messigui, ,Inner Traditions/Bear &amp; Company,9780892814374,10/28/1991,336,5.38(w) x 8.25(h) x 0.80(d),"446,880", , , , , , 
355,The Complete Josephus Collection,Josephus, , ,Karpathos Collections,9781508022336,08/03/2015, , ,"327,991",1,5.0, , ,$0.99, 
356,"To the Stars: The Autobiography of George Takei, Star Trek's Mr. Sulu",George Takei, , ,Gallery Books,9780743434201,03/10/2015,416, ,"448,338",1,4.0,$22.66, ,$14.99, 
357,Assisted: An Autobiography,John Stockton,Kerry L Pickett, ,Deseret Book Company,9781629730141,10/15/2013, , ,"449,021",4,5.0,$15.45,$18.52,$14.49, 
358,The Beverly Hills Supper Club (Where the Stars Came to Hang Out): An Autobiography of My Teenage Years in Beverly Hills,Robert Allen Jenkins, , ,Robert Allen Jenkins,2940151319638,03/31/2015, , ,"449,489",2,4.5, , , , 
359,"The Complete Works of Samuel Taylor Coleridge: Poetry, Plays, Literary Essays, Lectures, Autobiography and Letters (Classic Illustrated Edition): The Entire Opus of the English poet, literary critic and philosopher, including The Rime of the Ancient Marin",Samuel Taylor Coleridge,Gustave Doré, ,e-artnow,9788026836117,05/02/2015,1897, ,"451,193", , , , , , 
360,Assata: An Autobiography,Assata Shakur l Summary & Study Guide, , ,BookRags.com,2940151513302,02/23/2015, , ,"451,221", , , , , , 
361,The Fry Chronicles: An Autobiography,Stephen Fry, , ,The Overlook Press,9781468300192,01/19/2012,448, ,"452,182",3,3.6,$17.95,$22.57,$16.99, 
362,The Autobiography of Yukichi Fukuzawa / Edition 1,Yukichi Fukuzawa, , ,Columbia University Press,9780231139878,01/02/2007,480,5.56(w) x 8.02(h) x 1.01(d),"453,274",2,3.0,$30.10, , , 
363,"Along the Way, a Venture in Autobiography and Genealogy",John J. Haas, , ,"Cook Street Publishing, LLC",9781938057168,11/15/1938,138,6.00(w) x 9.00(h) x 0.44(d),"457,263", , , , , , 
364,The Children of Sanchez: Autobiography of a Mexican Family,Oscar Lewis, , ,Knopf Doubleday Publishing Group,9780307744531,11/29/2011,560,5.22(w) x 8.06(h) x 1.00(d),"461,604", , ,$12.05, ,$13.99, 
365,"Benjamin O. Davis, Jr.: American: An Autobiography",Benjamin O. Davis,Benjamin O. Davis Jr, ,Smithsonian Institution Press,9781560983958,01/17/2000,442,6.00(w) x 8.90(h) x 1.34(d),"463,128", , , , , , 
366,Take Me to the River: An Autobiography,Al Green,Davin Seay, ,"Chicago Review Press, Incorporated",9781556528101,04/01/2009,352,5.90(w) x 8.90(h) x 0.90(d),"464,131", , ,$13.47, , , 
367,Take It Like a Man: The Autobiography of Boy George,Boy George,Spencer Bright, ,HarperCollins Publishers,9780062117786,08/07/2012,512,6.18(w) x 8.78(h) x 0.94(d),"464,936", , ,$15.38, , , 
368,"Autobiography, Poems and Prayers (Classic Reprint)",Theodore Parker, , ,FB &amp;c Ltd,9781330025291,05/27/2015,508,6.00(w) x 9.00(h) x 1.02(d),"467,243", , , , , , 
369,Autobiography of a Female Slave - Scholar's Choice Edition,Martha Griffith Browne, , ,Scholar's Choice,9781294947004,02/08/2015,388,7.44(w) x 9.69(h) x 0.80(d),"467,314", , , , , , 
370,The Art of the Authoress of Anastasia: The Autobiography of H.I.H. the Grand Duchess Anastasia Nicholaevna of Russia,J. (Johannes) Froebel-Parker, , ,AuthorHouse,9781496920805,07/07/2014,48,8.50(w) x 11.00(h) x 0.10(d),"467,462", , ,$20.49, ,$3.99, 
371,The Autobiography of an African Princess,Fatima Massaquoi, , ,"Palgrave Us, Print Us",9780230609587,11/19/2013,300,5.70(w) x 8.50(h) x 0.90(d),"467,629", , , ,$83.62,$95.00, 
372,Autobiography of a Female Slave,Mattie Griffith, , ,University Press of Mississippi,9781604738926,03/01/1998,420,5.00(w) x 8.00(h) x 0.93(d),"467,806", , ,$30.00, , , 
373,Diana: A Strange Autobiography / Edition 1,Justin Holcomb,Julie Abraham, ,New York University Press,9780814726358,06/01/1995,282,6.00(w) x 9.00(h) x 8.50(d),"467,969", , , , , , 
374,I Wonder as I Wander: An Autobiography,Langston Hughes, , ,"Farrar, Straus and Giroux",9780809015504,08/01/1993,432,5.48(w) x 8.12(h) x 1.06(d),"470,638",1,3.0,$12.05, ,$9.99, 
375,The Real McCaw: The Autobiography,Richie McCaw, , ,Aurum Press,9781781314890,07/07/2015,416,6.75(w) x 9.25(h) x 0.75(d),"471,023", , , , , , 
376,In Me Own Words: The Autobiography of Bigfoot,Graham Roumieu, , ,"Manic D Press, Inc.",9780916397845,03/10/2003,44,6.20(w) x 9.20(h) x 0.30(d),"471,233",6,4.8, , , , 
377,Man Who Lives in Paradise: Autobiography of A. C. Gilbert with Marshall McClintock,A. C. Gilbert, , ,Heimburger House Publishing Company,9780911581201,11/01/2003,388,5.70(w) x 8.70(h) x 1.40(d),"472,103", , , , , , 
378,The Worlds of a Maasai Warrior: An Autobiography / Edition 1,Tepilit Ole Saitoti, , ,University of California Press,9780520063259,10/14/1988,170,6.00(w) x 9.00(h) x 0.50(d),"472,234", , ,$29.95, , , 
379,The Autobiography of G. K. Chesterton,G. K. Chesterton, , ,Ignatius Press,9781586170714,04/01/2006,336,5.20(w) x 7.90(h) x 1.10(d),"475,558", , , , , , 
380,"Autobiography of Geronimo, Chiracahua Apache War Chief: Geronimo's Story of His Life",Geronimo, , ,CreateSpace Publishing,9781500855970,08/16/2014,92,6.00(w) x 9.00(h) x 0.19(d),"477,601", , , , , , 
381,The Autobiography of Theodore Roosevelt,Theodore Roosevelt, , ,Seven Treasures Publications,2940013239296,10/30/2011, , ,"477,670",4,3.7,$14.99, ,$0.99, 
382,Il Cavallino Nel Cuore: Autobiography of a designer,Leonardo Fioravanti, , ,Giorgio Nada Editore Srl,9788879116220,09/15/2015,256,10.50(w) x 11.50(h) x 1.00(d),"479,017", , , , , , 
383,Touch Wood: The Autobiography of the 1953 Le Mans Winner,Duncan Hamilton, , ,"John Blake Publishing, Limited",9781784180812,09/01/2014,288, ,"479,519", , ,$13.84, ,$4.99, 
384,The Autobiography of Joseph Stalin: A Novel,Richard Lourie, , ,Da Capo Press,9780306809972,09/01/2000,272,5.38(w) x 8.23(h) x 0.66(d),"479,854",1,2.0,$13.75, , , 
385,The Autobiography of Joseph Le Conte (Classic Reprint),Joseph le Conte, , ,FB &amp;c Ltd,9781330066348,06/14/2015,388,6.00(w) x 9.00(h) x 0.80(d),"480,691", , ,$19.57, ,$0.00, 
386,Theoretical Perspectives on Historians' Autobiographies: From Documentation to Intervention,Jaume Aurell, , ,Taylor &amp; Francis,9781138934405,08/11/2015,292, ,"481,773", , , ,$44.49,$44.49, 
387,THEIR PLACE IN HISTORY: An Anthology of WWII Autobiographies,Sharon J. Nicholson, , ,"iUniverse, Incorporated",9781462054527,10/27/2011,180, ,"481,999",3,4.6,$19.99,$29.99,$3.49, 
388,Ollie: The Autobiography of Ian Holloway,Ian Holloway, , ,G2 Rights Ltd,9781908461230,08/20/2013,240, ,"484,843", , , , , , 
389,An Autobiography of Buffalo Bill [Illustrated],W.F. Cody,N.C. Wyeth, ,VolumesOfValue,2940014423397,05/14/2012, , ,"484,854", , ,$9.99,$36.99,$1.69, 
390,The Autobiography,Henry Shefflin, , ,Penguin UK,9780241961704,09/24/2015, , ,"486,092", , , , , , 
391,AN AUTOBIOGRAPHY OF BUFFALO BILL,W. F. Cody, , ,Robin Michell,2940012288066,02/24/2011, , ,"487,213", , , , , , 
392,Fowler: My Autobiography,Robbie Fowler, , ,Pan Macmillan,9780330508315,01/30/2009, , ,"487,312", , ,$14.36, ,$9.49, 
393,Annie Besant: An Autobiography (Illustrated Edition) (Dodo Press),Annie Wood Besant, , ,Dodo Press,9781406552782,08/10/2007,260,6.00(w) x 9.00(h) x 0.59(d),"487,735", , ,$21.99, ,$2.99, 
394,Autobiography: Johann Wolfgang von Goethe,Johann Wolfgang von Goethe, , ,Library of Alexandria,2940013543041,11/26/2011, , ,"488,261",1,5.0, , , , 
395,Running My Life: The Autobiography,Seb Coe, , ,"Hodder &amp; Stoughton, Ltd.",9781444732535,05/01/2013,480,5.10(w) x 7.80(h) x 1.30(d),"488,330", , ,$16.95,$32.95,$7.99, 
396,Mourning Dove: A Salishan Autobiography,Mourning Dove, , ,UNP - Nebraska,9780803284081,09/01/2014,267, ,"489,143", , ,$17.95, ,$10.49, 
397,As If: An Autobiography,Herbert Blau, , ,University of Michigan Press,9780472035144,10/31/2012,302,5.90(w) x 8.80(h) x 3.10(d),"490,658", , , , , , 
398,Autobiography Chapter 5...But Is Xavier Still Alive? or Is He Dead? Merely Living Within the Head?,Xavier Cockroachal Damon, , ,Lulu.com,9781329557635,09/21/2015, , ,"491,495", , , , , , 
399,An Autobiography of Buffalo Bill (Colonel W. F. Cody),Buffalo Bill, , ,CreateSpace Independent Publishing Platform,9781495225123,01/20/2014,128,6.00(w) x 9.00(h) x 0.27(d),"492,776", , ,$7.99, ,$0.99, 
400,Imagine No Religion: The Autobiography of Blase Bonpane,Blase Bonpane,Blase, ,Red Hen Press,9781597091800,01/01/2012,214, ,"494,363", , ,$24.95, ,$8.49, 
401,Clough: The Autobiography,Brian Clough,John Sadler, ,Transworld Publishers Limited,9780552140034,11/01/1995,319,4.20(w) x 6.90(h) x 1.10(d),"496,953", , ,$18.95, ,$10.49, 
402,Autobiography of Gnani Purush Dadashri: Gnani Purush Dadashri,Shuddha Anami, , ,Shuddha Anami,2940151933506,05/21/2015, , ,"497,197", , , , , , 
403,Miles Gone By: A Literary Autobiography,William F. Buckley Jr., , ,Regnery Publishing,9781596983243,02/06/2012,594, ,"501,092",10,4.5,$17.08,$22.92,$10.99, 
