ID,Title,Episodes,Producers,Genres,Type,Year,Rating
1467,Initial D Battle Stage,1,Pastel,"['Cars', 'Drama', 'Racing', 'Seinen']",OVA,2002,3.89
1468,Black Lagoon Specials,7,MADHOUSE,"['Comedy', 'Parody']",DVD Special,2009,3.89
1469,Nyan Koi!,12,AIC,"['Based on a Manga', 'Comedy', 'Harem', 'School Life', 'Supernatural']",TV,2009,3.89
1470,Shin Kyuuseishu Densetsu Hokuto no Ken Raou-den Gekitou no Shou,1,TMS Entertainment,[],Movie,2007,3.89
1471,Fist of the North Star: Legend of Raoh: Fierce Fight,1,TMS Entertainment,[],Movie,2007,3.89
1472,Slayers Gorgeous,1,J.C.Staff,"['Action', 'Based on a Light Novel', 'Comedy', 'Fantasy']",Movie,1998,3.89
1473,Haikyuu!! Movie 1: Owari to Hajimari,1,Production I.G,"['Based on a Manga', 'Recap', 'School Life', 'Shounen', 'Sports', 'Tournaments']",Movie,2015,3.89
1474,La Corda D'Oro ~primo passo~,25,Yumeta,"['Classical Music', 'Music']",TV,2006,3.89
1475,Kin'iro no Chord: Primo Passo,25,Yumeta,"['Classical Music', 'Music']",TV,2006,3.89
1476,Naruto,220,Studio Pierrot,"['Action', 'Based on a Manga', 'Drama', 'Japanese Mythology', 'Ninja', 'Revenge', 'Shounen']",TV,2002,3.89
1477,Yozakura Quartet: Tsuki ni Naku,3,Tatsunoko Pro.,[],OVA,2013,3.89
1478,Slayers Excellent,3,J.C.Staff,"['Adventure', 'Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic']",OVA,1998,3.89
1479,Haiyore! Nyaruko-san F,1,XEBEC,"['Aliens', 'Based on a Light Novel', 'Comedy', 'Fantasy', 'Harem', 'Parody', 'Romance', 'Sci Fi', 'Supernatural']",OVA,2015,3.89
1480,Seitokai no Ichizon,12,Studio Deen,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Parody', 'School Life']",TV,2009,3.88
1481,Student Council's Discretion,12,Studio Deen,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Parody', 'School Life']",TV,2009,3.88
1482,Another 0-kan,1,P.A. Works,"['Based on a Light Novel', 'Mystery']",OVA,2012,3.88
1483,Heroic Age,26,XEBEC,"['Action', 'Adventure', 'Aliens', 'Mecha', 'Military', 'Original Work', 'Outer Space', 'Post-apocalyptic', 'Sci Fi', 'Space Opera']",TV,2007,3.88
1484,Paniponi Dash! Special,1,Shaft,"['Comedy', 'Ecchi', 'Parody']",DVD Special,2009,3.88
1485,Read Or Die TV,26,J.C.Staff,"['Action', 'Based on a Light Novel', 'Nudity', 'Sci Fi', 'Superpowers']",TV,2003,3.88
1486,R.O.D. the TV,26,J.C.Staff,"['Action', 'Based on a Light Novel', 'Nudity', 'Sci Fi', 'Superpowers']",TV,2003,3.88
1487,Girl,1,Studio Khara,"['Fantasy', 'Japan Animator's Exhibition', 'Shorts']",Web,2015,3.88
1488,Uninhabited Planet Survive,52,MADHOUSE,"['Adventure', 'Family Friendly', 'Sci Fi', 'Survival']",TV,2003,3.82
1489,Mujin Wakusei Survive,52,MADHOUSE,"['Adventure', 'Family Friendly', 'Sci Fi', 'Survival']",TV,2003,3.82
1490,Black Jack OVA,10,Studio Comet,"['Drama', 'Episodic']",OVA,1993,3.82
1491,Aishiteruze Baby,26,TMS Entertainment,"['Based on a Manga', 'Bullying', 'Childcare', 'Coming of Age', 'Drama', 'Emotional Abuse', 'Physical Abuse', 'Romance', 'Shoujo', 'Slice of Life']",TV,2004,3.82
1492,Mobile Suit Gundam SEED Destiny,50,Sunrise,"['Mecha', 'Sci Fi']",TV,2004,3.82
1493,Gundam SEED Destiny,50,Sunrise,"['Mecha', 'Sci Fi']",TV,2004,3.82
1494,Senjou no Valkyria 3: Tagatame no Juusou,2,A-1 Pictures,"['Fantasy', 'War']",OVA,2011,3.82
1495,Dragon Ball Z Special 2: The History of Trunks,1,Toei Animation,"['Action', 'Shounen', 'Superpowers']",TV Special,1993,3.82
1496,Otona Joshi no Anime Time: Kawamo o Suberu Kaze,1,The Answer Studio,"['Based on a Novel', 'Drama', 'Josei', 'Romance']",TV Special,2011,3.82
1497,Ah! My Goddess TV,24,AIC,"['Based on a Manga', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Seinen', 'Sudden Girlfriend Appearance']",TV,2005,3.82
1498,Fullmetal Alchemist: Reflections,1,Bones,['Recap'],DVD Special,2005,3.82
1499,Fist of the North Star: Legend of Kenshiro,1,TMS Entertainment,[],Movie,2008,3.82
1500,Shin Kyuuseishu Densetsu Hokuto no Ken Zero Kenshirou-den,1,TMS Entertainment,[],Movie,2008,3.82
1501,Little Busters! OVA,1,,['Based on a Visual Novel'],OVA,2013,3.82
1502,Ah! My Goddess TV Specials,2,AIC,"['Based on a Manga', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Seinen']",DVD Special,2005,3.82
1503,Yawara! Special: Zutto Kimi no Koto ga,1,MADHOUSE,['Sports'],TV Special,1996,3.82
1504,Wings of Honneamise,1,Gainax,"['Astronauts', 'Aviation', 'Drama', 'Military', 'Original Work', 'Political', 'Sci Fi']",Movie,1987,3.82
1505,Royal Space Force: The Wings of Honneamise,1,Gainax,"['Astronauts', 'Aviation', 'Drama', 'Military', 'Original Work', 'Political', 'Sci Fi']",Movie,1987,3.82
1506,Utawarerumono Specials,4,OLM,"['Comedy', 'Ecchi', 'Fantasy']",DVD Special,2006,3.82
1507,Shakugan no Shana Movie,1,J.C.Staff,"['Action', 'Fantasy', 'Magic', 'Tsundere']",Movie,2007,3.82
1508,Tokyo Majin Gakuen Kenpuchou Tou Dai Ni Maku,12,AIC Spirits,"['Action', 'Based on a Video Game', 'Demons', 'Horror', 'Supernatural', 'Superpowers']",TV,2007,3.81
1509,Tokyo Majin Gakuen Kenpucho: Tou 2nd Act,12,AIC Spirits,"['Action', 'Based on a Video Game', 'Demons', 'Horror', 'Supernatural', 'Superpowers']",TV,2007,3.81
1510,Kannagi,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Fantasy', 'Japanese Mythology', 'School Club', 'School Life', 'Supernatural']",TV,2008,3.81
1511,Kannagi: Crazy Shrine Maidens,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Fantasy', 'Japanese Mythology', 'School Club', 'School Life', 'Supernatural']",TV,2008,3.81
1512,Ride Back,12,MADHOUSE,"['Action', 'Based on a Manga', 'Futuristic', 'Mecha', 'Political', 'Racing', 'Seinen']",TV,2009,3.81
1513,Umineko no Naku Koro ni,26,Studio Deen,"['Based on a Visual Novel', 'Explicit Violence', 'Horror', 'Mystery', 'Psychological', 'Supernatural']",TV,2009,3.81
1514,Tower of Druaga: The Sword of Uruk,12,GONZO,"['Action', 'Adventure', 'Based on a Video Game', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'RPG']",TV,2009,3.81
1515,Druaga no Tou: Sword of Uruk,12,GONZO,"['Action', 'Adventure', 'Based on a Video Game', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'RPG']",TV,2009,3.81
1516,Crest of the Stars: Birth,1,Sunrise,"['Based on a Novel', 'Outer Space', 'Romance', 'Sci Fi']",TV Special,2000,3.81
1517,Seikai no Danshou,1,Sunrise,"['Based on a Novel', 'Outer Space', 'Romance', 'Sci Fi']",TV Special,2000,3.81
1518,The World God Only Knows: Four People and an Idol,1,Manglobe,"['Comedy', 'School Life']",OVA,2011,3.81
1519,Kami nomi zo Shiru Sekai: Yonin to Idol,1,Manglobe,"['Comedy', 'School Life']",OVA,2011,3.81
1520,Hanasakeru Seishounen,39,Studio Pierrot,"['Based on a Manga', 'Drama', 'Political', 'Reverse Harem', 'Romance', 'Shoujo']",TV,2009,3.81
1521,Kimagure Orange Road OVA,8,Studio Pierrot,[],OVA,1989,3.81
1522,Kimikiss Pure Rouge,24,J.C.Staff,"['Based on a Visual Novel', 'Drama', 'Romance', 'School Life', 'Seinen']",TV,2007,3.81
1523,Mai-Otome 0 ~S.ifr~,3,Sunrise,"['Ecchi', 'Fantasy', 'Sci Fi', 'Superpowers']",OVA,2008,3.81
1524,Beelzebub Jump Super Anime Tour Special,1,Studio Pierrot,"['Action', 'Based on a Manga', 'Comedy', 'Delinquents', 'Demons', 'Shounen', 'Superpowers']",OVA,2010,3.81
1525,Slam Dunk Movie 3,1,Toei Animation,"['Action', 'Based on a Manga', 'Basketball', 'Comedy', 'Delinquents', 'Drama', 'School Club', 'School Life', 'Sports']",Movie,1995,3.81
1526,Busou Renkin,26,XEBEC,"['Action', 'Based on a Manga', 'Superpowers']",TV,2006,3.81
1527,Meitantei Conan OVA 7: Agasa-sensei no Chousenjou! Agasa vs Conan & Shounen Tanteidan,1,TMS Entertainment,"['Detectives', 'Mystery']",OVA,2007,3.81
1528,Detective Conan OVA 7: A Challenge from Agasa,1,TMS Entertainment,"['Detectives', 'Mystery']",OVA,2007,3.81
1529,Strike Witches TV 2,12,AIC,"['Ecchi', 'Magic', 'Military', 'Original Work', 'Panty Shots']",TV,2010,3.81
1530,Law of Ueki,51,Studio Deen,"['Action', 'Based on a Manga', 'Comedy', 'Shounen', 'Superpowers', 'Tournaments']",TV,2005,3.81
1531,Gekijouban Naruto Shippuuden: Hi no Ishi o Tsugu Mono,1,Studio Pierrot,"['Action', 'Ninja', 'Shounen']",Movie,2009,3.81
1532,Naruto Shippuden Movie 3: Hi no Ishi o Tsugu Mono,1,Studio Pierrot,"['Action', 'Ninja', 'Shounen']",Movie,2009,3.81
1533,Baka to Test to Shoukanjuu Specials,6,SILVER LINK,"['Comedy', 'Ecchi', 'Omake']",DVD Special,2010,3.81
1534,Nogizaka Haruka no Himitsu,12,Studio Barcelona,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'School Life']",TV,2008,3.81
1535,Unbreakable Machine-Doll,12,Lerche,"['Action', 'Ecchi', 'Fantasy', 'Master-Servant Relationship', 'School Life']",TV,2013,3.81
1536,Chaika: The Coffin Princess - AVENGING BATTLE,10,Bones,"['Adventure', 'Based on a Light Novel', 'Fantasy']",TV,2014,3.84
1537,Hitsugi no Chaika: AVENGING BATTLE,10,Bones,"['Adventure', 'Based on a Light Novel', 'Fantasy']",TV,2014,3.84
1538,Chaika: The Coffin Princess,12,Bones,"['Adventure', 'Based on a Light Novel', 'Fantasy']",TV,2014,3.84
1539,Hitsugi no Chaika,12,Bones,"['Adventure', 'Based on a Light Novel', 'Fantasy']",TV,2014,3.84
1540,Wolf Girl and Black Prince OVA,1,TYO Animations,['Based on a Manga'],OVA,2015,3.84
1541,Ookami Shoujo to Kuro Ouji OVA,1,TYO Animations,['Based on a Manga'],OVA,2015,3.84
1542,Resident Evil: Damnation,1,Digital Frontier,"['Based on a Video Game', 'Zombies']",Movie,2012,3.83
1543,Biohazard: Damnation,1,Digital Frontier,"['Based on a Video Game', 'Zombies']",Movie,2012,3.83
1544,To Love-Ru OVA,6,XEBEC,"['Aliens', 'Based on a Manga', 'Comedy', 'Ecchi', 'Gender Bender', 'Harem', 'Love Triangle', 'Nudity', 'Panty Shots', 'Sci Fi', 'Slice of Life']",OVA,2009,3.83
1545,[C] - Control,11,Tatsunoko Pro.,"['Action', 'Debt', 'High Stakes Games', 'noitaminA', 'Original Work', 'Sci Fi']",TV,2011,3.83
1546,C: The Money of Soul and Possibility Control,11,Tatsunoko Pro.,"['Action', 'Debt', 'High Stakes Games', 'noitaminA', 'Original Work', 'Sci Fi']",TV,2011,3.83
1547,Ground Control to Psychoelectric Girl: The Nighttime Sun,1,Shaft,"['Based on a Light Novel', 'Comedy', 'Slice of Life']",DVD Special,2012,3.83
1548,Denpa Onna to Seishun Otoko Special,1,Shaft,"['Based on a Light Novel', 'Comedy', 'Slice of Life']",DVD Special,2012,3.83
1549,Tenchi Muyo! The Night Before The Carnival,1,AIC,"['Comedy', 'Ecchi', 'Fantasy', 'Space Pirates']",OVA,1993,3.83
1550,Midori Days,13,Studio Pierrot,"['Based on a Manga', 'Comedy', 'Drama', 'Ecchi', 'Romance', 'School Life']",TV,2004,3.83
1551,Gatchaman Crowds Insight,12,Tatsunoko Pro.,"['Action', 'Aliens', 'Political', 'Sci Fi', 'Social Media', 'Superpowers']",TV,2015,3.83
1552,Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days,26,,"['Comedy', 'Sci Fi']",Other,,3.83
1553,Tenchi The Movie: Tenchi Muyo! In Love,1,AIC,"['Drama', 'Harem', 'Sci Fi']",Movie,1996,3.83
1554,No. 6,11,Bones,"['Based on a Novel', 'Dystopia', 'Futuristic', 'LGBT Themes', 'noitaminA', 'Post-apocalyptic', 'Sci Fi', 'Shounen-ai']",TV,2011,3.83
1555,Les Miserables: Shoujo Cosette,52,Nippon Animation,"['Based on a Novel', 'Drama', 'Europe', 'World Masterpiece Theater']",TV,2007,3.83
1556,Rakudai Kishi no Cavalry,4+,Nexus,"['Action', 'Based on a Light Novel', 'Comedy', 'Ecchi', 'Fantasy', 'School Life']",TV,2015,3.83
1557,Chivalry of the Failed Knight,4+,Nexus,"['Action', 'Based on a Light Novel', 'Comedy', 'Ecchi', 'Fantasy', 'School Life']",TV,2015,3.83
1558,Wandering Son,11,AIC,"['Based on a Manga', 'Coming of Age', 'Crossdressing', 'Drama', 'LGBT Themes', 'noitaminA', 'School Life', 'Slice of Life']",TV,2011,3.83
1559,Hourou Musuko,11,AIC,"['Based on a Manga', 'Coming of Age', 'Crossdressing', 'Drama', 'LGBT Themes', 'noitaminA', 'School Life', 'Slice of Life']",TV,2011,3.83
1560,Star Blazers: The Comet Empire,26,Group TAC,"['Based on an Anime', 'Sci Fi']",TV,1978,3.83
1561,Space Battleship Yamato: The Comet Empire,26,Group TAC,"['Based on an Anime', 'Sci Fi']",TV,1978,3.83
1562,Uchuu Senkan Yamato 2,26,Group TAC,"['Based on an Anime', 'Sci Fi']",TV,1978,3.83
1563,Noein: To Your Other Self,24,Satelight,"['Mystery', 'Original Work', 'Science', 'Sci Fi']",TV,2005,3.83
1564,Noein,24,Satelight,"['Mystery', 'Original Work', 'Science', 'Sci Fi']",TV,2005,3.83
1565,Shashinkan,1,Studio Colorido,"['Drama', 'Original Work', 'Shorts', 'Work Life']",Movie,2013,3.83
1566,Break Blade TV,12,Production I.G,"['Action', 'Fantasy', 'Magic', 'Mecha', 'Military', 'War']",TV,2014,3.83
1567,Mobile Suit Gundam III: Encounters in Space,1,Sunrise,"['Futuristic', 'Mecha', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'War']",Movie,1982,3.83
1568,Kidou Senshi Gundam III,1,Sunrise,"['Futuristic', 'Mecha', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'War']",Movie,1982,3.83
1569,Gundam III,1,Sunrise,"['Futuristic', 'Mecha', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'War']",Movie,1982,3.83
1570,Arakawa Under the Bridge,13,Shaft,"['Based on a Manga', 'Comedy', 'Romance', 'Seinen']",TV,2010,3.83
1571,Fusha no Sha,1,,"['Shorts', 'Stop Motion Animation']",Movie,1988,3.83
1572,To Shoot Without Shooting,1,,"['Shorts', 'Stop Motion Animation']",Movie,1988,3.83
1573,Un-Go,11,Bones,"['Based on a Novel', 'Detectives', 'Mystery', 'noitaminA', 'Supernatural']",TV,2011,3.83
1574,Naruto Shippuden Movie 4: The Lost Tower,1,Studio Pierrot,"['Action', 'Ninja', 'Time Travel']",Movie,2010,3.83
1575,Gekijouban Naruto Shippuuden: The Lost Tower,1,Studio Pierrot,"['Action', 'Ninja', 'Time Travel']",Movie,2010,3.83
1576,Jin-Roh: The Wolf Brigade,1,Production I.G,"['Action', 'Based on a Manga', 'Gunfights', 'Military', 'Police', 'Terrorism', 'Thriller', 'Violence']",Movie,2000,3.82
1577,Scrapped Princess,24,Bones,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'Magic', 'Swordplay']",TV,2003,3.82
1578,Slayers Premium,1,Hal Film Maker,"['Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic']",Movie,2001,3.82
1579,King of Thorn,1,Sunrise,"['Based on a Manga', 'Horror', 'Pandemic', 'Sci Fi', 'Survival']",Movie,2009,3.82
1580,Ibara no Ou,1,Sunrise,"['Based on a Manga', 'Horror', 'Pandemic', 'Sci Fi', 'Survival']",Movie,2009,3.82
1581,Record of Lodoss War OVA,13,MADHOUSE,"['Fantasy', 'Magic', 'Medieval', 'Swordplay']",OVA,1990,3.82
1582,Negima! ~Shiroki Tsubasa Ala Alba~,3,Shaft,"['Comedy', 'Fantasy', 'Magic']",OVA,2008,3.82
1583,Mahou Sensei Negima! ~Shiroki Tsubasa Ala Alba~,3,Shaft,"['Comedy', 'Fantasy', 'Magic']",OVA,2008,3.82
1584,The TV Show,1,,[],Music Video,2009,3.85
1585,Saint Young Men OVA,2,,"['Comedy', 'Fantasy', 'Religion', 'Slice of Life']",OVA,2012,3.85
1586,Space Dandy,13,Bones,"['Adventure', 'Comedy', 'Episodic', 'Original Work', 'Outer Space', 'Sci Fi']",TV,2014,3.85
1587,Kuroshitsuji 2 Specials,6,A-1 Pictures,[],DVD Special,2010,3.85
1588,One Piece Special 2: Open Upon the Great Sea! A Father's Huge HUGE Dream!,1,,"['Action', 'Comedy', 'Pirates']",TV Special,2003,3.85
1589,Gundam 0083: Stardust Memory,13,Sunrise,"['Mecha', 'Military', 'Outer Space', 'Sci Fi']",OVA,1991,3.85
1590,Mobile Suit Gundam 0083: Stardust Memory,13,Sunrise,"['Mecha', 'Military', 'Outer Space', 'Sci Fi']",OVA,1991,3.85
1591,Kotoura-san,12,AIC,"['Comedy', 'Drama', 'Psychic Powers', 'Romance', 'School Life']",TV,2013,3.85
1592,Blood+,50,Production I.G,"['Action', 'Fantasy', 'Master-Servant Relationship', 'Mystery', 'Swordplay', 'Vampires', 'Violence']",TV,2005,3.85
1593,Saiyuki Reload Gunlock,26,Studio Pierrot,"['Adventure', 'Comedy', 'Fantasy', 'Journey to the West']",TV,2004,3.85
1594,Gensou Maden Saiyuki Reload Gunlock,26,Studio Pierrot,"['Adventure', 'Comedy', 'Fantasy', 'Journey to the West']",TV,2004,3.85
1595,Date a Live 2,10,AIC PLUS+,"['Comedy', 'Harem', 'Romance', 'Sci Fi']",TV,2014,3.85
1596,My-Hime,26,Sunrise,"['Fantasy', 'Mystery', 'Original Work', 'Romance', 'Superpowers']",TV,2004,3.85
1597,Kamichu Specials,4,Brains-Base,"['Family Friendly', 'Fantasy', 'Japanese Mythology', 'Moe', 'Romance', 'School Life', 'Slice of Life']",DVD Special,2005,3.85
1598,Aoyama Goshou Tanpenshuu,7,TMS Entertainment,"['Based on a Manga', 'Detectives', 'Romance', 'Sci Fi']",OVA,1999,3.85
1599,Goshou Aoyama's Collection of Short Stories,7,TMS Entertainment,"['Based on a Manga', 'Detectives', 'Romance', 'Sci Fi']",OVA,1999,3.85
1600,Mitsudomoe,13,Bridge,"['Based on a Manga', 'Comedy', 'Ecchi', 'School Life']",TV,2010,3.85
1601,Love Live! School Idol Project,13,Sunrise,"['Idols', 'Music', 'School Club', 'School Life']",TV,2013,3.84
1602,Only Yesterday,1,Studio Ghibli,"['Based on a Manga', 'Countryside', 'Drama', 'Slice of Life']",Movie,1991,3.84
1603,Lupin III Special 14: Episode 0: First Contact,1,TMS Entertainment,"['Action', 'America', 'Thieves']",TV Special,2002,3.84
1604,Uta no Prince-sama: Maji Love 2000%,13,A-1 Pictures,"['Based on an Otome Game', 'Music', 'Music School', 'Reverse Harem', 'School Life', 'Shoujo']",TV,2013,3.84
1605,Afro Samurai: The Movie,1,GONZO,"['Action', 'Adventure', 'Based on a Doujinshi', 'Drug Use', 'Explicit Violence', 'Revenge', 'Samurai', 'Sexual Content']",Movie,2007,3.84
1606,Student Council's Discretion Level 2,10,AIC,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Parody', 'School Life']",TV,2012,3.84
1607,Seitokai no Ichizon 2,10,AIC,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Parody', 'School Life']",TV,2012,3.84
1608,Seitokai no Ichizon Lv.2,10,AIC,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Parody', 'School Life']",TV,2012,3.84
1609,Hetalia: The Beautiful World Extra Disc,1,Studio Deen,"['Based on a Manga', 'Comedy', 'Gender Bender', 'Historical', 'Political']",DVD Special,2014,3.84
1610,One Piece Special 1: Adventure in the Ocean's Navel,1,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Pirates']",TV Special,2000,3.84
1611,Majin Tantei Nougami Neuro,25,MADHOUSE,"['Based on a Manga', 'Demons', 'Detectives', 'Mystery', 'Supernatural']",TV,2007,3.84
1612,Neuro,25,MADHOUSE,"['Based on a Manga', 'Demons', 'Detectives', 'Mystery', 'Supernatural']",TV,2007,3.84
1613,Ganbare Genki,35,Toei Animation,"['Boxing', 'Sports']",TV,1980,3.84
1614,Attack on Titan Movie 1: Guren no Yumiya,1,Wit Studio,"['Based on a Manga', 'Recap']",Movie,2014,3.84
1615,Shingeki no Kyojin Movie 1: Guren no Yumiya,1,Wit Studio,"['Based on a Manga', 'Recap']",Movie,2014,3.84
1616,Slam Dunk Movie 4,1,,"['Action', 'Based on a Manga', 'Basketball', 'Comedy', 'Drama', 'School Club', 'School Life', 'Sports']",Movie,1995,3.84
1617,Wasurenagumo,1,Production I.G,"['Anime Mirai', 'Comedy', 'Horror', 'Original Work', 'Supernatural']",TV Special,2012,3.84
1618,Slayers Revolution,13,J.C.Staff,"['Adventure', 'Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic']",TV,2008,3.84
1619,The Slayers Revolution,13,J.C.Staff,"['Adventure', 'Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic']",TV,2008,3.84
1620,Myself; Yourself,13,Dogakobo,"['Based on a Visual Novel', 'Drama', 'Romance']",TV,2007,3.84
1621,Hi no Tori: Houou Hen,1,Nakamura Animation,"['Fantasy', 'Feudal Japan']",Movie,1986,3.84
1622,Phoenix: Karma Chapter,1,Nakamura Animation,"['Fantasy', 'Feudal Japan']",Movie,1986,3.84
1623,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,1,TMS Entertainment,"['Detectives', 'Mystery']",OVA,2011,3.84
1624,Dragon Ball Z Special 1: Bardock - The Father of Goku,1,Toei Animation,"['Action', 'Shounen']",TV Special,1990,3.84
1625,Hana to Alice: Satsujin Jiken,1,Steve N' Steven,"['Based on a Movie', 'Drama', 'Romance']",Movie,2015,3.84
1626,The Case of Hana & Alice,1,Steve N' Steven,"['Based on a Movie', 'Drama', 'Romance']",Movie,2015,3.84
1627,ef - a tale of memories: Recollections,1,Shaft,['Recap'],OVA,2008,3.84
1628,Wolf Girl and Black Prince,12,TYO Animations,"['Based on a Manga', 'Blackmail', 'Romance', 'School Life', 'Shoujo']",TV,2014,3.84
1629,Ookami Shoujo to Kuro Ouji,12,TYO Animations,"['Based on a Manga', 'Blackmail', 'Romance', 'School Life', 'Shoujo']",TV,2014,3.84
1630,Ore no Nounai Sentakushi ga Gakuen Love Comedy o Zenryoku de Jama Shiteiru,10,Diomedea,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Romance', 'School Life']",TV,2013,3.84
1631,My Mental Choices are Completely Interfering with my School Romantic Comedy,10,Diomedea,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Harem', 'Romance', 'School Life']",TV,2013,3.84
1632,Unbreakable Machine-Doll,12,Lerche,"['Action', 'Ecchi', 'Fantasy', 'Master-Servant Relationship', 'School Life']",TV,2013,3.81
1633,Machine-Doll wa Kizutsukanai,12,Lerche,"['Action', 'Ecchi', 'Fantasy', 'Master-Servant Relationship', 'School Life']",TV,2013,3.81
1634,Hanamaru Youchien,12,Gainax,"['Based on a Manga', 'Comedy', 'Family Friendly', 'School Life', 'Slice of Life']",TV,2010,3.81
1635,Hanamaru Kindergarten,12,Gainax,"['Based on a Manga', 'Comedy', 'Family Friendly', 'School Life', 'Slice of Life']",TV,2010,3.81
1636,Karas: The Revelation,6,Tatsunoko Pro.,"['Action', 'Original Work', 'Superpowers', 'Swordplay']",OVA,2005,3.81
1637,Karas,6,Tatsunoko Pro.,"['Action', 'Original Work', 'Superpowers', 'Swordplay']",OVA,2005,3.81
1638,Karas: The Prophecy,6,Tatsunoko Pro.,"['Action', 'Original Work', 'Superpowers', 'Swordplay']",OVA,2005,3.81
1639,Detroit Metal City: Birth of the Metal Devil,1,Studio 4C,"['Based on a Manga', 'Comedy', 'Crude', 'Music', 'Rock Music']",OVA,2008,3.81
1640,Lupin III Special 10: Crisis in Tokyo,1,TMS Entertainment,"['Action', 'Comedy', 'Thieves']",TV Special,1998,3.8
1641,Monster Musume - Everyday Life with Monster Girls,12,Lerche,"['Based on a Manga', 'Comedy', 'Ecchi', 'Harem', 'Monsters', 'Slice of Life', 'Supernatural']",TV,2015,3.8
1642,Monster Musume,12,Lerche,"['Based on a Manga', 'Comedy', 'Ecchi', 'Harem', 'Monsters', 'Slice of Life', 'Supernatural']",TV,2015,3.8
1643,Lupin III: Farewell to Nostradamus,1,TMS Entertainment,"['Action', 'Comedy', 'Thieves']",Movie,1995,3.8
1644,Aoki Hagane no Arpeggio: Ars Nova,12,SANZIGEN Animation Studio,"['Action', 'Based on a Manga', 'Sci Fi']",TV,2013,3.8
1645,Arpeggio of Blue Steel,12,SANZIGEN Animation Studio,"['Action', 'Based on a Manga', 'Sci Fi']",TV,2013,3.8
1646,Danganronpa Kibou no Gakuen to Zetsubou no Koukousei The Animation,13,Lerche,"['Based on a Visual Novel', 'High Stakes Games', 'Mystery', 'Play or Die', 'Psychological', 'Violence']",TV,2013,3.8
1647,Ranma 1/2: The Movie 2 - Nihao My Concubine,1,Kitty Films,"['Comedy', 'Ecchi', 'Gender Bender', 'Martial Arts']",Movie,1992,3.8
1648,Strike the Blood,24,CONNECT,"['Action', 'Based on a Light Novel', 'Demons', 'Fantasy', 'Magic', 'Vampires']",TV,2013,3.8
1649,Fate/kaleid Liner Prisma Illya 2wei Herz!,10,SILVER LINK,"['Action', 'Based on a Manga', 'Comedy', 'Fantasy', 'Magic', 'Magical Girl']",TV,2015,3.8
1650,Kare Kano,26,Gainax,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']",TV,1998,3.8
1651,His and Her Circumstances,26,Gainax,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']",TV,1998,3.8
1652,Okami-san and Her Seven Companions,12,J.C.Staff,"['Based on a Light Novel', 'Comedy', 'Parody', 'Romance', 'School Club', 'School Life', 'Tsundere']",TV,2010,3.8
1653,Ookami-san to Shichinin no Nakama-tachi,12,J.C.Staff,"['Based on a Light Novel', 'Comedy', 'Parody', 'Romance', 'School Club', 'School Life', 'Tsundere']",TV,2010,3.8
1654,Slayers: The Motion Picture,1,J.C.Staff,"['Adventure', 'Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic']",Movie,1995,3.8
1655,Young Kindaichi's Casebook,148,Toei Animation,"['Detectives', 'Mystery']",TV,1997,3.8
1656,Kindaichi Shounen no Jikenbo,148,Toei Animation,"['Detectives', 'Mystery']",TV,1997,3.8
1657,Lupin III Special 12: Missed by a Dollar,1,TMS Entertainment,"['Action', 'Comedy', 'Thieves']",TV Special,2000,3.8
1658,High School DxD NEW OVA,1+,,"['Based on a Light Novel', 'Demons', 'Ecchi', 'Fantasy', 'Nudity']",OVA,2015,3.8
1659,Genius Party Beyond,5,Studio 4C,['Collections'],Movie,2008,3.8
1660,Hakuouki Shinsengumi Kitan OVA,2,Studio Deen,[],OVA,2011,3.8
